OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/herefordshire,,174450,"161 Belmont Road, Hereford, Herefordshire, HR2 7JR",-2.726972W,52.045231N,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=174450&search-term=174450,,Not owned by a public authority,,Permissioned,,28/02/2018,,,6,,Yes,Proposed demolition of existing bungalow and erection of new building containing 4 x 1 bed and 1 x 2 bed apartments and 1 x 2 bedroom dwelling.,09/06/2020,,
http://opendatacommunities.org/id/unitary-authority/herefordshire,,174221,"23 Gorsty Lane, Hereford, Herefordshire, HR1 1UL",-2.683533W,52.053691N,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=174221&search-term=174221,,Not owned by a public authority,,Permissioned,,16/02/2018,,,5,,Yes,Proposed construction of five dwellings with garages and alterations to existing access.,09/06/2020,,
http://opendatacommunities.org/id/unitary-authority/herefordshire,,183891,"Land at 2 4 6 8 10 and 14 Eign Mill Road, Hereford, HR1 2RS",-2.700235W,52.051112N,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=183891&search-term=183891,,Not owned by a public authority,,Permissioned,,04/07/2019,,,11,,Yes,Demolition of 5 bungalows and erection of 11 affordable dwellings.,09/06/2020,,
http://opendatacommunities.org/id/unitary-authority/herefordshire,,172143,"Land at The Hop Kilns, Cold Green Farm, Bosbury, Ledbury, Herefordshire",-2.466118W,52.080259N,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=172143&search-term=172143,,Not owned by a public authority,,Permissioned,,18/01/2018,,,5,,Yes,Proposed conversion of redundant hop kilns to form 5 new units of self contained accommodation.,09/06/2020,,
http://opendatacommunities.org/id/unitary-authority/herefordshire,,172544,"North Farm, Birchwood Farm Road, Bosbury, Herefordshire, HR8 1JY",-2.430565W,52.105361N,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=172544&search-term=172544,,Not owned by a public authority,,Permissioned,,01/11/2017,,,6,,Yes,"Demolition of steel frame buildings, conversion of existing brick and timber clad farm buildings and construction of new single storey units to provide accommodation for ex-service personnel with communal and visitor rooms.",09/06/2020,,
http://opendatacommunities.org/id/unitary-authority/herefordshire,,181274,"Dev 1 Land At Former Bottling Plant Proposed Erection Of 63 Bed Nursing Home, arden"", Walwyn Road, Colwall, Herefordshire",-2.356102W,52.081434N,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=181274&search-term=181274,,Not owned by a public authority,,Permissioned,,10/12/2018,,,31,,Yes,"Proposed erection of three storey building accommodating 26 retirement flats. The erection of a terrace of five dwellings with 11 car parking spaces and the erection of a single storey outbuilding accommodating refuse, cycle and garden maintenance storage.",09/06/2020,,
http://opendatacommunities.org/id/unitary-authority/herefordshire,,192397,"Dev 1 Land At Chevenham Close Proposed Demolition And Redevelopment Of Nos 1 To 34, Chevenham Close, Colwall, Herefordshire",-2.360705W,52.078696N,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=192397&search-term=192397,,Not owned by a public authority,,Permissioned,,21/08/2019,,,18,,Yes,Proposed variation of condition 2 of planning permission 183826 (Proposed demolition of 1-34 Chevenham Close. Proposed 18 dwellings and apartments with associated car parking and site infrastructure) to amend the housing tenure mix.,09/06/2020,,
http://opendatacommunities.org/id/unitary-authority/herefordshire,,191373,"Land at Aldene, A40 Lea From B4224 To Gloucestershire Boundary, Lea",-2.489435W,51.893165N,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=191373&search-term=191373,,Not owned by a public authority,,Permissioned,,10/09/2019,,,5,,Yes,Proposed erection of 5 dwellings,09/06/2020,,
http://opendatacommunities.org/id/unitary-authority/herefordshire,,164109,"45A to 47 West Street, Leominster, Herefordshire, HR6 8EP",-2.741325W,52.226763N,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=164109&search-term=164109,,Not owned by a public authority,,Permissioned,,23/06/2017,,,7,,Yes,Redevelopment of existing site for a mixed use of residential and commercial,09/06/2020,,
http://opendatacommunities.org/id/unitary-authority/herefordshire,,150516,"Land at Day One, Ryelands Road, Leominster, Herefordshire",-2.742902W,52.225638N,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=150516&search-term=150516,,Not owned by a public authority,,Permissioned,,22/03/2018,,,14,,Yes,Proposed demolition of Day One Publications and the erection of 14 residential apartments with private parking and associated ground works.,09/06/2020,,
http://opendatacommunities.org/id/unitary-authority/herefordshire,,162480,"Dev 1 Site At Old Grammar School Convert Of School Building To 5 Residential Dwellings, Church Street, Bromyard, Herefordshire",-2.504662W,52.190594N,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=162480&search-term=162480,,Not owned by a public authority,,Permissioned,,21/12/2016,,,5,,Yes,Conversion of former Grammar school building into five residential dwellings. Demolition works include the removal of part of an extension to the west elevation.,09/06/2020,,
http://opendatacommunities.org/id/unitary-authority/herefordshire,,180843,"Land at The Crown and Sceptre Public House, 7 Sherford Street, Bromyard, Herefordshire",-2.503956W,52.188979N,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=180843&search-term=180843,,Not owned by a public authority,,Permissioned,,17/07/2018,,,7,,Yes,Conversion of listed public house into 3 x 1 bed flats; demolition of function room and associated building for provision of 11 car parking spaces and development of 4 x 2 bed new build flats.,09/06/2020,,
