OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/chesterfield,,15,"""Brampton Manor, Old Road, Chesterfield""",436373,371056,https://www.chesterfield.gov.uk/media/562063/15-brampton-manor-old-road-chesterfield.pdf,0.92,unknown ownership,,not permissioned,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0016PUEPLI000,,1,6,no,Parts of the site have potential for future residential develoment subject to consideration of the impact upon listed structures/buildings and scheduled ancient monuments.,19/12/2017,19/12/2017,
http://opendatacommunities.org/id/district-council/chesterfield,,16,"""Brockwell Court (Former), Cheedale Avenue, Newbold, Chesterfield""",436639,372649,https://www.chesterfield.gov.uk/media/562066/16-brockwell-court-former-cheedale-avenue-newbold.pdf,0.72,owned by a public authority,,permissioned,full planning permission,24/09/2019,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&keyVal=0012F6EPLI000&previousCaseNumber=CHE%2F19%2F00239%2FFUL&activeTab=summary&previousKeyVal=PQ5A79EPFXD00,,1,20,Yes,"The site has been occupied by a permanent structure but the remains have not sufficiently blended into the landscape over the process of time. There is a possibility that the site may be required to meet unmet open space needs but there is no conclusive evidence to this effect, Whilst the nearby junior school is at capacity certain types of residential development would be possible without an increase in demand for school places. Furthermore the potential for expansion of the nearby schools is as yet undetermined. Provided biodiversity impacts can be mitigated the site would be appropriate for residential development.",19/12/2017,09/12/2019,
http://opendatacommunities.org/id/district-council/chesterfield,,17,"""Catherine Street, Bank Street and Catherine Street Chesterfield""",437410,371120,https://www.chesterfield.gov.uk/media/562069/17-catherine-street-chesterfield.pdf,0.25,owned by a public authority,,permissioned,full planning permission,24/09/2019,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?keyVal=K72Y86EP00200&activeTab=summary,,1,12,Yes,The site appropriate for residential development.  Constraints identified within the LAA are likely to be mitigable.,19/12/2017,09/12/2019,
http://opendatacommunities.org/id/district-council/chesterfield,,18,"""Land at Duewell Court, Station Road, Barrow Hill""",441645,375438,https://www.chesterfield.gov.uk/media/562072/18-land-at-duewell-court-station-road-barrow-hill.pdf,0.69,owned by a public authority,,not permissioned,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=ORIZHUEPL8000&activeTab=summary&previousCaseNumber=CHE%2F17%2F00428%2FDEM&keyVal=0012KDEPLI000,,1,20,Yes,"Whilst no local centre is nearby (notwithstanding any centre developed within the Staveley Rother Corridor), the site is still appropriate for residential development being in regeneration priority area.  Identified constraints are likely to be mitigable.",19/12/2017,19/12/2017,
http://opendatacommunities.org/id/district-council/chesterfield,,23,"""Heaton Court (Former), Meynell Close, Chesterfield""",436384,370834,https://www.chesterfield.gov.uk/media/562075/23-heaton-court-former-meynell-close-chesterfield.pdf,0.2,owned by a public authority,,permissioned,full planning permission,29/01/2019,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=O2P2KKEP00M00&activeTab=summary&previousCaseNumber=CHE%2F16%2F00096%2FDEM&keyVal=000RVOEPLI000,,1,10,Yes,"The site is appropriate for residential development in terms of access to centres, services and facilities. Identified constraints are likely to be mitigable.",19/12/2017,09/12/2019,
http://opendatacommunities.org/id/district-council/chesterfield,,32,"""Miller Avenue, Mastin Moor, Chesterfield""",445310,375861,https://www.chesterfield.gov.uk/media/562078/32-miller-avenue-mastin-moor.pdf,0.41,owned by a public authority,,not permissioned,,,,,1,14,Yes,The site is appropriate for residential development despite no local centre nearby and limited accessibility to services and facilities given that it is within a regeneration priority area. Identified constraints are likely to be mitigable.,19/12/2017,19/12/2017,
http://opendatacommunities.org/id/district-council/chesterfield,,49,"""Land North-East of Sainsburys Roundabout, Rother Way, Chesterfield""",439149,373348,https://www.chesterfield.gov.uk/media/562081/49-land-north-east-of-sainsburys-roundabout-rother-way-chesterfield.pdf,1.6,not owned by a public authority,,permissioned,reserved matters approval,09/01/2018,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=N6W98SEP00T00&activeTab=summary&previousCaseNumber=CHE%2F14%2F00404%2FOUT&keyVal=NV6DW0EP03B00,,45,45,Yes,Development is under construction. 45 dwellings based on brownfield element.,19/12/2017,11/12/2018,
http://opendatacommunities.org/id/district-council/chesterfield,,64,"""Boythorpe Works (Former), Goytside Road Chesterfield""",437038,370594,https://www.chesterfield.gov.uk/media/562084/64-boythorpe-works-former-goytside-road-chesterfield.pdf,5.71,not owned by a public authority,,pending decision,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=OUB3YTEP04100&activeTab=summary&previousCaseNumber=CHE%2F17%2F00566%2FTPO&keyVal=JFAROTEP20000,,1,135,Yes,Application for full planning permission is pending consideration.,19/12/2017,19/12/2017,
http://opendatacommunities.org/id/district-council/chesterfield,,68,"""Land At East Of A61 Known as Chesterfield Waterside, Brimington Road, Chesterfield""",438720,371965,https://www.chesterfield.gov.uk/media/562912/68-land-east-of-a61-known-as-chesterfield-waterside.pdf,19.22,not owned by a public authority,,permissioned,outline planning permission,09/03/2011,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=OGSFD2EP02A00&activeTab=summary&previousCaseNumber=CHE%2F16%2F00762%2FDOC&keyVal=KRTIMDEP00200,,1550,1550,Yes,Outline planning permission receieved. CHE/19/00116/REM  and CHE/19/00007/REM recently approved which covers 177 dwellings and the Basin Square area of the scheme.,19/12/2017,11/12/2019,
http://opendatacommunities.org/id/district-council/chesterfield,,91,"""Ashbrook Centre (Former),  Cuttholme Road, Chesterfield""",436388,371780,https://www.chesterfield.gov.uk/media/562087/91-ashbrooke-centre-former-cuttholme-road-chesterfield.pdf,0.68,owned by a public authority,,not permissioned,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=OGDF9GEP02A00&activeTab=summary&previousCaseNumber=CHE%2F16%2F00745%2FTPOEXP&keyVal=00147YEPLI000,,1,20,Yes,The site has been occupied by a permanent structure but the remains have not sufficiently blended into the landscape over the process of time.  It is in a location accessible to a centre and with reasonable accessibility to services and facilities and it is likely that constraints can be mitigated.,19/12/2017,19/12/2017,
