OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS001,"ALBERT MILL, WHITWORTH",-2.17781,53.6531,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,1.53,not owned by a public authority,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N1I4NHND01P00,yes,,,,2014/0078 - outline application which expired 17.09.16.,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS002,WATERFOOT PRIMARY SCHOOL,-2.25118,53.6942,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.4,not owned by a public authority,permissioned,full planning permission,20/06/2017,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?previousCaseType=Application&previousKeyVal=OU2KPBNDH7W00&activeTab=summary&previousCaseNumber=2017%2F0396&keyVal=OHS25UNDGAO00,yes,,,,2016/0599 - conversion of school buildings to supported living accomodation (Use Class C2),15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS003,"HORSE AND JOCKEY HOTEL, 85 MARKET STREET, EDENFIELD",-2.30596,53.6712,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.22,not owned by a public authority,permissioned,full planning permission,16/10/2015,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NPSKPBNDM1900,yes,,,,2015/0238,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS006,"LAND NEAR GREENSNOOK FARM, BACUP",-2.19535,53.7067,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.12,not owned by a public authority,permissioned,full planning permission,11/09/2017,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQDM00DT01N,yes,,,,Current application pending to discharge conditions (2017/0481),15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS007,"REED STREET, BACUP",-2.19613,53.7044,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.42,not owned by a public authority,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZXDNDJV032,yes,,,,2008/0244  - approved Reserved Matters for 2 blocks of apartments (50 units)   2002/502,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS009,"HARE AND HOUNDS GARAGE, STACKSTEADS",-2.23197,53.6923,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.15,not owned by a public authority,permissioned,outline planning permission,06/11/2015,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NIUF3UND02K00,,,,,2015/0030 - outline approval,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS010,BACUP CONSERVATIVE CLUB,-2.19943,53.7031,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.05,not owned by a public authority,permissioned,full planning permission,24/06/2015,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NL0FGYNDLPC00,yes,,,,2015/0085 - full,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS011,"FMR COMMERCIAL HOTEL, STACKSTEADS",-2.22431,53.6914,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.04,not owned by a public authority,permissioned,full planning permission,12/11/2015,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NQGNCUNDM2Y00,yes,,,,2015/0261,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS012,"14 DEARDENGATE, HASLINGDEN",-2.32463,53.7062,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.06,not owned by a public authority,permissioned,full planning permission,24/03/2016,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O0H4WBND02K00,yes,,,,2016/0001,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS013,LOVECLOUGH WORKING MENS CLUB,-2.28612,53.7399,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.44,not owned by a public authority,permissioned,full planning permission,11/03/2013,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZXANDJV936,yes,,,,2011/0457,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS016,"FMR KEARNS MILL, COWPE",-2.24331,53.6809,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,1.69,not owned by a public authority,permissioned,full planning permission,26/06/2015,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NIN8U2NDLK300,yes,,,,,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS017,"SHADLOCK SKIP, STACKSTEADS",-2.23805,53.6909,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,1.49,not owned by a public authority,not permissioned,,,,,,,,Identified as a potential allocation but no planning history.,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS018,FMR BACUP HEALTH CENTRE,-2.19935,53.7036,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.2,not owned by a public authority,permissioned,full planning permission,12/10/2017,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQHH00DT026,yes,,,,"Previous application 2016/0035 -  Outline Application for the erection of a three storey building to contain: nursery (Use Class D1), offices (Use Class B1) and 10no. residential apartments (Use Class C3), with details of access, appearance, layout and scale for approval. Landscaping is a reserved matter.",15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS019,FMR HASLINGDEN POLICE STATION,-2.32278,53.7024,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.13,not owned by a public authority,permissioned,full planning permission,03/10/2016,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQFS00DT02X,yes,,,,2017/0221 - Section 73 application to vary conditions 4 (construction method statement) and 5 (off-site highway works) pursuant to Planning Approval 2016/0320,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS020,"LAND OFF LEES ST, BRITANNIA",-2.18283,53.6919,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.07,not owned by a public authority,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZWVNDJV796,yes,,,,2006/393 (Reserved Matters) ; 2006/0189.  Houses still awaiting completion.,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS021,"FMR OAKENHEAD RESOURCE CENTRE, RAWTENSTALL",-2.29026,53.7039,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.68,not owned by a public authority,not permissioned,,,,yes,,,,,15/12/2017,15/12/2017,
