OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,44,"Central Parade West, Central Parade",51.3410013172,-0.0159173557,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,2.07,owned by a public authority,,not permissioned,,,,50,290.0,yes,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,68,130 Oval Road,51.3771023449,-0.0886335726,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,0.22,not owned by a public authority,,not permissioned,,,,10,57.0,yes,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,78,114-118 Whitehorse Road,51.3865338243,-0.0962461586,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,0.04,not owned by a public authority,,not permissioned,,,,7,8.0,yes,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,314,"Valley Park (B&Q and Units A-G Daniell Way), Hesterman Way",51.3801883003,-0.1254798193,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,6.75,not owned by a public authority,,not permissioned,,,,237,641.0,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,334,"Valley Leisure Park, Hesterman Way",51.3779257554,-0.1245807702,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,0.95,not owned by a public authority,,not permissioned,,,,34,90.0,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,337,"Zodiac Court, 161-183 London Road",51.3817528095,-0.1069926724,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,0.71,not owned by a public authority,,not permissioned,,,,32,184.0,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,348,"Homebase & Matalan stores, 60-66 Purley Way",51.3834478605,-0.1229322548,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,2.84,not owned by a public authority,,not permissioned,,,,128,482.0,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,396,"Praise House, 145-149 London Road",51.3810888406,-0.1059710208,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,0.25,not owned by a public authority,,not permissioned,,,,9,52.0,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,416,"Challenge House, 618 Mitcham Road",51.3892271554,-0.1294940186,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,0.8,not owned by a public authority,,not permissioned,,,,36,136.0,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,471,"Masonic Hall car park, 1- 1B Stanton Road",51.3821252255,-0.1016600932,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,0.15,not owned by a public authority,,not permissioned,,,,7,39.0,,,2017-12-31,2017-12-31,
