OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/rushmoor,Rushmoor Borough Council,SHELAA ID: 9,"""Union Street East Car Park, Union Street, Farnborough""",-0.754257,51.295626,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,0.12,owned by a public authority,,not permissioned,,,,7,7,8,,,2017-12-11,2017-12-11,
http://opendatacommunities.org/id/district-council/rushmoor,Rushmoor Borough Council,SHELAA ID: 15,"""Farnborough Civic Quarter, Farnborough""",-0.756948,51.289449,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,5.96,mixed ownership,,not permissioned,,,,630,630,700,yes,,2017-12-11,2017-12-11,
http://opendatacommunities.org/id/district-council/rushmoor,Rushmoor Borough Council,SHELAA ID: 35,"""Kingsmead, The Meads and Queensmead, Farnborough""",-0.755310,51.292238,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,6.27,mixed ownership,,permissioned,full planning permission,2004-11-24,,69,,,yes,"""Planning permission: 04/00080/FUL, the site is partly permissioned (a residual 69 residential units to be built out at Block 3, Queensmead)"". ""69 flats at Block 3, Queensmead (21 one-bedroom and 48 two-bedroom units)""",2017-12-11,2017-12-11,
http://opendatacommunities.org/id/district-council/rushmoor,Rushmoor Borough Council,SHELAA ID: 45,"""Old Fire Station, Ordnance Road, Aldershot""",-0.756222,51.249928,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,0.31,not owned by a public authority,,permissioned,full planning permission,2017-04-13,,32,,,yes,"Planning permission: 16/00815/FULPP. ""Erection of 2 three-storey blocks, comprising 10 one-bedroom and 22 two-bedroom flats (32 units in total)""",2017-12-11,2017-12-11,
http://opendatacommunities.org/id/district-council/rushmoor,Rushmoor Borough Council,SHELAA ID: 100,"""12-14 Union Street, Aldershot""",-0.766770,51.249347,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,0.02,unknown ownership,,not permissioned,,,,7,7,8,,Active ground floor and town centre uses will be required as part of any development proposals,2017-12-11,2017-12-11,
http://opendatacommunities.org/id/district-council/rushmoor,Rushmoor Borough Council,SHELAA ID: 102,"""Willow House, 23 Grosvenor Road, Aldershot""",-0.766873,51.248701,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,0.06,not owned by a public authority,,not permissioned,,,,23,23,25,yes,,2017-12-11,2017-12-11,
http://opendatacommunities.org/id/district-council/rushmoor,Rushmoor Borough Council,SHELAA ID: 110,"""Progress House and Penmark House, Albert Road, Aldershot""",-0.758689,51.247194,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,0.07,not owned by a public authority,,not permissioned,,,,45,45,50,,,2017-12-11,2017-12-11,
http://opendatacommunities.org/id/district-council/rushmoor,Rushmoor Borough Council,SHELAA ID: 113,"""52 Victoria Road, Aldershot""",-0.758712,51.248462,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,0.20,not owned by a public authority,,permissioned,full planning permission,2017-03-03,,56,,,yes,"Planning permission: 16/00878/FULPP. ""A residential scheme of 56 flats (18 one-bedroom, 31 two-bedroom and 7 three-bedroom units), following demolition of the existing commercial building""",2017-12-11,2017-12-11,
http://opendatacommunities.org/id/district-council/rushmoor,Rushmoor Borough Council,SHELAA ID: 284,"""Former Laundry, 53 Rectory Road, Farnborough""",-0.744322,51.294935,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,0.14,unknown ownership,,not permissioned,,,,4,4,5,,,2017-12-11,2017-12-11,
http://opendatacommunities.org/id/district-council/rushmoor,Rushmoor Borough Council,SHELAA ID: 301,"""Falcon House, 16 Fernhill Road, Farnborough""",-0.777350,51.296112,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,0.08,not owned by a public authority,,permissioned,full planning permission,2017-09-01,,5,,,yes,"""Planning permission: 17/00315/FULPP, partly permissioned (existing ground floor flats to be retained)"". ""Change of use of the existing first-floor office (B1) to residential use, and the erection of a two-storey side extension to create 1 one-bedroom and 4 two-bedroom flats (5 units in total)""",2017-12-11,2017-12-11,
