OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,BLR/010,"Meriden Road Depot, Meriden Road, Hampton in Arden",-1.691076,52.429101,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-010.pdf,5.21,not owned by a public authority,,not permissoned,,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001R4FOELI000,,5,10,,,23/03/2018,03/12/2018,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,BLR/013,"Widney Manor House, Widney Manor House, Bentley Heath",-1.765529,52.389311,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-013.pdf,1,not owned by a public authority,,not permissoned,,,No Planning History,,1,2,,,23/03/2018,03/12/2018,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,BLR/014,"The Glider Yard, Houndsfield Lane, Shirley",-1.852375,52.387779,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-014.pdf,0.13,not owned by a public authority,,permissioned,outline planning permission,12/12/2017,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=OJXAJ3OE03G00,,2,4,Y,Planning permission granted. Now included as PR42,23/03/2018,03/12/2018,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,BLR/015,"Land East of 106 - 118 Old Station Road,Old Station Road, Hampton in Arden",-1.703676,52.436307,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-015.pdf,0.5,not owned by a public authority,,not permissioned,,,https://publicaccess.solihull.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZV0BOETA917,,1,2,,,23/03/2018,03/12/2018,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,BLR/016,"Pheasant Oak Farm, Hob Lane Balsall Common",-1.631804,52.383459,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-016.pdf,1.37,not owned by a public authority,,not permissoned,,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000DK8OELI000,,10,20,,,23/03/2018,03/12/2018,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,BLR/017,"National Motorcycle Museum, Coventry Road, Bickenhill",-1.706375,52.444019,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-017.pdf,3.6,not owned by a public authority,,not permissoned,,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000HWGOELI000,,50,125,,,23/03/2018,03/12/2018,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,BLR/018,"Windmill House, Windmill Lane, Balsall Common",-1.636381,52.380651,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-018.pdf,0.3,not owned by a public authority,,not permissoned,,,No Planning History,,2,3,,,23/03/2018,03/12/2018,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,BLR/020,"Whitehouse Kennels, Back Lane, Meriden",-1.632172,52.422262,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-020.pdf,0.83,not owned by a public authority,,permissioned,full planning permission,14/12/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000DJSOELI000,,2,4,Y,Planning permission granted. Now included as PR68,23/03/2018,03/12/2018,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,BLR/021,"Land at and to the rear of 146-152 Tilehouse Lane, Tidbury Green",-1.851985,52.390107,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-021.pdf,0.87,not owned by a public authority,,not permissoned,,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000L9QOELI000,,5,10,,,23/03/2018,03/12/2018,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,BLR/024,"1806 Warwick Road, Knowle",-1.736289,52.381707,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-024.pdf,3.01,not owned by a public authority,,not permissoned,,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000R3JOELI000,,1,3,,,23/03/2018,03/12/2018,
