OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES001,Land at Felixstowe Sunday Market site Sea Road,1.339633,51.951603,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,0.58,not owned by a public authority,,permissioned,full planning permission,06/07/2018,https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OWBNC7QX0GC00,,59,59,Yes,,01/12/2017,01/12/2017,
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES002,Old Station Works Westerfield Road Westerfield Ipswich IP6 9AB,1.17152,52.081673,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,3.33,not owned by a public authority,,permissioned,outline planning permission,26/09/2019,https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PF7DEPQXLC700,,75,75,Yes,DC/18/3850/OUT approved 27.06.19 for 75 dwellings,01/12/2017,01/12/2017,
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES003,Street Farm The Street Witnesham Ipswich IP6 9HG,1.189463,52.105041,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,0.71,not owned by a public authority,,pending decision,,,https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PDEK0JQXKFM00,,20,20,Yes,Mostly in agricultural use therefore not previously developed land,01/12/2017,09/12/2019,09/12/2019
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES004,Penfold Road Felixstowe Suffolk IP11 7BP,1.353126,51.964541,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,0.12,not owned by a public authority,,permissioned,outline planning permission,05/12/2014,https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OQX55IQXFKG00,,5,5,Yes,Site completed 31/03/2019,01/12/2017,01/12/2017,31/03/2019
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES005,38-40 Victoria Street Felixstowe Suffolk IP11 7EW,1.354514,51.962282,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,0.08,not owned by a public authority,,permissioned,full planning permission,12/03/2016,http://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NIXVW0QXFHV00,,5,5,Yes,1 under construction,01/12/2017,01/12/2017,
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES006,Land At Junction With Garrison Lane And High Road West Felixstowe Suffolk,1.348713,51.967078,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,0.16,not owned by a public authority,,pending decision,,,https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=Q19WDWQX07400,,8,8,Yes,EXPIRED 17/11/19. DC/19/4528/OUT pending. 10 dwellings in total on 0.35ha; 8 on 0.16ha brownfield land,01/12/2017,01/12/2017,
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES007,Conrad House 38 Fore Street Framlingham Woodbridge Suffolk IP13 9DF,1.350184,52.221205,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,0.1,not owned by a public authority,,permissioned,full planning permission,08/02/2017,https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OSMEQGQXGIE00,,3,3,Yes,Below threshold for number of dwelligns and site area,01/12/2017,09/12/2019,09/12/2019
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES008,Glebe House Residential Home Rectory Road Hollesley Suffolk IP12 3JS,1.439008,52.050761,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,0.97,not owned by a public authority,,permissioned,full planning permission,26/07/2016,https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O2A12CQXHWY00,,10,10,Yes,,01/12/2017,01/12/2017,
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES009,Hillview Church Road Otley Suffolk IP6 9NP,1.220131,52.150158,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,2.14,not owned by a public authority,,permissioned,reserved matters approval,05/08/2016,https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O453WUQX06O00,,35,35,Yes,10 under construction,01/12/2017,01/12/2017,
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES010,Former County Primary School Fairfield Road Saxmundham Suffolk,1.48821,52.216033,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,0.59,owned by a public authority,,permissioned,reserved matters approval,01/07/2016,http://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O2QRTHQXI6K00,,16,16,Yes,6 under construction,01/12/2017,01/12/2017,
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES011,Snape Maltings Snape Bridge Tunstall Suffolk,1.498446,52.162707,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,1.47,not owned by a public authority,,permissioned,full planning permission,10/07/2015,http://publicaccess.eastsuffolk.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,73,73,Yes,30 dwellings completed,01/12/2017,01/12/2017,
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES012,Fynn Valley Golf Club Rose Hill Witnesham Suffolk IP6 9JA,1.185365,52.09676,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,2.13,not owned by a public authority,,permissioned,full planning permission,05/09/2016,http://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O3RQE3QXIRO00,,14,14,Yes,Built part of site only included; permitted area includes some greenfield land,01/12/2017,01/12/2017,
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES013,Neeves Pit Normanston Drive Lowestoft Suffolk,1.723973,52.481578,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,2.54,owned by a public authority,,pending decision,,,https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZJYASQXGK700,,49,49,,"Allocated in now superseded Waveney Local Plan (Waveney Site Specific Allocations DPD, 2011); pending decision (DC/15/5094/RG3)",01/12/2017,09/12/2019,09/12/2019
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES014,Monckton Avenue Nursery Lowestoft Suffolk,1.726136,52.483457,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,1.52,not owned by a public authority,,permissioned,full planning permission,05/12/2017,http://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OLFAPQQXK8F00,,45,45,Yes,Owned by a developer and expected to complete by 2022,01/12/2017,20/11/2018,
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES015,Telephone Exchange Lower Olland Street Bungay Suffolk,1.441597,52.452338,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,0.26,not owned by a public authority,,not permissioned,,,,,8,8,,"No longer meets criteria for Brownfield Land Register as not an allocation in an adopted Local Plan. Formerly an allocation in the Waveney Site Specific Allocations DPD, 2011",01/12/2017,06/01/2020,20/03/2019
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES016,Brooke Business Park Lowestoft Suffolk,1.726076,52.474477,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,11.93,not owned by a public authority,,permissioned,outline planning permission,17/08/2015,https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MWMEQ7QXJ1A00,,850,850,,"Allocated in Waveney Local Plan 2019 (WLP2.4) as part of a larger mixed-use site; outline planning consent (DC/13/3482/OUT) includes CWS and playing field; Approval of Reserved Matters for Phase 1 
(DC/18/1728/ARM) consented 26/07/2018",01/12/2017,06/01/2020,
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES017,Former Sanyo site Lowestoft Suffolk,1.723544,52.472305,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,8.06,owned by a public authority,,permissioned,outline planning permission,22/01/2016,https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NODY5YQXIKO00,,300,300,Yes,Allocated in Waveney Local Plan 2019 (WLP2.4) as part of a larger mixed-use site,01/12/2017,09/12/2019,
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES018,Part Former Jeld Wen site Lowestoft Suffolk,1.732236,52.47135,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,6.08,not owned by a public authority,,not permissioned,,,,,250,300,,Allocated in Waveney Local Plan 2019 (WLP2.4) as part of a larger mixed-use site,01/12/2017,09/12/2019,
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES019,Oswald’s Boatyard Lowestoft Suffolk,1.714187,52.474697,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,0.7,not owned by a public authority,,permissioned,full planning permission,19/02/2016,http://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NURCDGQXLQP00,,80,80,Yes,Allocated in now superseded Local Plan (Site Specific Allocations DPD 2011); full planning permission with VOC to allow limited highway work permitted Jan-19 DC/18/5164/VOC,01/12/2017,09/12/2019,
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES020,Builders Direct Supply Co Ltd South Elmham Terrace Lowestoft Suffolk NR33 9NH,1.714343,52.472339,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,0.98,not owned by a public authority,,not permissioned,,,http://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NBSMMXQXIZM00,,44,44,Yes,Forms part of a larger mixed-use allocation in the Waveney Local Plan (WLP2.6). Outline consent lapsed (DC/14/2986/OUT ) and outline renewal refused for reasons including the non-provision of affordable housing. (DC/18/0161/OUT).,01/12/2017,09/12/2019,
https://digital-land.github.io/organisation/local-authority-eng/ESK/,,ES021,Former H M Prison Blundeston Lakeside Rise Blundeston Suffolk,1.706893,52.510028,http://eastsuffolk.maps.arcgis.com/apps/MapJournal/index.html?appid=6eb61ef7c03744668814fba6f1587f4e,9.86,not owned by a public authority,,permissioned,full planning permission,30/06/2016,http://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O7OBW6QX01F00,,130,130,Yes,Owned by a developer and expected to complete by 2025,01/12/2017,01/12/2017,
