OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,P53,"55-77 Lichfield Street, Wolverhampton City Centre",391696,298791,,0.122,Unknown ownership,,Other Commitment,,,16/01361/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,P54,"Springvale Sports and Social Club, Millfields Road",394126,296112,,2.857,Unknown ownership,,Other Commitment,,,16/01422/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,39360,"Telecom House, Church Street, Wolverhampton City Centre",391235,298142,,0.55,Unknown ownership,,Full Planning Permission,,,17/00657/PAOCOU,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,39340,Land at Sweetbriar Road / Pump Street,393221,297065,,0.16,Unknown ownership,,Full Planning Permission,,,16/01413/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,39330,"Fmr Ettingshall Primary School, Herbert Street",393716,296954,,1.1,Unknown ownership,,Full Planning Permission,,,16/01414/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,39320,"Fmr Bilston Leisure Centre, Prouds Lane, Bilston",394903,296785,,0.89,Unknown ownership,,Full Planning Permission,,,16/01420/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,39310,"The Manse, Leacroft Avenue",392414,301590,,0.34,Unknown ownership,,Outline Planning Permission,,,15/01402/OUT,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,39280,Garage Site Behind 23 To 33 Beach Avenue Wolverhampton West Midlands,393070,295020,,0.1,Unknown ownership,,Outline Planning Permission,,,17/00005/OUT,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,39260,Land Formerly 37 - 39 Brooklands Parade Wolverhampton West Midlands WV1 2ND,393635,298749,,0.1,Unknown ownership,,Under Construction,,,16/01077/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,39230,Medical Massage 37 Thornley Street Wolverhampton West Midlands WV1 1JP,391575,298966,,0.006,Unknown ownership,,Full Planning Permission,,,16/00600/FUL,,,,,,,
