OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/03,"""Greens Yard, High Street (Tithe Barn Close), Compton""",451911,180022,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N4L0L4RD04Z00,0.95,not owned by a public authority,,permissioned,reserved matters approval,14/04/2015,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=N4L0L4RD04Z00,25,,,yes,. Approval of Reserved Matters following Outline planning permission 11/01159/XOUTMA - Development of 25 residential units with ancillary buildings,17/10/2017,17/10/2017,
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/04,"""Pirbright Institute site (formerly Institute For Animal Health), Compton""",451802,180203,http://info.westberks.gov.uk/CHttpHandler.ashx?id=43955&p=0,9.1,owned by a public authority,,not permissioned,,,,140,,,,The site is included as an allocation within the adopted Housing Site Allocations Development Plan Document. A Supplementary Planning Document has also been prepared for the site. http://info.westberks.gov.uk/hsa | http://info.westberks.gov.uk/CHttpHandler.ashx?id=36532&p=0,17/10/2017,17/10/2017,
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/05,"""Crookham House, Crookham Hill, Crookham Common, Thatcham""",452524,164869,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MPQ9R4RD04Z00,7.32,not owned by a public authority,,permissioned,full planning permission,26/03/2015,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=MPQ9R4RD04Z00,8,,,yes,". Change of use and redevelopment to provide a mixed-use scheme incorporating 2 stables buildings and 1 new vehicular access, 13 new dwellings, and the change of use of the existing Crookham House by its conversion to a further single dwelling and including associated demolition of existing extensions and outbuildings and the change of use of playing fields to ancillary recreation and equestrian uses. Alternatively, and notwithstanding the implementation of the rest of the proposed development, in the event that the residential use of the converted building is not brought into use or does not continue; the change of use of the Crookham House building to offices (Use Class B1(a))",17/10/2017,17/10/2017,
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/06,"""St Johns Hall, Station Road, Hungerford""",434060,168477,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MUAU7KRD0EA00,0.05,not owned by a public authority,,permissioned,full planning permission,31/07/2014,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=MUAU7KRD0EA00,6,,,yes,". Demolition of existing Hall and erection of 6 flats (4 x one bed and 2 x two bed) plus parking, access and landscaping",17/10/2017,17/10/2017,
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/07,"""Three Swans Hotel, 117 High Street, Hungerford""",433802,168539,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LRVR39RD09N00,0.2,not owned by a public authority,,permissioned,full planning permission,28/12/2011,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=LRVR39RD09N00,13,,,yes,". Comprehensive redevelopment of land to the rear of Three Swans Hotel, involving the construction of 13 residential units including 10 apartments and 3 houses, parking, landscaping, access from Park Street and associated works. To include partial demolition of non listed wall",17/10/2017,17/10/2017,
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/10,"""39 London Road, Newbury""",447190,167644,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OGQRWNRD0K500,0.05,not owned by a public authority,,permissioned,full planning permission,06/01/2017,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OGQRWNRD0K500,6,,,yes,. Change of Use from B1 (a) into six flats,17/10/2017,17/10/2017,
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/13,"""Sherwood House, 78 London Road, Newbury""",447443,167752,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OUIYNGRD0KD00,0.12,not owned by a public authority,,permissioned,other,05/10/2017,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OUIYNGRD0KD00,27,,,yes,. Application to determine if Prior Approval is required for the Change of Use of offices (B1a) to 27 studio apartments.,17/10/2017,08/01/2019,
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/14,"""11-17 and land to side of Mill Lane, Newbury""",447462,167027,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NIY0PKRD04Z00,0.23,not owned by a public authority,,permissioned,full planning permission,10/09/2015,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NIY0PKRD04Z00,12,,,yes,. Demolition of existing four almshouses and the erection of 16 No. one and two bedroom affordable flats together with associated external works,17/10/2017,17/10/2017,
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/15,"""St Marys Surgery, St Marys Road, Newbury""",447400,167668,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NTKXTRRD0EF00,0.1,not owned by a public authority,,permissioned,full planning permission,13/05/2015,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NTKXTRRD0EF00,12,,,yes,. Demolition of existing building and the erection of 12 no. flats and associated works,17/10/2017,17/10/2017,
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/16,"""Centrix House, 5 Oxford Road, Newbury""",446847,167705,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P1MJITRD01V00,0.16,not owned by a public authority,,permissioned,other,16/08/2018,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P1MJITRD01V00,42,,,yes,". Application to determine if Prior Approval is required for conversion of existing office building to 42 flats, with 40 allocated parking spaces.",17/10/2017,08/01/2019,
