OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR1,"""137-139 King Street, Great Yarmouth""",1.729144,52.604423,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2568&p=0,0.04,not owned by a public authority,,permissioned,full planning permission,12/10/2004,,,6,6,yes,"""06/04/0783/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR2,"""Land adjacent Runham Road / North River Road, Great Yarmouth""",1.720963,52.615429,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2569&p=0,1.19,not owned by a public authority,,permissioned,full planning permission,30/04/2009,,,24,24,yes,"""06/05/0866/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR3,"""Gainsborough Court, Great Yarmouth""",1.733681,52.599063,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2570&p=0,0.04,not owned by a public authority,,permissioned,full planning permission,27/04/2010,,,12,12,yes,"""06/12/0647/F & 06/14/0551/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR4,"""Rear of 5 Marine Parade, Great Yarmouth""",1.735367,52.60133,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2571&p=0,0.02,not owned by a public authority,,permissioned,full planning permission,05/10/2010,,,6,6,yes,"""06/10/0448/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR5,"""Former Ivy House & The Hollies, Burnt Lane / Addison Road , Great Yarmouth""",1.725034,52.58595,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2572&p=0,0.26,not owned by a public authority,,permissioned,full planning permission,28/11/2017,,,18,18,yes,"""06/16/0189/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR6,"""Former Claydon High School, Beccles Road, Gorleston, Great Yarmouth""",1.714183,52.584411,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2573&p=0,5.08,not owned by a public authority,,permissioned,full planning permission,30/01/2018,,,113,113,yes,"""06/15/0737/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR7,"""31/31A Hall Plain, Great Yarmouth""",1.725728,52.606122,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2574&p=0,0.02,not owned by a public authority,,permissioned,full planning permission,21/08/2013,,,6,6,yes,"""06/13/0391/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR8,"""137 Mill Road, Great Yarmouth""",1.720662,52.606137,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2575&p=0,0.04,not owned by a public authority,,permissioned,full planning permission,01/12/2014,,,10,10,yes,"""06/14/0592/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR10,"""5-6 Nelson Road South, Great Yarmouth""",1.73343,52.600105,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2577&p=0,0.02,not owned by a public authority,,permissioned,full planning permission,21/12/2015,,,5,5,yes,"""06/15/0647/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR11,"""5 Deneside, Great Yarmouth""",1.729102,52.605836,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2578&p=0,0.02,not owned by a public authority,,permissioned,full planning permission,30/05/2013,,,5,5,yes,"""06/13/0083/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR13,"""Peters Car Sales, Acle New Road, Great Yarmouth""",1.72095,52.613882,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2580&p=0,0.12,not owned by a public authority,,permissioned,outline planning permission,10/12/2015,,,14,14,,"""06/15/0584/O""",20/12/2017,19/12/2019,19/12/2019
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR14,"""Abbeville Lodge, Acle New Road, Great Yarmouth""",1.721141,52.613526,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2581&p=0,0.12,not owned by a public authority,,permissioned,outline planning permission,10/12/2015,,,16,16,,"""06/15/0587/O""",20/12/2017,19/12/2019,19/12/2019
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR15,"""Watsons Bakery, 6 Howard Street North, Great Yarmouth""",1.725058,52.608662,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2582&p=0,0.05,not owned by a public authority,,permissioned,outline planning permission,15/12/2015,,,6,6,yes,"""06/15/0634/O""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR17,"""1 Woodfarm Lane, Gorleston, Great Yarmouth""",1.711538,52.559768,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2584&p=0,0.02,not owned by a public authority,,permissioned,full planning permission,02/02/2017,,,7,7,yes,"""06/16/0781/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR18,"""Horatio House, Southtown Road, Gorleston, Great Yarmouth""",1.72386,52.598562,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2585&p=0,0.5,not owned by a public authority,,permissioned,outline planning permission,29/06/2016,,,24,24,yes,"""06/15/0348/O""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR19,"""Magdalen House, Magdalen Square, Gorleston, Great Yarmouth""",1.713704,52.57178,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2586&p=0,0.81,not owned by a public authority,,permissioned,full planning permission,08/08/2016,,,46,46,yes,"""06/14/0773/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR21,"""165 King Street, Great Yarmouth""",1.727656,52.606205,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2588&p=0,0.03,not owned by a public authority,,permissioned,full planning permission,16/07/2016,,,8,8,yes,"""06/16/0278/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR22,"""26 Southgates Road, Great Yarmouth""",1.728464,52.596249,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2589&p=0,0.07,not owned by a public authority,,permissioned,full planning permission,10/08/2016,,,6,6,,"""06/16/0193/F""",20/12/2017,19/12/2019,19/12/2019
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR23,"""14 Camperdown, Great Yarmouth""",1.733767,52.60076,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2590&p=0,0.01,not owned by a public authority,,permissioned,full planning permission,23/12/2016,,,5,5,yes,"""06/16/0126/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR24,"""11/12 South Quay, Great Yarmouth""",1.72581,52.604824,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2591&p=0,0.03,not owned by a public authority,,permissioned,full planning permission,08/03/2017,,,7,7,,"""06/16/0661/F""",20/12/2017,19/12/2019,19/12/2019
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR25,"""84 North Denes Road, Great Yarmouth""",1.734252,52.619463,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2592&p=0,0.03,not owned by a public authority,,permissioned,full planning permission,28/10/2016,,,7,7,yes,"""06/16/0523/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR26,"""Former trailer storage yard, Mill Road, Cobholm, Great Yarmouth""",1.714347,52.608675,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2593&p=0,0.17,not owned by a public authority,,pending decision,,,,,11,11,yes,"""06/16/0431/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR27,"""132 Gordon Road, Great Yarmouth""",1.722967,52.599526,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2594&p=0,0.12,not owned by a public authority,,permissioned,full planning permission,06/12/2018,,,22,22,yes,"""06/16/0188/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR28,"""Northgate Hospital, Great Yarmouth""",1.730036,52.618031,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2595&p=0,2.18,owned by a public authority,,pending decision,,,,,79,79,yes,"""New planning application under consideration - 06/18/0582/F, potential for contaminated land associated with hospital, a Site Investigation Report has been considered with the application.""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR29,"""Atlantis Complex, Marine Parade, Great Yarmouth""",1.735962,52.604505,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2596&p=0,0.22,not owned by a public authority,,permissioned,full planning permission,05/12/2017,,,18,18,yes,"""06/15/0769/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR31,"""Great Yarmouth Waterfront""",1.721003,52.610507,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2598&p=0,40,mixed ownership,,not permissioned,,,,,246,246,yes,"""Site Allocation - Policy CS17, contains contaminated land associated with previous industrial uses and requires significant flood infrastructure to protect site and surrounding land.""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR32,"""73 Southtown Road, Great Yarmouth""",1.723165,52.599951,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2599&p=0,0.18,not owned by a public authority,,permissioned,outline planning permission,04/07/2017,,,14,14,yes,"""06/16/0695/O""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR33,"""35-36 South Quay, Great Yarmouth""",1.726898,52.603018,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2600&p=0,0.01,not owned by a public authority,,permissioned,full planning permission,23/08/2017,,,14,14,yes,"""06/16/0593/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR34,"""Former garage, Estcourt Road, Great Yarmouth""",1.733369,52.616046,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2601&p=0,0.01,not owned by a public authority,,permissioned,full planning permission,09/10/2017,,,6,6,yes,"""06/17/0455/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR35,"""33 Marine Parade, Great Yarmouth""",1.736337,52.608388,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2602&p=0,0.01,not owned by a public authority,,permissioned,full planning permission,20/04/2018,,,16,16,yes,"""06/16/0784/F""",20/12/2017,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR36,"""93-96 North Denes Road , Great Yarmouth""",1.734119,52.618433,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=3995&p=0,0.01,not owned by a public authority,,permissioned,full planning permission,23/01/2018,,,16,16,yes,"""06/17/0546/F""",20/12/2018,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR37,"""Land at, Church Road, Gorleston, Great Yarmouth""",1.72506,52.585041,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=3996&p=0,0.12,not owned by a public authority,,permissioned,full planning permission,11/04/2018,,,6,6,yes,"""06/17/0781/F""",20/12/2018,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR38,"""Land between 90 and 102, Regent Road, Great Yarmouth""",1.731524,52.607217,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=3998&p=0,0.22,not owned by a public authority,,permissioned,full planning permission,09/07/2018,,,23,23,yes,"""06/17/0469/F""",20/12/2018,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR39,"""Rear of, Rumbold Arms, Southtown Road, Great Yarmouth""",1.724325,52.595867,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=3999&p=0,0.18,not owned by a public authority,,permissioned,full planning permission,12/10/2018,,,7,7,yes,"""06/18/0425/F""",20/12/2018,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BRF40,"""Land off Dock Tavern Lane Gorleston, Great Yarmouth""",1.73069,52.579179,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=4000&p=0,0.17,not owned by a public authority,,permissioned,full planning permission,06/11/2018,,,22,22,yes,"""06/17/0225/F"" - Development now largely complete",20/12/2018,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR41,"""43 Market Row, Great Yarmouth""",1.7249,52.608028,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=4001&p=0,0.05,not owned by a public authority,,permissioned,full planning permission,01/11/2018,,,7,7,yes,"""06/18/0046/F""",20/12/2018,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR42,"""Former Ferryside Building, 98 High Road, Gorleston, Great Yarmouth""",1.727107,52.588448,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=4002&p=0,0.48,not owned by a public authority,,not permissioned,,,,,20,20,,"""06/16/0190/F""",20/12/2018,19/12/2019,
http://opendatacommunities.org/id/district-council/great-yarmouth,,BFR43,"""34 Marine Parade, Great Yarmouth""",1.735846,52.605057,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=4003&p=0,0.01,not owned by a public authority,,pending decision,,,,,10,10,yes,"""06/18/0039/F""",20/12/2018,19/12/2019,
https://opendatacommunities.org/doc/district-council/great-yarmouth,,BRF44,"""45 Yarmouth Way, Great Yarmouth""",1.726624,52.604664,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=4915&p=0,0.2,not owned by a public authority,,permissioned,planning permission granted under an order,02/09/2019,,,29,29,yes,"""06/18/0507/PDC""",19/12/2019,19/12/2019,
https://opendatacommunities.org/doc/district-council/great-yarmouth,,BRF46,"""19 Hall Quay, Great Yarmouth""",1.724102,52.606983,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=4916&p=0,0.05,not owned by a public authority,,permissioned,full planning permission,09/05/2017,,,7,7,yes,"""06/16/0765/F""",19/12/2019,19/12/2019,
https://opendatacommunities.org/doc/district-council/great-yarmouth,,BRF49,"""16 Southgates Road""",1.728265,52.59738,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=4917&p=0,0.07,not owned by a public authority,,permissioned,outline planning permission,17/07/2018,,,9,9,yes,"""06/18/0258/O""",19/12/2019,19/12/2019,
https://opendatacommunities.org/doc/district-council/great-yarmouth,,BRF50,"""40-42 Market Place (1st & 2nd floors)""",1.726669,52.607631,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=4918&p=0,0.07,not owned by a public authority,,permissioned,planning permission granted under an order,20/12/2018,,,8,8,yes,"""06/18/0614/PDC""",19/12/2019,19/12/2019,
https://opendatacommunities.org/doc/district-council/great-yarmouth,,BRF51,"""Dock Tavern Lane (Control Repair Ltd)""",1.72989,52.579141,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=4919&p=0,0.01,not owned by a public authority,,permissioned,full planning permission,07/09/2018,,,6,6,yes,"""06/18/0363/F""",19/12/2019,19/12/2019,
https://opendatacommunities.org/doc/district-council/great-yarmouth,,BRF52,"""54 Englands Lane""",1.728897,52.574405,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=4920&p=0,0.01,not owned by a public authority,,permissioned,planning permission granted under an order,08/08/2018,,,5,5,yes,"""06/18/0288/PDC""",19/12/2019,19/12/2019,
https://opendatacommunities.org/doc/district-council/great-yarmouth,,BRF53,"""Former Florida Group Building, Bells Marsh Road""",1.730623,52.57769,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=4921&p=0,0.21,not owned by a public authority,,permissioned,full planning permission,09/04/2019,,,13,13,yes,"""06/17/0681/F""",19/12/2019,19/12/2019,
https://opendatacommunities.org/doc/district-council/great-yarmouth,,BRF54,"""The Gannel, High Road, Burgh Castle""",1.668009,52.588505,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=4922&p=0,0.47,not owned by a public authority,,permissioned,full planning permission,20/02/2019,,,6,6,yes,"""06/18/0594/F""",19/12/2019,19/12/2019,
