OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR001,"Glendaragh, Barn Park Road, Teignmouth TQ14 8PN",294282,73277,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=01%2f03478%2fCOU,0.26,not owned by a public authority,,permissioned,full planning permission,26/10/2001,,17,15,15,yes,Part of this site was started in 2002. Change of use and conversion of Nursing Home to form 15 new and two existing sheltered apartments with nursing care facilities,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR002,"Rosemary Avenue, Newton Abbot TQ12 1SB",284837,71739,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=05%2f04278%2fFUL,0.12,not owned by a public authority,,permissioned,full planning permission,22/03/2006,,6,6,6,yes,Groundworks commenced keeping this live. six dwellings (three pairs of semi-detached),01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR003,"Platway House, Torquay Road, Shaldon TQ14 0AU",292935,72171,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f03261%2fMAJ,0.47,not owned by a public authority,,permissioned,full planning permission,01/07/2008,,10,9,9,yes,Original dwelling demolished. Approval of details for demolition of existing house and outbuildings and the erection of 10 dwellings,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR004,"Shapters Yard, Strand Hill, Dawlish EX7 9PS",296243,76779,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=12%2f01811%2fFUL,0.04,not owned by a public authority,,permissioned,full planning permission,31/07/2012,,9,9,9,yes,started. 9 flats,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR005,"Former Wolborough Hospital, Old Totnes Road, Newton Abbot TQ12 6AA",285183,70226,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f01497%2fMAJ,1.14,not owned by a public authority,,permissioned,full planning permission,21/01/2013,,13,13,79,yes,started. Demolition of existing buildings and construction of 13 dwellings,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR006,"Holcombe Hall, Holcombe Drive, Dawlish  EX7 0JW",295684,74777,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f02517%2fFUL,0.73,not owned by a public authority,,permissioned,full planning permission,10/10/2014,,7,7,7,yes,started - 2 completed. Conversion to 3 units & 4 new dwellings,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR007,"14 Barton Villas, Dawlish EX7 9QJ",295546,76614,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f03658%2fFUL,0.04,not owned by a public authority,,permissioned,full planning permission,10/10/2014,,8,5,5,yes,started. Conversion and extension of three flats to form eight flats,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR008,"22 - 26 Wolborough Street, Newton Abbot TQ12 1JJ",285743,71200,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f01015%2fMAJ,0.18,not owned by a public authority,,permissioned,full planning permission,10/10/2014,,27,27,27,yes,started. 27 flats above retail area,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR009,"Clay Lane, Teignmouth TQ14 8FW",293729,73004,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f01918%2fMAJ,0.08,not owned by a public authority,,permissioned,full planning permission,09/10/2014,,21,21,21,yes,2 phase scheme part 1 completed in 2009. Erection of 20 apartments,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR010,"land at Ilford Park, Stover, Newton Abbot TQ12 6PW",282740,74738,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f02580%2fMAJ,26.45,not owned by a public authority,,permissioned,full planning permission,01/06/2016,,23,23,23,yes,. Outline application for mixed use development including residential (and demolition of existing res),01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR011,"5 George Street, Teignmouth TQ14 8AH",294040,72875,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f03008%2fCOU,0.03,not owned by a public authority,,permissioned,full planning permission,26/01/2015,,8,8,8,yes,started. Change of use and conversion of commercial building into 8 flats,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR012,"17 Bank Street, Newton Abbot TQ12 2JL",285777,71281,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f03632%2fFUL,0.04,not owned by a public authority,,permissioned,full planning permission,07/05/2015,,13,7,7,yes,started. redevelopment of existing residential accommodation to create 13 flats,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR013,"Littlehayes, 9 East Cliff Road, Dawlish EX7 0BP",296412,76953,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=15%2f00726%2fMAJ,0.14,not owned by a public authority,,permissioned,full planning permission,26/01/2016,,9,9,9,yes,started. Demolition of existing building and construction of 9 apartments,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR014,"RMS Motors, Pottery Road, Bovey Tracey TQ13 9DS",281544,77091,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=15%2f00776%2fMAJ,0.51,not owned by a public authority,,permissioned,full planning permission,28/08/2015,,14,14,14,yes,started. 14 dwellings & industrial unit (B1a),01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR015,"Shell Cove House, 19 Old Teignmouth Road, Dawlish EX7 0NJ",295898,75651,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=15%2f02590%2fFUL/https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f00300%2fMAJ,2.8,not owned by a public authority,,permissioned,full planning permission,24/03/2016,,34,34,34,yes,started 2 applications. Demolition of existing buildings and redevelopment to form six cottages for later living & 11 cottages and 17 flats for later living,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR016,"Langdon Hospital, Dawlish EX7 0NS",296158,78672,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=15%2f02700%2fMAJ,11.11,not owned by a public authority,,permissioned,outline planning permission,13/09/2016,,26,26,34,yes,only approx 1.04 ha brownfield. 200 dwellings,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR017,"Bishop Dunstan School, 16 South Road, Newton Abbot TQ12 1HH",285867,70615,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=15%2f02732%2fMAJ,2.73,not owned by a public authority,,permissioned,full planning permission,18/07/2016,,27,27,27,yes,". Outline for 1 custom build, conversion school to 4 & coach house to 1 dwellings & 21 new dwellings",01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR018,"Conitor House, Denbury Road, Ogwell, Newton Abbot  TQ12 6AD",284988,69690,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=15%2f02943%2fNPA,0.25,not owned by a public authority,,permissioned,full planning permission,15/12/2015,,11,11,11,yes,. change of use from offices to 11 dwellings,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR019,"Peppermint Club, Warren Road, Dawlish Warren, Dawlish EX7 0PQ",297753,78620,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f00037%2fMAJ/https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f00041%2fFUL,0.47,not owned by a public authority,,permissioned,full planning permission,08/01/2017,,21,21,21,yes,pending S106. Demolition of existing disused clubhouse and three flats and erection of 16 dwellings  & erection of five dwellings,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR020,"2 Old Town Street, Dawlish EX7 9AL",295691,76836,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f00464%2fFUL,0.15,not owned by a public authority,,permissioned,full planning permission,13/07/2016,,9,9,9,yes,started. Conversion of existing church buildings to 9 residential units,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR021,"Kingsteignton Community Resource Centre, Greenhill Road, Kingsteignton TQ12 3BD",287367,72848,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f00477%2fMAJ,0.98,not owned by a public authority,,permissioned,full planning permission,28/10/2016,,36,36,36,yes,started. 34 dwellings & 2 self build plots,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR022,"Land At Former Treston House, Dawlish  EX7 0BL",296160,77147,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f00528%2fMAJ,1.14,not owned by a public authority,,permissioned,full planning permission,28/07/2017,,27,27,27,yes,started. Variation of condition 1 of 06/07840 & 11/01247 to allow 27 dwellings,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR023,"Blenheim, Brimley Road, Bovey Tracey TQ13 9DH",280716,77303,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f02013%2fFUL,0.32,not owned by a public authority,,permissioned,full planning permission,08/12/2016,,5,5,5,yes,. Conversion to 5 flats,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR024,"Prospect Chapel, 5 Torquay Road, Newton Abbot TQ12 2LJ",286306,71127,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f02132%2fFUL,0.06,not owned by a public authority,,permissioned,full planning permission,19/01/2017,,9,9,9,yes,started. demolition of existing building and construction of 3 houses and 6 apartments,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR025,"The Old Brewery, 45 High Street, Dawlish EX7 9HF",295994,76820,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f02723%2fFUL,0.02,not owned by a public authority,,permissioned,full planning permission,10/03/2017,,6,6,6,yes,started. Change of use from ground floor retail & upper floor office to 6 flats,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR026,"Charterhouse Residential Care Home, Second Drive, Teignmouth TQ14 8TL",294685,74017,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f02794%2fFUL,0.23,not owned by a public authority,,permissioned,full planning permission,14/07/2017,,10,9,9,yes,. Extension and alterations to existing residential care home and outbuilding to form 10 apartments,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR027,"former Queens Hotel, 142-148 Queen Street, Newton Abbot TQ12 2EZ",286638,71298,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f02929%2fMAJ,0.1,not owned by a public authority,,permissioned,full planning permission,30/03/2017,,21,21,21,yes,". Alteration, extension and conversion of existing building into 21 apartments",01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR028,"Tracey Vale Retirement Home, Brimley Vale, Bovey Tracey TQ13 9EA",281100,77724,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=17%2f00452%2fMAJ,0.42,not owned by a public authority,,permissioned,full planning permission,15/06/2017,,10,10,10,yes,. Demolition of existing building and erection of ten dwellings,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR029,"KS3 Land at Abbrook, Kingsteignton",286490,74450,https://www.teignbridge.gov.uk/planning/forms/teignbridge-local-plan-interactive-map/?uprn=010032958126&x=286574&y=74478,1.56,not owned by a public authority,,not permissioned,other,,,34,34,44,yes,only approx 1.38ha brownfield. Allocation for 140,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR030,"Bradley Lane, Newton Abbot",285456,71232,https://www.teignbridge.gov.uk/media/1814/local-plan-heart-of-teignbridge.pdf,5.6,owned by a public authority,,not permissioned,other,,,170,170,170,yes,. Allocation for 170,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR031,"NA3A Beverley Way, Newton Abbot",285165,70620,https://www.teignbridge.gov.uk/planning/forms/teignbridge-local-plan-interactive-map/?uprn=100040315214&x=285188&y=70592,0.19,not owned by a public authority,,pending decision,other,,,5,5,5,yes,application for 5 dwellings only. Allocation for 20,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR032,"Town Centre, Newton Abbot",285809,71393,https://www.teignbridge.gov.uk/media/1814/local-plan-heart-of-teignbridge.pdf,4.5,owned by a public authority,,not permissioned,other,,,120,120,120,yes,. Allocation for 120,01/11/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/teignbridge,Teignbridge District Council,BFR033,"TE4 Brunswick Street, Teignmouth",294002,72794,https://www.teignbridge.gov.uk/planning/forms/teignbridge-local-plan-interactive-map/?uprn=100040339923&x=294025&y=72686,0.32,owned by a public authority,,permissioned,planning permission granted under an order,12/04/2016,,40,40,40,yes,. Allocation for 40,01/11/2017,13/12/2017,
