OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR1,"Deans Yard, South Road, Baldock",525107.28,233548.95,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Baldock%20Sites.pdf,0.32,not owned by a public authority,,Not permissioned,,,,20,20,20,Yes,,31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR2,"Land at Icknield Way, Baldock",524255.73,234137.17,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Baldock%20Sites.pdf,0.52,not owned by a public authority,,Not permissioned,,,,26,26,26,Yes,,31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR3,"Station Road/Royston Road, Baldock",524614.73,234154.06,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Baldock%20Sites.pdf,0.44,not owned by a public authority,,Permissioned,Full planning permission,05/08/2016,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV5LKID950&activeTab=summary,50,,,Yes,". Residential development of 50 units comprising 4 x 3 bedroom dwellings; 29 x 2 bedroom flats and 17 x 1 bedroom flats, with associated car parking, landscaping and ancillary works.",31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR4,"Hadrian Way, Baldock",523726.92,233522.8,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Baldock%20Sites.pdf,0.66,not owned by a public authority,,Permissioned,Full planning permission,22/02/2016,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV3LKID794&activeTab=summary,12,,,Yes,". Change of use from B1/C2/D1 to residential involving conversion of existing building, demolition of existing outbuildings and erection of a single storey building to form 12 residential units comprising 4 x 2 bedroom flats and 8 x 3 bedroom flats with associated garages, parking and ancillary works.",31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR5,"Former B&Q, at junction of Nightingale and Walsworth Road, Hitchin",519255.59,229763.25,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Hitchin%20Sites.pdf,0.68,not owned by a public authority,,Not permissioned,,,,60,60,60,Yes,,31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR6,"Centre for the Arts, Willian Road, Hitchin",519987.38,230117.68,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Hitchin%20Sites.pdf,1.03,not owned by a public authority,,Permissioned,Full planning permission,12/05/2016,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV3LKID794&activeTab=summary,85,,,Yes,". Residential development of 85 dwellings comprising 6 apartment blocks to accommodate 75 x 1 and 2 bedroom apartments together with two terraces of 3 x 3 bed houses and 1 terrace of 4 x 3 bed houses; provision of 120 parking spaces, associated landscaping and vehicular access from Cambridge Road, Willian Road and Hampden Road following demolition of existing college building.",31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR7,"Industrial area, Cooks Way, Hitchin",519344.97,230087.71,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Hitchin%20Sites.pdf,0.73,not owned by a public authority,,Permissioned,Full planning permission,10/06/2016,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV3LKID907&activeTab=summary,18,,,Yes,". 3-storey residential development comprising 8 x 1-bed and 10 x 2-bed flats together with associated amenity space, parking, cycle shed and refuge store.",31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR8,"Chas Lowe, London Road, Knebworth",525122.24,220165.17,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Knebworth%20Sites.pdf,0.41,not owned by a public authority,,Not permissioned,,,,14,14,14,Yes,,31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR9,"Pixmore Centre, Pixmore Avenue, Letchworth",522467.85,232957.68,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,0.39,not owned by a public authority,,Not permissioned,,,,31,31,31,Yes,,31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR10,"Freeman House, Radburn Way, Letchworth",522819.66,232146.65,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,0.31,public authority,,Permissioned,Outline planning permission,25/08/2016,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYUZLKID974&activeTab=summary,8,,,Yes,. Outline application (all matters reserved except access) for a residential development comprising of 8 dwellings including new access from Radburn Way following demolition of existing elderly persons' home,31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR11,"Foundation House, Icknield Way, Letchworth",522491.2,233389.39,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,0.78,not owned by a public authority,,Not permissioned,,,,47,47,47,Yes,,31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR12,"Glebe Road industrial estate, Letchworth",522294.87,233371.86,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,0.26,not owned by a public authority,,Not permissioned,,,,10,10,10,Yes,,31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR13,"Hamonte, Letchworth",523093.21,231817.53,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,1.16,not owned by a public authority,,Permissioned,Full planning permission,26/05/2017,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV2LKID807&activeTab=summary,30,,,Yes,". 3/4 storey building to provide 71 x 2-bedroom assisted living apartments together with communal facility and amenity area, provision of refuse & cycle store and 76 parking spaces for residents, staff and visitors and all associated works following demolition of existing 39 unit sheltered apartment scheme.",31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR14,"Nursery, Icknield Way, Letchwoth",521402.18,232780.77,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,0.43,not owned by a public authority,,Not permissioned,,,,8,8,8,Yes,,31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR15,"Site at Birds Hill, Letchworth",522401.22,232952.34,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,0.6,not owned by a public authority,,Not permissioned,,,,48,48,48,Yes,,31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR16,"Garages, Icknield Way, Letchworth",521232.35,232672.66,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,0.69,not owned by a public authority,,Not permissioned,,,,25,25,25,Yes,,31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR17,"Former Depot, Icknield Way, Letchworth",522920.34,233409.82,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,0.92,mixed ownership,,Not permissioned,,,,55,55,55,Yes,,31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR18,"Land at Birds Hill, Letchworth",522389.71,233037.76,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,1.07,not owned by a public authority,,Not permissioned,,,,86,86,86,Yes,,31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR19,"Anglian Business Park, Orchard Road, Royston",535058.36,241252.08,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Royston%20Sites.pdf,1.19,not owned by a public authority,,Not permissioned,,,,48,48,48,Yes,,31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR20,"Land at Lumen Road, Royston",535679.17,241148.47,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Royston%20Sites.pdf,0.28,not owned by a public authority,,Pending decision,,,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV0LKID067&activeTab=summary,14,14,14,Yes,,31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR21,"Agricultural supplier, Garden Walk, Royston",536221.11,241126.2,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Royston%20Sites.pdf,0.93,not owned by a public authority,,Permissioned,Outline planning permission,24/10/2016,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYUYLKID997&activeTab=summary,19,,,Yes,. Outline planning application (all matters reserved except for access) for residential development of up to 19 dwellings.,31/12/2017,31/12/2017,
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR22,"John Barker Place, Westmill, Hitchin",517457.55,230255.02,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Hitchin%20Sites.pdf,0.71,not owned by a public authority,,Permissioned,Full planning permission,13/02/2015,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYVALKID796&activeTab=summary,33,,,Yes,". Demolition of existing shops, flats and garages and redevelopment of site with housing retail and community facilities comprising: 15 x two-bed houses, 24 flats (22 x two-bed and 2 x one-bed flats), supermarket (Class A1) and takeaway (Class A5) on ground floor of flat block; associated landscaping, parking and new play area. Provision of new pedestrian crossing and visitor parking on John Barker Place.",31/12/2017,31/12/2017,
