OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,26CH,"""Kings Head Pub, East Grinstead Road, Chailey""",4024499.39,-1336.85,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.29,not owned by a public authority,,permissioned,full planning permission,2017-05-02,,,,Yes,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,10HY,"""Covers Yard, Cooksbridge Road, Cooksbridge, BN8 4TJ, Hamsey""",4030279.22,-678.12,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,1.7,not owned by a public authority,,permissioned,,,,,,Yes,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,05HY,"""Former Hamsey Brickworks, South Road, South Common, Chailey Parish""",4028419.06,-759.28,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,9.14,not owned by a public authority,,permissioned,,,,,,,". ""Redevelopment of industrial estate with 8 x B1 (business) units""
enabling residential development of 37 open market houses and 12 affordable dwellings",2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,60NH,"""Harbourside Inn, Fort Road, Newhaven""",4040418.69,3608.16,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.2,not owned by a public authority,,permissioned,full planning permission,2015-10-01,,,,Yes,". ""Site has planning approval (LW/13/0769) for 11 residential units and A1 use. Site is under construction with first phase (6 units) complete""",2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,52NH,"""Newhaven fire station, Fort Road, Newhaven""",4040150.13,3628.54,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.12,not owned by a public authority,,permissioned,full planning permission,2015-06-05,,,,Yes,". ""Construction of seven x three storey houses with associated garden and parking""",2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,BLR01,"""The Bridge Inn, High Street, Newhaven""",4156459.22,-550921.07,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.35,not owned by a public authority,,permissioned,full planning permission,2015-08-06,,,,Yes,". ""Conversion of the upper floors to create six self-contained residential flats, internal alterations including new ground floor lobby area and associated works""",2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,46NH,"""Former Parker Pen Site,52 Railway Road, Newhaven""",4039869.23,4029.53,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2.8,not owned by a public authority,,permissioned,full planning permission,2015-11-30,,,,Yes,". ""145 dwellings and associated access, car parking, servicing, and open space""",2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,16NH,"""Old Shipyard, Robinson Road, Newhaven""",4039558.02,3261.04,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.64,not owned by a public authority,,permissioned,outline planning permission,2015-11-30,,,,Yes,". ""Demolition of existing boatyard including commercial buildings and construction of new mixed residential development of 66 dwellings including 4 houses and 62 flats""",2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,BLR02,"""Unit 6 Kendal Court, Railway Road, Newhaven""",4039946.68,3950.79,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.01,not owned by a public authority,,permissioned,full planning permission,2015-12-05,,,,Yes,". ""Change of Use (including minor external alteration) from office to residential C3""",2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,02NH,"""Seahaven Caravans, Railway Road, Newhaven""",4039763.52,3903.16,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.22,not owned by a public authority,,not permissioned,,,,,,Yes,,2017-12-21,2017-12-21,
