OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR7,"Highcross House, Pound Lane",378793,217100,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/Ee5kR70ErPVDodF3DbcAP5wB0QWM2r1Qrc9oj8GWxsGiCA?e=mMVOZt,0.19,not owned by a public authority,,not permissioned,,,,,,,Suitable Brownfield Site taken from the SHELAA Ref. MIN005,21/12/2017,16/07/2019,
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR12,"Healings Mill, Quay Street, Tewkesbury",389288,232979,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/EVUvE8HaVw9Fo2wS36AvrsYBCBFCTeDh5rPg1KZCnjRu3A?e=bziLCb,0.2,not owned by a public authority,,not permissioned,,,,,,,Suitable Brownfield Site taken from the SHELAA Ref. TEWK004,21/12/2017,16/07/2019,
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR15,"MAFF Site, Tewkesbury",389967,233057,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/EblZ4reXiwFEtNpoSoElZVQBypM1B1uuA6yiuyxY2z0UeA?e=B5B9jX,0.9,owned by a public authority,,not permissioned,,,,,,,Suitable Brownfield Site taken from the SHELAA Ref. TEWK016,21/12/2017,16/07/2019,
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR16,"Knightsbridge Nursery, Tewkesbury Road",389555,226563,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/ESWDTZNLVeFMjjVb82yPtU4BdwroO6yiS1Yl3DSfyJZWfA?e=fPMjI4,1.25,not owned by a public authority,,not permissioned,,,,,,,Suitable Brownfield Site taken from the SHELAA Ref. ELM004,21/12/2017,16/07/2019,
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR17,Ashchurch Rifle Range,393224,233094,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/EejRAjAHn_VNrN-1DvyRoZYBD_AnufxP7nRahdA6otHzTw?e=GsJ9SG,0.49,not owned by a public authority,,not permissioned,,,,,,,Suitable Brownfield Site taken from the SHELAA Ref. ASHC020,16/07/2019,16/07/2019,
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR18,Bishop's Walk / Spring Gardens,395718,227747,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/EZkEmn5gTPFIhwXTxOMLSCQBMIijIOFsryZ6YdyunD5TMg?e=EUWYcr,1.27,owned by a public authority,,not permissioned,,,,,,,Suitable Brownfield Site taken from the SHELAA Ref. TEWK017,16/07/2019,16/07/2019,
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR19,"Garages to rear of Harrison Road, Shurdington",391855,218641,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/ESoCM_cWfkFMmILgVlYV2hcBzQ533mhVb7CTxFTt5oK2Fg?e=xfWQFF,0.24,owned by a public authority,,not permissioned,,,,,,,Suitable Brownfield Site taken from the SHELAA Ref. SHUR016,16/07/2019,16/07/2019,
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR20,Land adjacent to the former Apple Tree Inn,378815,217424,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/EekslyHI7k5MiEzQ5QGsgBABFn_8hFSfeIrCyD3-O3qf9w?e=io469o,0.42,not owned by a public authority,,permissioned,Full Planning Permission,2018-04-08,https://publicaccess.tewkesbury.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000NZDQDLI000,,,Yes,"Suitable Brownfield Site taken from the SHELAA Ref. MIN014. 17/00983/FUL - Erection of 5 new dwellings, including alterations to the existing access serving the public house and demolition of non-historic additions to Apple Tree Inn. Permit.",16/07/2019,16/07/2019,
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR21,"Land at Burnside, Mill Lane, Prestbury",397711,223992,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/ES_8WRf7ymJKsEPUqWCZLmcBhULHfpXjrG2VP5kwnlZQxQ?e=jPjgjw,0.85,not owned by a public authority,,not permissioned,,,,,,,Suitable Brownfield Site taken from the SHELAA Ref. SOU004,16/07/2019,16/07/2019,
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR22,"Land at the Old Farmers Arms, Evesham Road",395535,228753,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/EW2paVERWTpBryMkSxT1v_cBZ-hhPncIL66eNRB0ivkvCg?e=OF9Y3C,0.29,not owned by a public authority,,not permissioned,,,,,,,Suitable Brownfield Site taken from the SHELAA Ref. GOT018,16/07/2019,16/07/2019,
