OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL01,Depot at Feltham Hill Road and Poplar Road,-0.444415,51.428108,Site Plan BL01,1.47,Not owned by a public authority,,Not permissioned,,,,,,Yes,,01/09/2017,22/12/2017,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL02,28-44 Feltham Road,-0.453851,51.432444,Site Plan BL02,0.47,Not owned by a public authority,,Not permissioned,,,,,,Yes,,01/09/2017,22/12/2017,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL03,158-166 Feltham Road,-0.443777,51.432421,Site Plan BL03,1.3,Not owned by a public authority,,Not permissioned,,,,,,Yes,,01/09/2017,22/12/2017,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL04,Works adjoining Harrow Road,-0.458937,51.44597,Site Plan BL04,0.58,Not owned by a public authority,,Not permissioned,,,,,,Yes,,01/09/2017,22/12/2017,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL05,Steel works and Builders Merchants,-0.50432,51.432314,Site Plan BL05,1.37,Not owned by a public authority,,Not permissioned,,,,,,Yes,,01/09/2017,22/12/2017,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL06,"381-385 Staines Road West, Ashford",-0.443849,51.422604,Site Plan BL06,0.26,Not owned by a public authority,,Permissioned,Full planning permission,13/02/2017,Planning History,,,Yes,,09/11/2017,22/12/2017,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL07,"Builders Merchants, Moor Lane, Staines",-0.515553,51.437618,Site Plan BL07,0.57,Not owned by a public authority,,Permissioned,Full planning permission,03/09/2015,Planning History,,,Yes,Flood zone 2,09/11/2017,22/12/2017,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL08,"42 High Street, Shepperton",-0.448338,51.394406,Site Plan BL08,0.67,Not owned by a public authority,,Permissioned,Full planning permission,09/02/2018,Planning History,,,Yes,,13/11/2018,13/11/2018,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL09,"Bridge Street Car Park, Staines",-0.516626,51.434253,Site Plan BL09,0.71,Owned by a public authority,,Permissioned,Full planning permission,15/03/2016,Planning History,,,Yes,,09/11/2017,22/12/2017,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL10,"Renshaw Trading estate, Mill Mead, Staines",-0.509319,51.436083,Site Plan BL10,0.86,Not owned by a public authority,,Pending decision,Outline planning permission,,Planning History,,,Yes,Flood zone 2,09/11/2017,22/12/2017,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL11,"Shapla Restauarant, Russell Road, Shepperton",-0.44724,51.390021,Site Plan BL11,0.04,Not owned by a public authority,,Permissioned,Full planning permission,07/10/2016,Planning History,,,Yes,,02/12/2017,22/12/2017,
