OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,Caradon_68,Former Liskeard Enterprise Centre Liskeard PL14 4BW,-4.465671055,50.45100903,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.39,not owned by a public authority,,not permissioned,,,http://planning.cornwall.gov.uk/online-applications/,10,10,15,,Site partially in a Conservation Area - permission for any relevant demolition would also be required.. http://www.cornwall.gov.uk/brownfieldregister,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,Carrick_36,Land to rear Old County Hall Truro TR1 3HA,-5.064683711,50.26218657,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.58,owned by a public authority,,not permissioned,,,http://planning.cornwall.gov.uk/online-applications/,20,20,40,,. http://www.cornwall.gov.uk/brownfieldregister,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,CPIR_SHL11,Forge Industrial Park North Roskear Camborne TR14 0AW,-5.288858897,50.22396483,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.47,not owned by a public authority,,not permissioned,,,http://planning.cornwall.gov.uk/online-applications/,25,25,35,,Any proposals must be referred to the WHS team as part of Development Management consultation at both PIP and TDC stages.. http://www.cornwall.gov.uk/brownfieldregister,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,CPIR_SHL2,Land at North Roskear Road Camborne TR14 8PR,-5.2839960,50.22176346,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.5,not owned by a public authority,,not permissioned,,,http://planning.cornwall.gov.uk/online-applications/,15,15,30,,Site in a Conservation Area - permission for any relevant demolition would also be required. Dependent on wider site for highways access. Any proposals must be referred to the WHS team as part of Development Management consultation at both PIP and TDC stages. 2018 update: small onsite building on South Roskear Terrace demolished in 2018 due to structural concerns following partial collapse.. http://www.cornwall.gov.uk/brownfieldregister,2017-12-12,2018-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,S1301,Former Murdoch & Trevithick Centre Lower Cardrew Lane Redruth TR15 1SY,-5.224148542,50.23834752,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,1.68,owned by a public authority,,not permissioned,,,http://planning.cornwall.gov.uk/online-applications/,52,52,75,,Revised in 2018 to include wider site.. http://www.cornwall.gov.uk/brownfieldregister,2017-12-12,2018-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA16/08280,Site Adj To Tuckingmill Apartments Maynes Row Tuckingmill TR14 8QP,-5.279918845,50.22344405,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.1,not owned by a public authority,,permissioned,full planning permission,2017-01-10,http://planning.cornwall.gov.uk/online-applications/,5,,,yes,. five x 2 bedroom dwellings,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA16/08291,The Garden Sports and Leisure Club 10 Antony Road Torpoint PL11 2JW,-4.198285563,50.37681288,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.11,not owned by a public authority,,permissioned,full planning permission,2017-03-17,http://planning.cornwall.gov.uk/online-applications/,26,,,yes,. 26 residential units,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA16/09073,The Harbour Lights 1 Fore Street Torpoint PL11 2AA,-4.196559871,50.37660265,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.05,not owned by a public authority,,permissioned,full planning permission,2017-03-29,http://planning.cornwall.gov.uk/online-applications/,10,,,yes,. 6 no. 2 bed flats and extension of 1 Fore Street to form 5 no. new 1 and 2 bed flats,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA16/08689,St Michaels Hotel And Spa 7 Stracey Road Falmouth TR11 4NB,-5.067687803,50.14533106,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.48,not owned by a public authority,,permissioned,full planning permission,2017-03-30,http://planning.cornwall.gov.uk/online-applications/,73,,,yes,Part revises PA14/07349 for the demolition of Captains House and Tremor buildings and erection of 14 residential apartments; demolition of The Cottage and erection of 3 residential apartments. 64 residential apartments plus 14 apartments approved under PA14/07349,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA17/00531,Land Rear of Frank Johns Centre 56 Queensway Hayle TR27 4NL,-5.413178584,50.18676576,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.12,not owned by a public authority,,permissioned,full planning permission,2017-03-07,http://planning.cornwall.gov.uk/online-applications/,5,,,yes,. Erection of five dwellings,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA17/00952,Parc An Creet Garage Higher Stennack St Ives TR26 2HE,-5.49400879,50.2072207,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.18,not owned by a public authority,,permissioned,reserved matters approval,2017-03-10,http://planning.cornwall.gov.uk/online-applications/,10,,,yes,. 10 units,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA16/09231,Orchard Walls Trewidden Road St Ives TR26 2BX,-5.480959613,50.20916919,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.11,not owned by a public authority,,permissioned,outline planning permission,2017-02-23,http://planning.cornwall.gov.uk/online-applications/,5,,,yes,. Outline application for six 3-bedroom apartments,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA16/08421,Tenerife Tregay Lane Liskeard PL14 6RG,-4.458576485,50.46252866,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.41,not owned by a public authority,,permissioned,full planning permission,2017-02-17,http://planning.cornwall.gov.uk/online-applications/,7,,,yes,. Demolition of existing dwelling and redevelopment of site to provide 8 two-storey dwellings,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA16/12140,Former Garage Site West Road West Looe PL13 2AS,-4.460345763,50.35618957,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.07,not owned by a public authority,,permissioned,full planning permission,2017-03-28,http://planning.cornwall.gov.uk/online-applications/,5,,,yes,. construction of 3 houses and 2 flats with parking,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA16/08729,Land East Of Narrowcliff Surgery To Rear Of Whitewater Hilgrove Road NewquayTR7 2RZ,-5.066984806,50.41792309,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.72,not owned by a public authority,,permissioned,full planning permission,2017-03-16,http://planning.cornwall.gov.uk/online-applications/,46,,,yes,. 46 residential units,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA16/04362,8 Bank Street St Columb TR9 6AU,-4.939556546,50.43591337,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.02,not owned by a public authority,,permissioned,full planning permission,2017-01-31,http://planning.cornwall.gov.uk/online-applications/,5,,,yes,. Conversion to six self contained flats,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA16/11035,Sedgemoor Centre Priory Road St Austell PL25 5AB,-4.793270321,50.3400479,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,1.39,not owned by a public authority,,permissioned,other,2017-01-03,http://planning.cornwall.gov.uk/online-applications/,65,,,yes,. Prior Notification  for the change of use of offices (Class B1a) to form 65 apartments.,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA16/10140,Accommodation Hop & Vine Steak & Ale House 3 Market Street St Austell PL25 4BB,-4.791854195,50.33866966,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.04,not owned by a public authority,,permissioned,full planning permission,2017-03-23,http://planning.cornwall.gov.uk/online-applications/,6,,,yes,. Change of use of PH and adjoining retail unit into six apartments,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA16/11537,Land South West Of Hillbrough Porcupine Road Porcupine Par,-4.702514299,50.36951241,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.71,not owned by a public authority,,permissioned,outline planning permission,2017-02-20,http://planning.cornwall.gov.uk/online-applications/,8,,,yes,. Outline planning up to eight self-build dwellings,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA15/02057,3 St. Nicholas Street Bodmin Cornwall PL31 1AB,-4.71879852,50.46977149,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.04,not owned by a public authority,,permissioned,full planning permission,2016-07-25,http://planning.cornwall.gov.uk/online-applications/,6,,,yes,. Conversion of public house to 6 self contained apartments,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA15/09503,Former Bus Garage & Depository Buildings Lansdown RoadBudeCornwallEX23 8BN,-4.542525746,50.83021578,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.18,not owned by a public authority,,permissioned,full planning permission,2016-04-26,http://planning.cornwall.gov.uk/online-applications/,15,,,yes,. five town houses and ten flats,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA15/09359,North Cornwall Motorcycles Hospital RoadStrattonBudeEX23 9BP,-4.516281063,50.83073441,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.07,not owned by a public authority,,permissioned,full planning permission,2016-06-01,http://planning.cornwall.gov.uk/online-applications/,10,,,yes,. Demolition of building and erection of block of 10 flats,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA16/03569,Western Power DistributionKings Hill CloseBudeCornwallEX23 8PQ,-4.541981527,50.82281617,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.3,not owned by a public authority,,permissioned,full planning permission,2016-07-08,http://planning.cornwall.gov.uk/online-applications/,9,,,yes,. Construction of 9 x 3 bed dwellings,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA17/05594,Land SW Of Westland Countryside StewardsKilkhamptonBudeCornwall,-4.487461308,50.87449545,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.74,not owned by a public authority,,permissioned,full planning permission,2018-06-11,http://planning.cornwall.gov.uk/online-applications/,10,,,yes,PA16/09167 superseded. Redevelopment of existing brownfield site to provide 10 No dwellings,2017-12-12,2018-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA16/00853,Land South Of Bullers ArmsThe VillageMarhamchurchBudeCornwall,-4.52045285,50.80487194,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.15,not owned by a public authority,,permissioned,full planning permission,2016-06-28,http://planning.cornwall.gov.uk/online-applications/,5,,,yes,. Construction of 5 dwellings,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA15/06986,Goldring Yates 16 Chapel StreetCamborneCornwallTR14 8ED,-5.299332086,50.21297119,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.01,not owned by a public authority,,permissioned,full planning permission,2016-07-28,http://planning.cornwall.gov.uk/online-applications/,5,,,yes,. 5 self contained apartments,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA16/06863,GaragesTrevu RoadCamborneCornwall,-5.30870528,50.20843122,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.08,not owned by a public authority,,permissioned,full planning permission,2016-09-16,http://planning.cornwall.gov.uk/online-applications/,6,,,yes,. 6 one-bedroom apartments,2017-12-12,2017-12-12,
http://opendatacommunities.org/id/unitary-authority/cornwall,Cornwall Council,PA15/11710,12 Gas Street/rear Of 16 Trelowarren StreetCamborneCornwallTR14 8JJ,-5.297970312,50.21375657,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,0.06,not owned by a public authority,,permissioned,full planning permission,2016-09-28,http://planning.cornwall.gov.uk/online-applications/,5,,,yes,. Construction of 5no. terraced houses,2017-12-12,2017-12-12,
