OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,,CB/16/02727/BRWN,"Dell Mount, Bedford Road, Houghton Regis",501594,224309,https://centralbedfordshire.box.com/s/xxa8354gzmoun3pxde5v4j3r0wmoathk,0.75,Not owned by a public authority,,Not Permissioned,,,,18,20,25,,"Existing Gospel Hall. Promoted for redevelopment, will be subsumed within HRN development. 2015 pre-app for demolition/erection of 20-25 dwellings",18/07/2016,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,,CB/16/02732/BRWN,"Henlow Greyhound Stadium, Bedford Road, Lower Stondon",516231,235850,https://centralbedfordshire.box.com/s/q7d3ldacyghgb7dlzy8c52jcpvx07w97,2.85,Not owned by a public authority,,Not Permissioned,,,,53,53,77,,Greyhound Racing Stadium - commercial & leisure. Adjacent to Henlow Airfield and Lower Stondon,18/07/2016,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,,CB/16/02756/BRWN,"Meppershall Nursing Home, Shefford Road, Meppershall",514354,237373,https://centralbedfordshire.box.com/s/r3v8jiqcjmr20e5yay5az027d4xnr6sz,1.10,Not owned by a public authority,,Not Permissioned,,,,34,30,40,,Existing care home in operation adjacent to the village boundary. Narrow site access may be an issue,18/07/2016,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,,CB/16/02767/BRWN,"Former Trico Site, High Street North, Dunstable",500861,222764,https://centralbedfordshire.box.com/s/nj9toe9b9ilc1xbe9zdz1b04sphdrp0s,1.19,Not owned by a public authority,,Not Permissioned,Full Planning Permission,2017/09/29,,61,60,70,,Part of larger redeveloped site in Dunstable,18/07/2016,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,,CB/16/02769/BRWN,"Dukeminster Estate, Church Street, Dunstable",502331,222150,https://centralbedfordshire.box.com/s/hb0ntrke3j2tg5an6fvwkuav6ydwxc9g,5.04,Not owned by a public authority,,Permissioned,Reserved Matters Approval,2016/03/16,,170,170,170,,Site benefits from planning permission for 170 dwellings,18/07/2016,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,,CB/16/02794/BRWN,"Former Interbrew, Eastern Avenue Industrial Estate, Eastern Avenue, Dunstable",502957,221875,https://centralbedfordshire.box.com/s/pgjihz0u96htke5optnsr273aqh8k7x8,3.19,Not owned by a public authority,,Permissioned,Outline Planning Permission,2016/08/31,,100,100,100,,Outline Planning Permission for 100 dwellings,18/07/2016,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,,CB/16/03020/BRWN,"Roker Park, The Green, Stotfold",521958,237427,https://centralbedfordshire.box.com/s/vwve6jdjte4xq97epi2czs6jc46hm956,1.39,Owned by a public authority,,Pending Decision,Full Planning Permission,Awaiting Decision,,43,43,62,,Extant planning permission for 43 dwellings,18/07/2016,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,,CB/16/03103/BRWN,"Peckworth Industrial Estate, Bedford Road, Lower Stondon",516439,235611,https://centralbedfordshire.box.com/s/56lym1tbgbkootvfygc3ndr316zbwgc0,0.38,Not owned by a public authority,,Not Permissioned,,,,13,13,13,,Site allocation HA29 (North CBC Site Allocation DPD). No planning application to date,18/07/2016,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,,CB/17/05977/BRWN,"RAF Henlow, Henlow",516622,236434,https://centralbedfordshire.box.com/s/ff6xgoz8sgp0y0ph9l5mpig2957ezpa3,220,Owned by a public authority,,Not Permissioned,,,,700,700,1000,,Site constraints exist which require significant mitigation,18/12/2017,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,,CB/17/05982/BRWN,"Land North of Dawes Garage, 25 High Road, Shillington",512894,234304,https://centralbedfordshire.box.com/s/n7gyh9bwen40at0067qwtvs1idoruow9,2.3,Not owned by a public authority,,Not Permissioned,,,,23,23,42,,Site contains agricultural buildings which require demolition,18/12/2017,31/12/2018,
