OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,,,Saffron Walden CB10 1EF,,,,,,,Not permissioned,,,,,,Yes,,,,
,,,"Rear of 10-12 Bridge Street, Saffron Walden CB10 1BU",,,,,,,Not permissioned,,,,,,Yes,,,,
,,,"Parsonage Downs, Great Dunmow, CM6 2AU",,,,,,,Not permissioned,,,,,,Yes,,,,
,,,"Bardfield Road, Thaxted, CM6 2LW",,,,,,,Not permissioned,,,,,,Yes,,,,
,,,"Thaxted Road, Saffron Walden CB11 3AA",,,,,,,Not permissioned,,,,,,Yes,,,,
,,,"North Street, Great Dunmow, CM6 1BA",,,,,,,Permissioned,,,,,,Yes,,,,
,,,"14 Stortford Road, Great Dunmow, CM6 1DF",,,,,,,Not permissioned,,,,,,Yes,,,,
,,,"New Street, Great Dunmow, CM6 1BH",,,,,,,Not permissioned,,,,,,Yes,,,,
,,,"Thaxted Road, Saffron Walden, CB10 2UQ",,,,,,,Permissioned,,,,,,Yes,,,,
,,,"Stansted Mountfitchet, CM24 8BZ",,,,,,,Permissioned,,,,,,Yes,,,,
,,,"Royston Road, Wendens Ambo, CB11 4JX",,,,,,,Permissioned,,,,,,Yes,,,,
,,,Church End Broxted CM6 2BZ,,,,,,,Permissioned,,,,,,Yes,,,,
,,,"Chelmsford Road, White Roding CM6 1RF",,,,,,,Permissioned,,,,,,Yes,,,,
,,,"86 Cambridge Road, Stansted, CM22 7BL",,,,,,,Permissioned,,,,,,Yes,,,,
,,,"Dunmow Road, Hatfield Heath, CM22 7BL",,,,,,,Permissioned,,,,,,Yes,,,,
,,,"Clapton Hall Lane, Dunmow CM6 1JF",,,,,,,Permissioned,,,,,,Yes,,,,
,,,"Dunmow Road, Stebbing CM6 3LF",,,,,,,Permissioned,,,,,,Yes,,,,
