OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR1,"""137-139 King Street, Great Yarmouth""",652602,307266,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2568&p=0,0.04,not owned by a public authority,permissioned,full planning permission,2004-10-12,,yes,,,,"""06/04/0783/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR2,"""Land adjacent Runham Road / North River Road, Great Yarmouth""",651985,308461,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2569&p=0,1.19,not owned by a public authority,permissioned,full planning permission,2009-04-30,,yes,,,,"""06/05/0866/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR3,"""Gainsborough Court, Great Yarmouth""",652940,306686,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2570&p=0,0.04,not owned by a public authority,permissioned,full planning permission,2010-04-27,,yes,,,,"""06/12/0647/F & 06/14/0551/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR4,"""Rear of 5 Marine Parade, Great Yarmouth""",653041,306944,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2571&p=0,0.02,not owned by a public authority,permissioned,full planning permission,2010-10-05,,yes,,,,"""06/10/0448/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR5,"""Former Ivy House & The Hollies, Burnt Lane / Addison Road , Great Yarmouth""",652430,305198,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2572&p=0,0.26,not owned by a public authority,permissioned,full planning permission,2017-11-28,,yes,,,,"""06/16/0189/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR6,"""Former Claydon High School, Beccles Road, Gorleston, Great Yarmouth""",651704,304989,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2573&p=0,5.08,not owned by a public authority,permissioned,full planning permission,2018-01-30,,yes,,,,"""06/15/0737/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR7,"""31/31A Hall Plain, Great Yarmouth""",652361,307443,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2574&p=0,0.02,not owned by a public authority,permissioned,full planning permission,2013-08-21,,yes,,,,"""06/13/0391/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR8,"""137 Mill Road, Great Yarmouth""",652018,307427,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2575&p=0,0.04,not owned by a public authority,permissioned,full planning permission,2014-12-01,,yes,,,,"""06/14/0592/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR10,"""5-6 Nelson Road South, Great Yarmouth""",652917,306801,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2577&p=0,0.02,not owned by a public authority,permissioned,full planning permission,2015-12-21,,yes,,,,"""06/15/0647/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR11,"""5 Deneside, Great Yarmouth""",652591,307423,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2578&p=0,0.02,not owned by a public authority,permissioned,full planning permission,2013-05-30,,yes,,,,"""06/13/0083/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR13,"""Peters Car Sales, Acle New Road, Great Yarmouth""",651993,308289,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2580&p=0,0.12,not owned by a public authority,permissioned,outline planning permission,2015-12-10,,yes,,,,"""06/15/0584/O""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR14,"""Abbeville Lodge, Acle New Road, Great Yarmouth""",652008,308250,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2581&p=0,0.12,not owned by a public authority,permissioned,outline planning permission,2015-12-10,,yes,,,,"""06/15/0587/O""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR15,"""Watsons Bakery, 6 Howard Street North, Great Yarmouth""",652301,307723,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2582&p=0,0.05,not owned by a public authority,permissioned,outline planning permission,2015-12-15,,yes,,,,"""06/15/0634/O""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR17,"""1 Woodfarm Lane, Gorleston, Great Yarmouth""",651666,302240,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2584&p=0,0.02,not owned by a public authority,permissioned,full planning permission,2017-02-02,,yes,,,,"""06/16/0781/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR18,"""Horatio House, Southtown Road, Gorleston, Great Yarmouth""",652278,306596,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2585&p=0,0.5,not owned by a public authority,permissioned,outline planning permission,2016-06-29,,yes,,,,"""06/15/0348/O""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR19,"""Magdalen House, Magdalen Square, Gorleston, Great Yarmouth""",651744,303583,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2586&p=0,0.81,not owned by a public authority,permissioned,full planning permission,2016-08-08,,yes,,,,"""06/14/0773/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR21,"""165 King Street, Great Yarmouth""",652491,307459,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2588&p=0,0.03,not owned by a public authority,permissioned,full planning permission,2016-07-16,,yes,,,,"""06/16/0278/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR22,"""26 Southgates Road, Great Yarmouth""",652603,306355,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2589&p=0,0.07,not owned by a public authority,permissioned,full planning permission,2016-08-10,,yes,,,,"""06/16/0193/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR23,"""14 Camperdown, Great Yarmouth""",652936,306875,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2590&p=0,0.01,not owned by a public authority,permissioned,full planning permission,2016-12-23,,yes,,,,"""06/16/0126/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR24,"""11/12 South Quay, Great Yarmouth""",652374,307299,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2591&p=0,0.03,not owned by a public authority,permissioned,full planning permission,2017-03-08,,yes,,,,"""06/16/0661/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR25,"""84 North Denes Road, Great Yarmouth""",652861,308956,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2592&p=0,0.03,not owned by a public authority,permissioned,full planning permission,2016-10-28,,yes,,,,"""06/16/0523/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR26,"""Former trailer storage yard, Mill Road, Cobholm, Great Yarmouth""",651576,307687,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2593&p=0,0.17,not owned by a public authority,pending decision,,,,yes,,,,"""06/16/0431/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR27,"""132 Gordon Road, Great Yarmouth""",652212,306700,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2594&p=0,0.12,not owned by a public authority,permissioned,full planning permission,2018-12-06,,yes,,,,"""06/16/0188/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR28,"""Northgate Hospital, Great Yarmouth""",652584,308782,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2595&p=0,2.18,owned by a public authority,pending decision,,,,yes,,,,"""New planning application under consideration - 06/18/0582/F, potential for contaminated land associated with hospital, a Site Investigation Report has been considered with the application.""",2017-12-20,2018-12-20,
