OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/winchester,Winchester City Council,BLR19/01,Trafalgar House  Trafalgar Street,447859,129503,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,0.06,not owned by a public authority,,permissioned,other,2017-03-29,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,,,yes,,2017-12-01,2019-11-28,
http://opendatacommunities.org/id/district-council/winchester,Winchester City Council,BLR19/02,Regency House 2 - 4 Southgate Street Winchester Hampshire SO23 9EF,447927,129480,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,0.03,not owned by a public authority,,permissioned,full planning permission,2017-03-23,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,,,yes,,2017-12-01,2019-11-28,
http://opendatacommunities.org/id/district-council/winchester,Winchester City Council,BLR19/03,9-11  High Street,448324,129380,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,0.08,not owned by a public authority,,permissioned,full planning permission,2016-12-21,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,,,yes,,2017-12-01,2019-11-28,
http://opendatacommunities.org/id/district-council/winchester,Winchester City Council,BLR19/04,"Brymor House & Ocean House Parklands Business Park, Forest Rd",465505,111111,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,0.5,not owned by a public authority,,permissioned,other,2016-09-01,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,,,yes,,2017-12-01,2019-11-28,
http://opendatacommunities.org/id/district-council/winchester,Winchester City Council,BLR19/05,"Gentian House,  Moorside Road, Winchester",449303,130615,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,0.14,not owned by a public authority,,permissioned,full planning permission,2017-12-19,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,,,yes,,2018-12-01,2019-11-28,
http://opendatacommunities.org/id/district-council/winchester,Winchester City Council,BLR19/06,"Kings School House , Sarum Road, Winchester",446408,129238,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,0.40,not owned by a public authority,,permissioned,full planning permission,2018-01-05,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,,,yes,,2018-12-01,2019-11-28,
http://opendatacommunities.org/id/district-council/winchester,Winchester City Council,BLR19/07,"Dance Academy, 21 St Pauls Hill, Winchester",447515,129935,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,0.11,not owned by a public authority,,permissioned,full planning permission,2018-01-24,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,,,yes,,2018-12-01,2019-11-28,
http://opendatacommunities.org/id/district-council/winchester,Winchester City Council,BLR19/08,"WCI Technology House, Parklands Business Park, Forest Road, Denmead",465533,111064,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,0.15,not owned by a public authority,,permissioned,other,2017-12-14,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,,,yes,,2018-12-01,2019-11-28,
http://opendatacommunities.org/id/district-council/winchester,Winchester City Council,BLR19/09,Primayer House Parklands Business Park Forest Road,465580,111021,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,0.26,not owned by a public authority,,permissioned,other,2018-12-06,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,,,yes,,2019-11-28,2019-11-28,
http://opendatacommunities.org/id/district-council/winchester,Winchester City Council,BLR19/10,The Old Parsonage Care Home  Main Road,446073,123295,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,0.32,not owned by a public authority,,permissioned,full planning permission,2019-03-14,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,,,yes,,2019-11-28,2019-11-28,
