OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/vale-of-white-horse,,,,449404,205461,,0.27,not owned by a public authority,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/vale-of-white-horse,,,,428476,195522,,0.36,not owned by a public authority,,,,,,,,,,This planning application supercedes a previous application,,,
http://opendatacommunities.org/id/district-council/vale-of-white-horse,,,,449833,197095,,0.02,not owned by a public authority,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/vale-of-white-horse,,,,427392,193146,,1.03,not owned by a public authority,,,,,,,,,,Site has a Resolution to Grant permission subject to the signing of an S106.,,,
http://opendatacommunities.org/id/district-council/vale-of-white-horse,,,,446190,202383,,1.54,not owned by a public authority,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/vale-of-white-horse,,,,443157,188526,,0.51,not owned by a public authority,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/vale-of-white-horse,,,,450920,191434,,46.85,not owned by a public authority,,,,,,,,,,Cross boundary application between Vale of White Horse and South Oxfordshire.,,,
http://opendatacommunities.org/id/district-council/vale-of-white-horse,,,,447008,201405,,2.01,not owned by a public authority,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/vale-of-white-horse,,,,448478,185841,,0.31,not owned by a public authority,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/vale-of-white-horse,,,,439825,187835,,0.08,not owned by a public authority,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/vale-of-white-horse,,,,440776,198331,,0.12,not owned by a public authority,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/vale-of-white-horse,,,,440417,189696,,0.05,not owned by a public authority,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/vale-of-white-horse,,,,448512,206165,,0.04,not owned by a public authority,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/vale-of-white-horse,,,,447206,205892,,0.18,not owned by a public authority,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/vale-of-white-horse,,,,440857,198353,,0.16,not owned by a public authority,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/vale-of-white-horse,,,,439853,187961,,0.12,not owned by a public authority,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/vale-of-white-horse,,,,448202,205950,,0.07,not owned by a public authority,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/vale-of-white-horse,,,,449026,206102,,0.25,not owned by a public authority,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/vale-of-white-horse,,,,439763,190614,,0.13,not owned by a public authority,,,,,,,,,,,,,
