OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1019.0,"Land adj 414 Knutsford Road, WA4 1DR",361758.66,387489.68,Polygon viewable on interactive map (see Legend on map). Search address to find,0.08,,,Not Permissioned,,,,8,,,No,,2018-12-01,2018-12-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1029.0,"Land at John St/Winwick Street, Warrington, WA4 6NL",360690.33,388623.0,Polygon viewable on interactive map (see Legend on map). Search address to find,0.85,,,Pending decision,Full Planning,,,362,,,Yes,,2017-06-01,2018-12-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1050.0,"114, Booths Hill Road, Lymm, Warrington, WA13 0EQ",367051.56,387107.52,Polygon viewable on interactive map (see Legend on map). Search address to find,0.11,,,Permissioned,Reserved Matters,,,6,,,Yes,,2017-06-01,2018-12-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1090.0,"Beers Building Co, Station Road, Latchford, WA4 2AD",362484.72,386927.52,Polygon viewable on interactive map (see Legend on map). Search address to find,1.48,,,Not Permissioned,,,,158,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1108.0,"Edwards Cheshire, Navigation Street, Warrington, WA1 2EL",361614.47,388089.01,Polygon viewable on interactive map (see Legend on map). Search address to find,0.56,,,Permissioned,Reserved Matters,,,76,,,Yes,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1178.0,"Cardinal Newman High School, Bridgewater Avenue, Latchford, WA4 1RX",362685.48,388317.01,Polygon viewable on interactive map (see Legend on map). Search address to find,2.72,,,Not Permissioned,Expired,,,110,,,No,,2017-06-01,2018-12-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1201.0,"New World Ltd, New World House, Thelwall Lane, Warrington, WA4 1NL",363588.95,387559.5,Polygon viewable on interactive map (see Legend on map). Search address to find,14.06,,,Permissioned,Reserved Matters,,,34,,,Yes,,2017-06-01,2018-12-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1245.0,"The Corner House, 98 Sandy Lane, Warrington, WA2 9HX",360845.9,390959.52,Polygon viewable on interactive map (see Legend on map). Search address to find,0.08,,,Not Permissioned,Expired,,,11,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1322.0,"Brook Place, Knutsford Road, Warrington, WA4 1PH",362194.08,387393.5,Polygon viewable on interactive map (see Legend on map). Search address to find,0.16,,,Not Permissioned,Expired,,,8,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1401.0,"Land at Winwick Street/Tanners Lane/Dallam Lane, Warrington, WA2 7NG",360532.42,388589.62,Polygon viewable on interactive map (see Legend on map). Search address to find,3.0,,,Not Permissioned,Expired,,,20,,,No,,2017-06-01,2018-12-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1412.0,"Land at Dawson House, Liverpool Road, Great Sankey, Warrington",355293.34,388965.98,Polygon viewable on interactive map (see Legend on map). Search address to find,5.78,,,Permissioned,Reserved Matters and Full Planning,,,140,,,Yes,,2017-06-01,2018-12-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1412.1,"Dawson House, Liverpool Road, Great Sankey, Warrington, WA5 3LW",355373.45,388947.6,Polygon viewable on interactive map (see Legend on map). Search address to find,0.23,,,Permissioned,Full Planning,,,7,,,Yes,,2018-12-01,2018-12-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1422.0,"Land at 31-35, Winwick Street, Warrington, WA2 7TT",360653.18,388592.75,Polygon viewable on interactive map (see Legend on map). Search address to find,0.07,,,Not Permissioned,Expired,,,16,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1427.0,"35-37 Bewsey Street, Warrington, WA2 7JA",360495.7,388502.36,Polygon viewable on interactive map (see Legend on map). Search address to find,0.02,,,Not Permissioned,,,,2,,,No,,2017-06-01,2018-12-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1508.0,"Ramswood Nursery, Manchester Rd, WA3 6EA",368138.25,389720.7,Polygon viewable on interactive map (see Legend on map). Search address to find,1.92,,,Not Permissioned,,,,2,,,No,,2018-12-01,2018-12-02,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1509.0,"South Western corner of Penketh Business Park, Off Cleveleys Rd, Penketh, Warrington, WA5 2SR",357868.9,387615.96,Polygon viewable on interactive map (see Legend on map). Search address to find,0.76,,,Not Permissioned,Expired,,,22,,,Yes,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1513.0,"Hollingreave Farm, Dam Lane, Rixton, WA3 6LE",368931.3,391796.24,Polygon viewable on interactive map (see Legend on map). Search address to find,0.45,,,Permissioned,Full Planning,,,5,,,Yes,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1517.0,"Former Ship Inn and adjoining land, Chester Road, Walton, WA4 6EN",360433.11,385893.15,Polygon viewable on interactive map (see Legend on map). Search address to find,1.36,,,Permissioned,Reserved Matters,,,1,,,Yes,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1519.0,"Howards Transport Limited, Robins Lane, Culcheth, WA3 4AE",364775.76,394859.87,Polygon viewable on interactive map (see Legend on map). Search address to find,0.35,,,Not Permissioned,,,,7,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1541.0,Arpley Meadows (mid parcel immediately abutting the west coast mainline),359810.6,387009.3,Polygon viewable on interactive map (see Legend on map). Search address to find,19.57,,,Not Permissioned,,,,646,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1550.0,"Land adjacent Lord Street, Latchford, WA4 1BZ",360993.03,387591.22,Polygon viewable on interactive map (see Legend on map). Search address to find,0.08,,,Permissioned,Prior Notification,,,21,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1580.0,"Longshaw Street Garage Plots (north east), Dallam",359840.75,390764.52,Polygon viewable on interactive map (see Legend on map). Search address to find,0.13,,,Pending decision,Full Planning,,,6,,,Yes,,2018-12-01,2018-12-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1585.0,"Former scout hut/lock up garagres, Helsby Street (southern end), Howley, WA1 3AX",361885.67,388624.6,Polygon viewable on interactive map (see Legend on map). Search address to find,0.12,,,Not Permissioned,,,,8,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1607.0,"The Old Rectory, Rectory Lane, Winwick, WA2 8LE",360550.3,392598.1,Polygon viewable on interactive map (see Legend on map). Search address to find,0.82,,,Not Permissioned,,,,4,,,No,,2017-06-01,2018-12-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1613.0,"Barondale Grange, Stockport Road, Thelwall, WA4 2TB",364887.55,387029.75,Polygon viewable on interactive map (see Legend on map). Search address to find,0.86,,,Not Permissioned,,,,4,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1620.0,"Recycling premises, Off Camsley Lane, Lymm, WA13 9BY",366126.94,387287.07,Polygon viewable on interactive map (see Legend on map). Search address to find,0.88,,,Not Permissioned,,,,11,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1633.0,Arpley Meadows (most western parcel),359307.68,387252.7,Polygon viewable on interactive map (see Legend on map). Search address to find,29.34,,,Not Permissioned,,,,1105,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1638.0,Broomedge Nurseries (formerly Hampson Nursery),370510.97,386354.4,Polygon viewable on interactive map (see Legend on map). Search address to find,3.0,,,Not Permissioned,,,,5,,,Yes,,2018-12-01,2018-12-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1643.0,"Former Police Training Centre, Off Greenway, Bruche, WA1 3BG",362936.84,389503.03,Polygon viewable on interactive map (see Legend on map). Search address to find,8.81,,,Permissioned,Reserved Matters,,,220,,,Yes,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1653.0,"Adjacent to south-western cockhedge bridge, Scotland Rd, Warrington, WA1 2AF",360706.23,388324.14,Polygon viewable on interactive map (see Legend on map). Search address to find,0.08,,,Not Permissioned,,,,22,,,No,,2017-06-01,2018-12-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1710.0,"Dalton Bank Council Depot, Manchester Road, Warrington, WA1 2PH",361263.52,388619.48,Polygon viewable on interactive map (see Legend on map). Search address to find,1.45,,,Not Permissioned,,,,65,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1715.0,"Spectra Building & Drivetime Golf Range, South of Centre Park Business Park, WA1 1QL",360156.59,386784.65,Polygon viewable on interactive map (see Legend on map). Search address to find,15.69,,,Not Permissioned,,,,510,,,Yes,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1717.0,"Former Dairy Works, Knutsford Road, Warrington, WA4 1AZ",361522.82,387570.75,Polygon viewable on interactive map (see Legend on map). Search address to find,0.25,,,Not Permissioned,,,,13,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1719.0,"Furnish with Flair Site, Wilderspool Causeway, Warrington, WA4 6QP",361171.03,386903.25,Polygon viewable on interactive map (see Legend on map). Search address to find,0.32,,,Not Permissioned,,,,36,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1720.0,"MSBS Joinery Site, Star Lane, Lymm, WA13 9LN",367208.48,387468.6,Polygon viewable on interactive map (see Legend on map). Search address to find,0.37,,,Not Permissioned,,,,11,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1721.0,"St Albans Catholic Club, Bewsey Street, Warrington, WA2 7JQ",360516.45,388499.79,Polygon viewable on interactive map (see Legend on map). Search address to find,0.1,,,Not Permissioned,,,,35,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1723.0,"Land at Hopwood Street, off Manchester Road, Warrington, WA1 2PH",361179.37,388641.41,Polygon viewable on interactive map (see Legend on map). Search address to find,0.46,,,Not Permissioned,,,,21,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1725.0,"Land adjacent Magistrates Court, Winmarleigh Street, Warrington, WA1 1NB",360227.3,387961.95,Polygon viewable on interactive map (see Legend on map). Search address to find,0.05,,,Not Permissioned,,,,15,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1733.0,"Hall Motors Site, Folly Lane, Warrington, WA5 0LZ",359912.93,389281.63,Polygon viewable on interactive map (see Legend on map). Search address to find,0.86,,,Not Permissioned,,,,31,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1736.0,"224 - 228 Wilderspool Causeway, Warrington, WA4 6QF",361021.18,387058.05,Polygon viewable on interactive map (see Legend on map). Search address to find,0.15,,,Not Permissioned,,,,20,,,Yes,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1737.0,"Land Between Public House and 3 Church Lane, Culcheth, WA3 5DL",365715.87,395133.42,Polygon viewable on interactive map (see Legend on map). Search address to find,0.25,,,Permissioned,Outline Planning,,,10,,,Yes,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1746.0,"Site of former Kwik Save, Academy Way/Buttermarket Street, Warrington, WA1 2BJ",360866.47,388210.4,Polygon viewable on interactive map (see Legend on map). Search address to find,0.39,,,Permissioned,Full Planning,,,144,,,Yes,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1752.0,"Former Wilderspool Stadium, Priory Street, Warrington, WA4 6YP",361010.45,387446.88,Polygon viewable on interactive map (see Legend on map). Search address to find,1.95,,,Not Permissioned,,,,163,,,Yes,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1753.0,"Land at the rear of St. James Court, Off Wilderspool Causeway, Warrington, WA4 6PS",360942.96,387532.88,Polygon viewable on interactive map (see Legend on map). Search address to find,0.85,,,Not Permissioned,,,,38,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1755.0,"Garven Place Clinic, Legh Street, Warrington, WA1 1UQ",360325.55,388216.74,Polygon viewable on interactive map (see Legend on map). Search address to find,0.56,,,Not Permissioned,,,,25,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1758.0,"Land at junction of Wilson Patten Street/Winmarleigh Street, Warrington, WA1 1LE",360223.2,387853.56,Polygon viewable on interactive map (see Legend on map). Search address to find,0.16,,,Not Permissioned,,,,21,,,No,,2017-06-01,2018-12-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1760.0,"Land at 3 Delenty Drive, Birchwood, WA3 6AN",364995.7,391794.55,Polygon viewable on interactive map (see Legend on map). Search address to find,0.44,,,Permissioned,Full Planning,,,9,,,Yes,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1785.0,"Car Wash SUDS, Church Street, Warrington, WA1 2SY",361189.76,388304.75,Polygon viewable on interactive map (see Legend on map). Search address to find,0.09,,,Not Permissioned,,,,12,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1795.0,"Holy Trinity Vicarage, Palmyra Square North, Warrington, WA1 1JQ",360387.75,388095.07,Polygon viewable on interactive map (see Legend on map). Search address to find,0.06,,,Not Permissioned,,,,8,,,Yes,,2017-06-01,2018-12-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1809.0,55 - 57 Knutsford Road,360901.18,387776.45,Polygon viewable on interactive map (see Legend on map). Search address to find,0.25,,,Not Permissioned,,,,25,,,No,,2018-12-01,2018-12-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1817.0,"Bathroom & Tile Showroom, Parker St/Liverpool Rd, Warrington, WA1 1NN",360072.63,388120.68,Polygon viewable on interactive map (see Legend on map). Search address to find,0.1,,,Not Permissioned,,,,15,,,No,,2017-06-01,2017-06-01,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1821.0,"56-58 Bewsey Road, Bewsey, Warrington, WA2 7LS",360070.97,388810.94,Polygon viewable on interactive map (see Legend on map). Search address to find,0.1,,,Not Permissioned,,,,13,,,No,,2018-12-01,2018-12-01,
