OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR1,"""137-139 King Street, Great Yarmouth""",652602,307266,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2568&p=0,0.04,not owned by a public authority,,permissioned,full planning permission,12/10/2004,,6,,,yes,06/04/0783/F. Conversion to 6 flats,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR2,"""Land adjacent Runham Road / North River Road, Great Yarmouth""",651985,308461,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2569&p=0,1.19,not owned by a public authority,,permissioned,full planning permission,30/04/2009,,24,,,yes,06/05/0866/F. Erection of up to 24 units,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR3,"""Gainsborough Court, Great Yarmouth""",652940,306686,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2570&p=0,0.04,not owned by a public authority,,permissioned,full planning permission,27/04/2010,,12,,,yes,06/12/0647/F & 06/14/0551/F. Redevelopment (demolition) of former holiday accommodation for up to 12 units,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR4,"""Rear of 5 Marine Parade, Great Yarmouth""",653041,306944,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2571&p=0,0.02,not owned by a public authority,,permissioned,full planning permission,05/10/2010,,6,,,yes,06/10/0448/F. Redevelopment (demolition) of lean to extension and replacement with 6 flats,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR5,"""Former Ivy House & The Hollies, Burnt Lane / Addison Road , Great Yarmouth""",652430,305198,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2572&p=0,0.26,not owned by a public authority,,pending decision,,,,18,,,yes,06/16/0189/F. Redevelopment (demolition) of 2 existing buildings and replacement with 18 flats,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR6,"""Former Claydon High School, Beccles Road, Gorleston, Great Yarmouth""",651704,304989,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2573&p=0,5.08,not owned by a public authority,,pending decision,,,,113,,,yes,06/15/0737/F. Redevelopment of site to provide up to 113 residential units,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR7,"""31/31A Hall Plain, Great Yarmouth""",652361,307443,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2574&p=0,0.02,not owned by a public authority,,permissioned,full planning permission,21/08/2013,,6,,,yes,06/13/0391/F. Formation of 6 residential flats,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR8,"""137 Mill Road, Great Yarmouth""",652018,307427,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2575&p=0,0.04,not owned by a public authority,,permissioned,full planning permission,01/12/2014,,10,,,yes,06/14/0592/F. Demolition of existing building and replacement with 10 self-contained apartments,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR9,"""Te-aroha, Albert Square, Great Yarmouth""",652973,306743,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2576&p=0,0.12,not owned by a public authority,,permissioned,outline planning permission,02/06/2014,,7,,,yes,06/14/0096/O. Demolition of existing bungalow and replacement with 8 dwellings,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR10,"""5-6 Nelson Road South, Great Yarmouth""",652917,306801,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2577&p=0,0.02,not owned by a public authority,,permissioned,full planning permission,21/12/2015,,5,,,yes,06/15/0647/F. Change of use from hostel to 6 residential flats,20/12/2017,20/12/2017,
