OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/east-riding,,55,Land at Wolfreton Upper School,53.747617,-0.445073,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/04252/REG4,8.6,owned by a public authority,,permissioned,outline planning permission,2017-04-06,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/04252/REG4,,207,207,yes,16/04252/REG4 - approximately 2.5ha is brownfield,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,56,Bridgeview School Hessle,53.722677,-0.443386,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/03791/REM,1.35,owned by a public authority,,permissioned,reserved matters approval,2018-03-08,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/03791/REM,,26,26,yes,17/03791/REM,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,59,South of Lord Roberts Road,53.83986,-0.425809,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,1,owned by a public authority,,not permissioned,,,,,16,16,yes,BEV-N,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,65,Land at Burlington Centre/Priory View,54.095766,-0.2029,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,1.56,owned by a public authority,,not permissioned,,,,,49,49,yes,BRID-D,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,66,Land off Grange Road,53.700998,-0.883287,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,3.04,mixed ownership,,not permissioned,,,,,91,91,,GOO-F,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,70,"Ted Nicholson (Garages) Ltd, Bridlington Road",54.010479,-0.426658,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/00139/PLF,0.21,not owned by a public authority,,permissioned,full planning permission,2016-05-15,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/00139/PLF,,9,9,yes,16/00139/PLF,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,71,4 And 6 Londesborough Road,53.865894,-0.665737,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/01862/PLF,2.74,not owned by a public authority,,permissioned,full planning permission,2016-01-11,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/01862/PLF,,10,10,yes,15/01862/PLF,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,85,Springfield Avenue,54.083988,-0.193798,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,0.32,owned by a public authority,,not permissioned,,,,,11,11,yes,BF85,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,86,Hilderthorpe Road,54.082957,-0.192691,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,0.58,owned by a public authority,,not permissioned,,,,,11,11,yes,BF86,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,90,Land South of Holme Church Lane,53.840743,-0.409113,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,0.52,not owned by a public authority,,not permissioned,,,,,16,16,yes,BEV-F,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,91,Longcroft Lower School Church Road,53.851068,-0.451398,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2.27,owned by a public authority,,not permissioned,,,,,68,68,yes,BEV-C,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,92,Land West Of 9-17 Victoria Road,54.085539,-0.1934,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/02345/PLF,0.11,not owned by a public authority,,permissioned,full planning permission,2016-05-17,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/02345/PLF,,8,8,yes,15/02345/PLF,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,93,Land at Station Road,53.78264,-0.405793,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2.04,not owned by a public authority,,permissioned,permission in principle,2017-12-06,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/02893/BPIP,,53,70,,COT-E 17/02893/BPIP,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,96,"Former Sugar Mill, Anderson Street",54.002541,-0.429581,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,0.35,not owned by a public authority,,permissioned,permission in principle,2017-12-06,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/02891/BPIP,,14,50,,DRF-G 17/02891/BPIP,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,97,Alamein Barracks,53.995129,-0.464265,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,27.88,not owned by a public authority,,not permissioned,,,,,480,480,,DRF-I,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,98,North of Exchange Street and East of Middle Street,54.006493,-0.437652,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,1.24,not owned by a public authority,,not permissioned,,,,,32,32,,DRF-L,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,99,"Cattle Market, Beckside",54.005347,-0.435248,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2.36,mixed ownership,,not permissioned,,,,,44,44,,DRF-M,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,103,Hessle Dock Livingston Road,53.717391,-0.430724,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,3.36,not owned by a public authority,,not permissioned,,,,,35,35,,HES-H,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,107,Land West of Parva Road,53.911874,-0.161117,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,0.42,mixed ownership,,not permissioned,,,,,13,13,,HOR-C,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,108,Land South of Sands Lane,53.911123,-0.159268,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,1.24,owned by a public authority,,not permissioned,,,,,27,27,,HOR-E,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,109,Land West of Thorpe Road,53.750717,-0.85027,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/03942/OUT,1.11,not owned by a public authority,,permissioned,outline planning permission,2017-07-18,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/03942/OUT,,48,48,yes,16/03942/OUT,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,110,Station Garage 48 & 50 Station Road,53.955119,-0.433457,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,0.52,not owned by a public authority,,not permissioned,,,,,14,14,,CRA-E,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,122,Land South of Willow Park Road,53.946527,-0.881716,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,1.52,not owned by a public authority,,permissioned,permission in principle,2017-12-06,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/02899/BPIP,,15,25,,WIL-C 17/02899/BPIP,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,124,The Pottery Piggy Lane,53.729309,0.033964,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/03886/REM,0.17,not owned by a public authority,,permissioned,reserved matters approval,2017-03-07,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/03886/REM,,7,7,yes,16/03886/REM,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,,125,Land at the Car Park Station Road,53.728574,0.033766,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,0.44,not owned by a public authority,,not permissioned,,,,,13,13,,WITH-D,2016-07-12,2018-03-31,
