OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/medway,,3,"89 Ingram Road, Gillingham",0.560513,51.390117,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.16,not owned by a public authority,,permissioned,full planning permission,02/05/2019,https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZZOYKNPM585,,22,22,y,Under construction,24/01/2019,05/03/2020,05/03/2020
http://opendatacommunities.org/id/unitary-authority/medway,,100,"320 - 344 High Street inc. 42 New Road, Rochester",0.5135,51.383176,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.6,not owned by a public authority,,not permissioned,,,,,111,111,y,,05/03/2020,05/03/2020,
http://opendatacommunities.org/id/unitary-authority/medway,,102,"1-35 High Street, Chatham (Grays Garage)",0.518006,51.383565,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.59,not owned by a public authority,,not permissioned,,,,,97,97,,,05/03/2020,05/03/2020,
http://opendatacommunities.org/id/unitary-authority/medway,,144,"St Bartholomews Hospital, New Road, Rochester",0.515454,51.38264,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.98,not owned by a public authority,,pending decision,,,https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PZ7IZ3KNL0R00,,103,103,Y,No of units taken from SLAA.  Application MC/19/2709 is for 155 units,05/03/2020,05/03/2020,
http://opendatacommunities.org/id/unitary-authority/medway,,213,"352-356 Luton Road, Luton",0.545584,51.371071,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.31,not owned by a public authority,,not permissioned,,,,,22,22,,,05/03/2020,05/03/2020,
http://opendatacommunities.org/id/unitary-authority/medway,,493,Land rear of 7-13 New Road CHATHAM,0.524299,51.381181,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.1,not owned by a public authority,,permissioned,full planning permission,09/02/2018,https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZZP1KNPM974,,14,14,Y,,05/03/2020,05/03/2020,
http://opendatacommunities.org/id/unitary-authority/medway,,530,389 High Street CHATHAM,0.518029,51.380066,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.06,not owned by a public authority,,not permissioned,,,,,24,24,,Expired planning permission MC141772,05/03/2020,05/03/2020,
http://opendatacommunities.org/id/unitary-authority/medway,,537,"22-26 Victoria Street, Rochester",0.505418,51.385445,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.46,not owned by a public authority,,permissioned,full planning permission,06/03/2018,https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PG0UY5KNFZN00,,3,3,y,4 completed on another part of this site in 2020,05/03/2020,05/03/2020,
http://opendatacommunities.org/id/unitary-authority/medway,,547,85 Church Street GILLINGHAM,0.560567,51.392886,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.09,not owned by a public authority,,permissioned,full planning permission,10/10/2018,https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZZOZKNPM802,,17,17,y,New permission pending decision MC/19/1508,05/03/2020,05/03/2020,
http://opendatacommunities.org/id/unitary-authority/medway,,663,"82 Jeffery Street, Gillingham",0.549239,51.387728,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.14,not owned by a public authority,,permissioned,full planning permission,24/02/2017,https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZZP5KNPM797,,12,12,y,,24/01/2019,05/03/2020,
http://opendatacommunities.org/id/unitary-authority/medway,,680,"Between 142 & 152 Luton Road, Chatham",0.538541,51.374929,https://maps.medway.gov.uk/webmaplayersext/map.aspx,0.08,not owned by a public authority,,permissioned,full planning permission,18/05/2017,https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZZP4KNPM407,,14,14,y,,05/03/2020,05/03/2020,
http://opendatacommunities.org/id/unitary-authority/medway,,687,"Former gas works site, north of Pier Road, Gillingham",0.560902,51.394768,https://maps.medway.gov.uk/webmaplayersext/map.aspx,2.12,not owned by a public authority,,not permissioned,,,,,159,159,,,05/03/2020,05/03/2020,
