OrganisationURL,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinDetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,101020,#N/A,"Former Methodist Chapel, Almley, Woonton, Herefordshire, HR3 6PY",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=101020,OSGB36,333368.000,252533.000,0.08,,#N/A,permissioned,full planning permission,2010-06-25,,#N/A,1,Proposed conversion of a redundant chapel into a dwelling house.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,162384,#N/A," Uphampton Farm, Belgate Lane, Uphampton Shobdon, Leominster, Herefordshire, HR6 9PA",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=162384,OSGB36,340264.000,263849.000,0,,,permissioned,full planning permission,2016-10-26,,#N/A,0,"Proposed erection of an agricultural workers dwelling for the poultry~site at Uphampton Farm. (For DOC 3, 6, 8, 9 & 10 see 171072).",,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,161067,#N/A,"Land at Bush House, Bush Bank, Herefordshire, HR4 8PQ",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=161067,OSGB36,345303.000,251313.000,0,,,permissioned,full planning permission,2016-05-24,,#N/A,1,One proposed dwelling with garage and other associated works.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,151090,#N/A,"Land at The Walled Garden, Bodenham Manor, Bodenham, Hereford, Herefordshire, HR1 3JS",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=151090,OSGB36,352786.000,251339.000,0,,,permissioned,full planning permission,2015-06-08,,#N/A,2,Proposed demolition of former school building and erection of two~detached dwellings with associated detached garages.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,162438,#N/A,"Land at Wynmoor, Bodenham, Hereford, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=162438,OSGB36,354402.000,250794.000,0,,,permissioned,reserved matters approval,2016-10-17,,#N/A,0,Proposed reserved matters following outline approval 152415 (Proposed~site for 2 dwellings).,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,162506,#N/A,"Bodenham Manor, Bodenham, Hereford, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=162506,OSGB36,352786.000,251339.000,0.34,,,permissioned,full planning permission,2016-11-04,,#N/A,0,Demolition of former school buildings and erection of three detached~dwellings. (For DOC 3 4 6 7 see 173019),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,162618,#N/A,"The Forge, Bodenham, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=162618,OSGB36,353435.000,251122.000,0.44,,,permissioned,full planning permission,2017-02-22,,#N/A,0,Proposed conversion of redundant stables to form holiday accommodation,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,164128,#N/A,"The Annexe, The Croft, Swinmore, Munsley, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=164128,OSGB36,367711.000,241760.000,0.01,,,permissioned,full planning permission,2017-03-01,,#N/A,1,Change of use of property to a one bedroom Bed & Breakfast/self~catering accommodation.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,152897,#N/A,"Land at Ash Ingen Place, Bridstow, Ross-on-Wye, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=152897,OSGB36,358055.000,226141.000,0,,,permissioned,full planning permission,2016-01-15,,#N/A,1,Proposed conversion of redundant garage and store to dwelling.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,153594,#N/A,"Orles Barn Hotel, Old Nursery Close, Ross-on-Wye, Herefordshire, HR9 6AE",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=153594,OSGB36,358861.000,224218.000,0.23,,,permissioned,outline planning permission,2016-03-07,,#N/A,4,"Proposed erection of 4 no. new 4 bedroom dwellings, turning and~manoeuvring.",,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
