OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsrangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,61,Detached dwelling and garage,"Hanover Cottage, 6 Claremont Lane, Esher, KT10 9DW","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=513950.91982897202&startNorthing=164148.95055544699",OSGB36,513950.9198,164148.9506,0.3187,not owned by a public authority,yes,pending decision,full planning permission,,"http://emaps.elmbridge.gov.uk/ebc_planning.aspx?requesttype=parseTemplate&template=PlanningHistoryTab.tmplt&Filter=^APPLICATION_NUMBER^='2018/3749'&appno:PARAM=2018/3749&address:PARAM=Hanover Cottage, 6 Claremont Lane, Esher, Surrey, KT10 9DW&northing:PAR",,13,Development comprising 9 houses and 4 flats with associated parking and landscaping following the demolition of existing buildings.,,,,,,,,02/04/2018,
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,60,One bungalow and two storey dwelling,"110 Fairmile Lane, Cobham, KT11 2BX","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=511942.94994852901&startNorthing=161373.05527852799",OSGB36,511942.9499,161373.0553,0.1145,not owned by a public authority,yes,pending decision,full planning permission,,"http://emaps.elmbridge.gov.uk/ebc_planning.aspx?requesttype=parseTemplate&template=PlanningHistoryTab.tmplt&Filter=^APPLICATION_NUMBER^='2018/3184'&appno:PARAM=2018/3184&address:PARAM=110 Fairmile Lane, Cobham, Surrey, KT11 2BX&northing:PARAM=161371&easti",,8,Detached two-storey building with rooms in the roof space consisitigng of 8 flats with additional access from Fairacres with associated parking and lanscaping following demolition of existing garage.,,,,,,,,02/04/2018,
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,27,Former public house building,"11 Cross Road, Weybridge, Surrey, KT13 9NX","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=508704.132294813&startNorthing=165030.526410349",OSGB36,508704.1323,165030.5264,0.0228,not owned by a public authority,yes,permissioned,full planning permission,13/06/2017,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=11+cross+road,,5,Change of use from Drinking Establishment (A4) (284sqm) to Residential (C3) to provide 4 flats and 1 terraced house and alterations to fenestration following demolition of existing single storey rear projection,,,,,,,,15/12/2017,01/04/2018
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,42,Sherwood House and associated grounds,"Sherwood House, 40 Severn Drive, Walton-on-Thames, KT12 3BH","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=511662.16676300601&startNorthing=165673.606874474",OSGB36,511662.1668,165673.6069,0.5234,not owned by a public authority,yes,permissioned,full planning permission,05/09/2018,"http://emaps.elmbridge.gov.uk/ebc_planning.aspx?requesttype=parseTemplate&template=PlanningHistoryTab.tmplt&Filter=^APPLICATION_NUMBER^='2017/3822'&appno:PARAM=2017/3822&address:PARAM=Sherwood House,  Severn Drive, Walton-on-thames, Surrey, KT12 3BH&north",,30,"Two-storey side/ rear extension to west side of building, two-storey rear extension to east of building, alterations to existing parking and new access and associated landscaping following demolition of existing plant room",,,,,,,,01/04/2018,
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,1,Former public house building,"9 Ashley Road, Walton-on-Thames, Surrey, KT12 1HY","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=510246.08625001798&startNorthing=166111.28356850601",OSGB36,510246.0863,166111.2836,0.0669,not owned by a public authority,yes,permissioned,full planning permission,23/12/2014,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=kt12+1hy,,5,Part two/part first floor side and two storey and single storey rear extensions and conversion of part of first floor to provide five flats,,,,,,,,15/12/2017,01/04/2018
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,86,Residential building (Use Class C2),"Heath Lodge, St Georges Avenue, Weybridge, KT13 0DA","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=507871&startNorthing=163828",OSGB36,507871,163828,0.1392,not owned by a public authority,yes,not permissioned,other,,,,18,"Demolition of care home buildings and erection of a new part two storey, part three storey building to comprise 18 apartments with basement parking, associated landscaping and amenity space",,,,,,,,31/12/2019,31/12/2019
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,81,Demolished building now hardstanding,"Site of 95 Queens Road, Hersham, KT12 5LA","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=510877&startNorthing=164374",OSGB36,510877,164374,0.0503,not owned by a public authority,yes,not permissioned,outline planning permission,,"http://emaps.elmbridge.gov.uk/ebc_planning.aspx?requesttype=parseTemplate&template=PlanningHistoryTab.tmplt&Filter=^APPLICATION_NUMBER^='2019/1323'&appno:PARAM=2019/1323&address:PARAM=Site Of 95,  Queens Road, Hersham, Walton-on-Thames, Surrey, KT12 5LA&northing:PARAM=164374&easting:PARAM=510877",,6,,,,,,,,,31/12/2019,31/12/2019
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,4,Three storey residential block with hardstanding,"Lincoln Court, Old Avenue, Weybridge, Surrey, KT13 0PH","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=508620.78529801301&startNorthing=163867.34963040601",OSGB36,508620.7853,163867.3496,0.3138,not owned by a public authority,yes,permissioned,full planning permission,24/03/2016,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=lincoln+court,,6,Detached part four/part three/part two storey building with basement parking containing 15 flats following demolition of existing block of flats and 2 existing garage blocks,,,,,,,,15/12/2017,01/04/2018
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,12,Three storey building,"83 High Street, Walton-On-Thames, Surrey, KT12 1DU","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=513829.86327065201&startNorthing=164554.38710624",OSGB36,513829.8633,164554.3871,0.017,not owned by a public authority,yes,permissioned,full planning permission,02/10/2018,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=83+high+street,,6,PD Prior Notification: Change of use from Office (B1a) to Residential (C3),,,,,,,,15/12/2017,
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,7,96 (A and B uses) and 96R (B uses) x2 buildings,"96 and 96R Walton Road, East Molesey, Surrey, KT8 0DL","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=514518.10837479401&startNorthing=168046.5",OSGB36,514518.1084,168046.5,0.0382,not owned by a public authority,yes,permissioned,full planning permission,13/06/2016,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=96+walton+road,,5,PD Prior Notification : Change of use from Office (B1a) to Residential (C3),,,,,,,,15/12/2017,01/04/2018
