OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/braintree,Braintree District Council,BCBG144,,"Carier Site, East Street, Braintree",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865 ,OSGB36,576577,223137,2.13,not owned by a public authority,yes,permissioned,reserved matters approval,30/11/2018,,,74,"18/00613/REM - Application for approval of Reserved Matters for 'Access', 'Appearance', 'Landscaping', 'Layout', and 'Scale' for erection of 74 dwellings pursuant to outline planning permission",,,,,,,Outline permission 15/01366/OUT - (granted 10th July 2017),22/12/2017,22/12/2018
http://opendatacommunities.org/id/district-council/braintree,Braintree District Council,BRS35,,"The Rose and Crown, Masefield Road, Braintree",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865 ,OSGB36,576033,221930,0.09,not owned by a public authority,yes,pending decision,full planning permission,,,,14,"Erection of 14no. flats, new vehicular access, basement parking and amenity areas (application pending decision 18/00195/FUL). Previous application 14/01115/FUL has expired. ",,,,,,,,22/12/2017,22/12/2018
http://opendatacommunities.org/id/district-council/braintree,Braintree District Council,GRYE 275,,"Hunnable Industrial Estate, Great Yeldham",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,OSGB36,575955,238094,2.19,not owned by a public authority,yes,permissioned,outline planning permission,09/07/2015,,,60,14/01254/OUT - Erection of up to 60 no. dwellings and community use area,,,,,,,Reserve Matters pending 18/01475/REM,22/12/2017,22/12/2018
http://opendatacommunities.org/id/district-council/braintree,Braintree District Council,15/01103/OUT,,"Universal Garage, The Street, Hatfield Peverel ",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,OSGB36,579332,211873,0.22,not owned by a public authority,yes,permissioned,outline planning permission,18/08/2016,,,9,"Demolish workshop and vehicle sales buildings, cease vehicle sales use and erection of 7 no. two storey terrace dwellings and 2 no. detached dwellings, formation of new vehicular access on the The Street, layout parking spaces and form private amenity areas.",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/braintree,Braintree District Council,16/00850/FUL,,"Former Courtauld Boiler Building Factory, Lane West, Halstead",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,OSGB36,581406,230316,0.3,not owned by a public authority,yes,permissioned,full planning permission,19/07/2017,,,22,"Change of use of existing former Courtauld boiler buildings to create 22 flats together with commercial storage, landscaping and car parking",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/braintree,Braintree District Council,16/01525/OUT,,"4 Helions Road, Steeple Bumpstead",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,OSGB36,567487,240921,0.84,not owned by a public authority,yes,permissioned,outline planning permission,12/01/2017,,,9,Application for outline planning permission with all matters reserved - redevelopment of an agricultural machinery depot to residential development of 9no. three bedroom dwellings with associated works,,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/braintree,Braintree District Council,16/00661/FUL,,"Garage Site, Lancaster Way, Braintree",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,OSGB36,575169,223900,0.14,not owned by a public authority,yes,permissioned,full planning permission,21/07/2016,,,7,Demolition of existing garages and erection of 7 no. apartments contained within one block,,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/braintree,Braintree District Council,17/01340/FUL,,"28-30 Trinity Street, Halstead",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,OSGB36,581046,230530,0.02,not owned by a public authority,yes,permissioned,full planning permission,23/11/2017,,,6,"Change of use of building from commercial to 6 no. one bedroom flats and a commercial unit at ground floor level, together with internal and external alterations",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/braintree,Braintree District Council,16/00418/FUL,,"Units 1 and 2 Tey Grove, Gt Domseys Farm, Domsey Chase, Feering",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,OSGB36,588790,221748,0.26,not owned by a public authority,yes,permissioned,full planning permission,10/06/2016,,,11,Proposed alterations and landscaping following approval under ref 13/00005/COUPA that allowed for the conversion of vacant office building to residential use comprising 11 no. dwellings,,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/braintree,Braintree District Council,16/01470/FUL,,"Bardfield Centre, Braintree Road, Great Bardfield",https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,OSGB36,567754,230179,0.41,not owned by a public authority,yes,permissioned,full planning permission,28/04/2017,,,8,"The conversion of existing commercial buildings to form 8 no. residential units with associated landscaping, creation of vehicular access and demolition of Unit 13 and a storage building to facilitate amended car parking provision",,,,,,,,22/12/2017,22/12/2017
