OrganisationLabel,SiteReference,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,FirstAddedDate,LastUpdatedDate,OrganisationURI,PreviouslyPartOf,Note
Malvern Hills District Council,MHDCBLR/0001,"Walsh’s Yard, Common Road, Malvern",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0001+Walsh+Yard%2C+Common+Road%2C+Malvern.pdf/08bb8fea-b0b4-f7ef-a843-049da46459b8,ETRS89,378920,244041,0.35,Not owned by a public authority,Yes,Permissioned,Outline Planning Permission,2016-09-30,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=71846,,5,Outline application with all matters reserved for erection of up to 6 dwellings,,,5,5,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=71846,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,Development Plan reference SWDP52/1
Malvern Hills District Council,MHDCBLR/0002,"Portland House, Church Street, Malvern",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0002+Portland+House%2C+Church+Street%2C+Malvern.pdf/cadca1a1-9c5d-a34f-ac69-fcea24678a09,ETRS89,377845,246014,0.22,Owned by a public authority,,Pending Decision,,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=73156,,15,,,,15,15,,,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,Development Plan reference SWDP52/5
Malvern Hills District Council,MHDCBLR/0003,"(Former Hospital) Landsdowne Crescent, Malvern",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0003+Former+Hospital%2C+Landsdowne+Crescent%2C+Malvern.pdf/3b819c33-fc15-d99c-eb75-53e0ef5713fd,ETRS89,378160,246080,0.27,Not owned by a public authority,,Not Permissioned,,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=74121,,15,,,,15,15,,,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,Development Plan reference SWDP52/8
Malvern Hills District Council,MHDCBLR/0004,"Pickersleigh Grove, Malvern - part BF (buildings now demolished) and part GF",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0004+Pickersleigh+Grove%2C+Malvern.pdf/75fa740c-f63b-bd1b-a3d3-cc9282c0b8e5,ETRS89,378378,246843,3.29,Not owned by a public authority,Yes,Permissioned,Reserved Matters Approval,2017-05-04,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=74386,,44,"Approval of Reserved Matters for appearance, landscaping and scale following approval of outline permission ref 13/00900/OUT for residential development of 92 residential units.",,,44,44,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=74386,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,Development Plan reference SWDP52f
Malvern Hills District Council,MHDCBLR/0005,"former Railway Sidings, Peachfield Road;",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0005+Former+Railway+Sidings%2C+Peachfield+Road%2C+Malvern.pdf/3822a5cb-03cd-e482-96bb-23ccbd3889ff,ETRS89,377896,244135,0.66,Not owned by a public authority,,Not Permissioned,,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=46526,,18,,,,18,22,,,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,Development Plan reference SWDP52m
Malvern Hills District Council,MHDCBLR/0006,"Victoria Road Car Park, Malvern",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0006+Victoria+Road+Car+Park%2C+Malvern.pdf/769cfa34-62c2-380b-8884-c974287a2539,ETRS89,377813,246162,0.28,Owned by a public authority,,Not Permissioned,,,,,18,,,,18,21,,,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,Development Plan reference SWDP52s
Malvern Hills District Council,MHDCBLR/0007,"Barracks Store, Court Road, Malvern",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0007+Barracks+Store%2C+Court+Road%2C+Malvern.pdf/f8dcc812-6cf3-dddb-4051-8a333e6cbba0,ETRS89,378336,245167,0.81,Not owned by a public authority,,Not Permissioned,,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=58460,,25,,,,25,31,,,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,Development Plan reference SWDP52*
Malvern Hills District Council,MHDCBLR/0008,"Malvern Technology Centre, Malvern",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0008+Malvern+Technology+Centre%2C+Malvern.pdf/f67dcb67-2542-91a1-0407-59d3d3bc5f43,ETRS89,378649,244696,15.4,Not owned by a public authority,,Not Permissioned,,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=76538,,270,,,,270,330,,,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,Development Plan reference SWDP53A
Malvern Hills District Council,MHDCBLR/0009,"Land at Braithwaite’s Yard, Main Road, Hallow",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0009+Land+at+Braithwaite+Yard%2C+Main+Road%2C+Hallow.pdf/f6b32bbd-b1be-4b03-05ca-5b7e2a09663a,ETRS89,382787,257719,0.67,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2016-12-21,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=71498,,9,Development of 9 dwellings,,,9,9,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=71498,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,Development Plan reference SWDP59d
Malvern Hills District Council,MHDCBLR/0010,"Former Royal Oak PH, Main Road, Hallow",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0010+Former+Royal+Oak+PH%2C+Main+Road%2C+Hallow.pdf/0715a67f-f55b-625c-cc26-8f5db839d6e7,ETRS89,382686,258432,0.18,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2016-12-21,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=71487,,8,Residential development of 8 dwellings,,,8,8,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=71487,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,Development Plan reference SWDP59zk
