OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/bassetlaw,Bassetlaw District Council,LAA002,,' Montagu House London Road Retford '',https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,OSGB036,471319,379107,0.59,not owned by a public authority,,not permissioned,,,http://publicaccess.bassetlaw.gov.uk/online-applications/,,18,,,,,,,,,25/03/2020,25/03/2020
http://opendatacommunities.org/id/district-council/bassetlaw,Bassetlaw District Council,LAA008,,' Land opposite 87 West Carr Road Retford '',https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,OSGB036,470013,380474,0.33,not owned by a public authority,yes,permissioned,outline planning permission,15/12/2016,http://publicaccess.bassetlaw.gov.uk/online-applications/,,12,' 16/00364/OUT Outline Planning Application with Some Matters Reserved for an Indicative 12 Dwellings and Construction of New Access - Residential Development '',,,,,,,,25/03/2020,25/03/2020
http://opendatacommunities.org/id/district-council/bassetlaw,Bassetlaw District Council,LAA011,,' Unit 3 Rossington Park West Carr Road Retford '',https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,OSGB036,470129,380198,2.16,not owned by a public authority,,not permissioned,,,http://publicaccess.bassetlaw.gov.uk/online-applications/,,78,,,,,,,,,25/03/2020,25/03/2020
http://opendatacommunities.org/id/district-council/bassetlaw,Bassetlaw District Council,LAA040,,' Kettlewell ltd Grove Street Retford '',https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,OSGB036,470925,381119,0.51,not owned by a public authority,,not permissioned,,,http://publicaccess.bassetlaw.gov.uk/online-applications/,,65,,,,,,,,,25/03/2020,25/03/2020
http://opendatacommunities.org/id/district-council/bassetlaw,Bassetlaw District Council,LAA077,,' Worksop Golf Club Windmill Lane Worksop '',https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,OSGB036,459554,377661,1.19,not owned by a public authority,,not permissioned,,,http://publicaccess.bassetlaw.gov.uk/online-applications/,,20,,,,,,,,,25/03/2020,25/03/2020
http://opendatacommunities.org/id/district-council/bassetlaw,Bassetlaw District Council,LAA138,,' Canal Turn Welham Road Retford '',https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,OSGB036,471719,381874,1.24,not owned by a public authority,,not permissioned,,,http://publicaccess.bassetlaw.gov.uk/online-applications/,,4,,,,,,,,,25/03/2020,25/03/2020
http://opendatacommunities.org/id/district-council/bassetlaw,Bassetlaw District Council,LAA142,,' Former Bassetlaw Learning Centre 112 Newgate Street Worksop '',https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,OSGB036,458975,378460,0.85,owned by a public authority,yes,not permissioned,,,http://publicaccess.bassetlaw.gov.uk/online-applications/,,31,,,,,,,,,25/03/2020,25/03/2020
http://opendatacommunities.org/id/district-council/bassetlaw,Bassetlaw District Council,LAA147,,' Manton Primary School Worksop '',https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,OSGB036,460048,378068,3.69,owned by a public authority,yes,not permissioned,,,http://publicaccess.bassetlaw.gov.uk/online-applications/,,133,,,,,,,,,25/03/2020,25/03/2020
http://opendatacommunities.org/id/district-council/bassetlaw,Bassetlaw District Council,LAA223,,' Welbeck Colliery Budby Road Welbeck '',https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,OSGB036,457730,370477,33.63,not owned by a public authority,yes,permissioned,full planning permission,17/08/2016,http://publicaccess.bassetlaw.gov.uk/online-applications/,,65,' 15/01037/FUL Hybrid Planning Application Seeking Residential Development (Use Class C3) '',"(a) Full Planning Permission for Alterations to Existing Site Access Points: Extensions and Alterations to Existing Internal Spine Roads; Car Parking Area for Use in Connection With the Previously Approved Country Park; Creation of Development PlatformsChange of Use of Part of Site for Open Storage (Use Class B8); and Associated Infrastructure and Outline Planning Permission for Offices (Use Class B1a), Employment Uses (Use Classes B1b/c, B2 and B8) and Ancillary Retail and Food/Drink Uses (Use Classes A1 and A3) and Associated Works.",,,,,,,25/03/2020,25/03/2020
http://opendatacommunities.org/id/district-council/bassetlaw,Bassetlaw District Council,LAA229,,' Tuxford Memorial Hall Ashvale Road Tuxford '',https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,OSGB036,473935,371068,0.4,not owned by a public authority,,not permissioned,,,http://publicaccess.bassetlaw.gov.uk/online-applications/,,8,,,,,,,,,25/03/2020,25/03/2020
http://opendatacommunities.org/id/district-council/bassetlaw,Bassetlaw District Council,LAA292,,' Former Depot Budby Road Cuckney'',https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,OSGB036,456544,371226,0.93,not owned by a public authority,,not permissioned,,,http://publicaccess.bassetlaw.gov.uk/online-applications/,,5,,,,,,,,,25/03/2020,25/03/2020
