OrganisationURI,OrganisationalLabel,SiteReference,AlternativeReference,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Achieavble,PlanningStatus,PermissionType,PermissionDate,MinNetDwellings,Development Description,NetDwellingsRangeFrom,NetDwellingsRangeTo,FirstAddedDate,LastUpdatedDate,Notes
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/16/02727/BRWN,HAS28,"Dell Mount, Bedford Road, Houghton Regis",https://centralbedfordshire.box.com/s/xxa8354gzmoun3pxde5v4j3r0wmoathk,OSGB36,501594,224309,0.75,Not owned by a public authority,Yes,Not Permissioned,,,18,Redevelopment to provide approx. 20-25 dwellings,20,25,18/07/2016,31/12/2018,"Existing Gospel Hall. Promoted for redevelopment, will be subsumed within HRN development. 2015 pre-app for demolition/erection of 20-25 dwellings"
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/16/02732/BRWN,ALP469/NLP429,"Henlow Greyhound Stadium, Bedford Road, Lower Stondon",https://centralbedfordshire.box.com/s/q7d3ldacyghgb7dlzy8c52jcpvx07w97,OSGB36,516231,235850,2.85,Not owned by a public authority,Yes,Not Permissioned,,,53,Erection of up to 77 dwellings,53,77,18/07/2016,31/12/2018,Greyhound Racing Stadium - commercial & leisure. Adjacent to Henlow Airfield and Lower Stondon
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/16/02756/BRWN,NLP096,"Meppershall Nursing Home, Shefford Road, Meppershall",https://centralbedfordshire.box.com/s/r3v8jiqcjmr20e5yay5az027d4xnr6sz,OSGB36,514354,237373,1.10,Not owned by a public authority,Yes,Not Permissioned,,,34,Erection of between 30-40 dwellings,30,40,18/07/2016,31/12/2018,Existing care home in operation adjacent to the village boundary. Narrow site access may be an issue
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/16/02767/BRWN,CB/16/05134/FULL,"Former Trico Site, High Street North, Dunstable",https://centralbedfordshire.box.com/s/nj9toe9b9ilc1xbe9zdz1b04sphdrp0s,OSGB36,500861,222764,1.19,Not owned by a public authority,Yes,Not Permissioned,Full Planning Permission,2017/09/29,61,Erection of 61 dwellings (38 houses & 23 flats),60,70,18/07/2016,31/12/2018,Part of larger redeveloped site in Dunstable
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/16/02769/BRWN,CB/15/03052/RM,"Dukeminster Estate, Church Street, Dunstable",https://centralbedfordshire.box.com/s/hb0ntrke3j2tg5an6fvwkuav6ydwxc9g,OSGB36,502331,222150,5.04,Not owned by a public authority,Yes,Permissioned,Reserved Matters Approval,2016/03/16,170,Erection of 170 dwellings,170,170,18/07/2016,31/12/2018,Site benefits from planning permission for 170 dwellings
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/16/02794/BRWN,CB/15/02821/OUT,"Former Interbrew, Eastern Avenue Industrial Estate, Eastern Avenue, Dunstable",https://centralbedfordshire.box.com/s/pgjihz0u96htke5optnsr273aqh8k7x8,OSGB36,502957,221875,3.19,Not owned by a public authority,Yes,Permissioned,Outline Planning Permission,2016/08/31,100,Erection of 100 dwellings,100,100,18/07/2016,31/12/2018,Outline Planning Permission for 100 dwellings
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/16/03020/BRWN,CB/15/04836/FULL,"Roker Park, The Green, Stotfold",https://centralbedfordshire.box.com/s/vwve6jdjte4xq97epi2czs6jc46hm956,OSGB36,521958,237427,1.39,Owned by a public authority,Yes,Pending Decision,Full Planning Permission,Awaiting Decision,43,Erection of 62 dwellings,43,62,18/07/2016,31/12/2018,Extant planning permission for 43 dwellings
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/16/03103/BRWN,HA29,"Peckworth Industrial Estate, Bedford Road, Lower Stondon",https://centralbedfordshire.box.com/s/56lym1tbgbkootvfygc3ndr316zbwgc0,OSGB36,516439,235611,0.38,Not owned by a public authority,Yes,Not Permissioned,,,13,Allocated site for 13 dwellings,13,13,18/07/2016,31/12/2018,Site allocation HA29 (North CBC Site Allocation DPD). No planning application to date
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/17/05977/BRWN,SE4,"RAF Henlow, Henlow",https://centralbedfordshire.box.com/s/ff6xgoz8sgp0y0ph9l5mpig2957ezpa3,OSGB36,516622,236434,220,Owned by a public authority,Yes,Not Permissioned,,,700,Large scale redevelopment of former miltary base/airfield,700,1000,18/12/2017,31/12/2018,Site constraints exist which require significant mitigation
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/17/05982/BRWN,HAS45,"Land North of Dawes Garage, 25 High Road, Shillington",https://centralbedfordshire.box.com/s/n7gyh9bwen40at0067qwtvs1idoruow9,OSGB36,512894,234304,2.3,Not owned by a public authority,Yes,Not Permissioned,,,23,Erection of 2/3 bed houses & 9 x 1/2 bed bungalows,23,42,18/12/2017,31/12/2018,Site contains agricultural buildings which require demolition
