OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,15/00275/FUL,"18 Church Road, Fleet, Hampshire, GU51 3RH",https://publicaccess.hart.gov.uk/online-applications/,51.282478,-0.840016,0.08,Not owned by a public authority,permissioned,full planning permission,19/06/2015,,,10,10,,Demolition of existing office block at 18 Church Road and erection of 10 apartments,22/12/2017,22/12/2017,20/12/2018
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,16/00796/PRIOR,"Consort House, 46-48 Albert Street, Fleet, Hampshire, GU51 3RL",https://publicaccess.hart.gov.uk/online-applications/,51.282567,-0.839038,0.04,Not owned by a public authority,permissioned,other,26/05/2016,,,6,7,,Change of use from B1 to C3 (7 dwgs). Previous approval 16/00032/PRIOR (6 dwgs) granted 2016-03-15.,22/12/2017,22/12/2017,20/12/2018
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,17/00828/PRIOR,"115-123 Fleet Road, Fleet, Hampshire, GU51 3PD",https://publicaccess.hart.gov.uk/online-applications/,51.283972,-0.8383,0.14,Not owned by a public authority,permissioned,other,30/05/2017,,,6,6,,"Change of use of B1a offices to 6 flats. Previous approval 16/03413/PRIOR for Change of use of ground floor (part), 1st floor (part) and 2nd floor (part) from Use Class B1a offices to 12 flats (8 x 1 bedroom and 4 x 2 bedroom) granted 2017-02-02.",22/12/2017,22/12/2017,20/12/2018
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,16/03411/PRIOR,"111-113 Fleet Road, Fleet, Hampshire, GU51 3PD",https://publicaccess.hart.gov.uk/online-applications/,51.284112,-0.837967,0.1,Not owned by a public authority,permissioned,other,02/02/2017,,,12,12,,Change of use of 1st and 2nd floors from Use Class B1a offices to 12 flats (10 x 1 bedroom and 2 x 2 bedroom),22/12/2017,22/12/2017,20/12/2018
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,15/00828/FUL,"Former Auxiliary Stores Unit, Former Queen Elizabeth Barracks, Naishes Lane, Church Crookham, Hampshire, GU52 8DB",https://publicaccess.hart.gov.uk/online-applications/,51.256308,-0.829882,0.75,Not owned by a public authority,permissioned,full planning permission,31/07/2015,,,16,16,,Redevelopment of the site to provide 16 Dwellings,22/12/2017,22/12/2017,20/12/2018
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,14/01093/OUT,"Winkworth Business Park, London Road, Hartley Wintney, Hook, Hampshire, RG27 8HY",https://publicaccess.hart.gov.uk/online-applications/,51.292094,-0.92314,0.5,Not owned by a public authority,permissioned,reserved matters approval,08/01/2016,,,5,5,,Reserved Matters 15/02201/REM granted for erection of 5 dwellings,22/12/2017,22/12/2017,20/12/2018
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,15/02225/FUL,"32 Reading Road South, Fleet, Hampshire, GU52 7QL",https://publicaccess.hart.gov.uk/online-applications/,51.277538,-0.844255,0.03,Not owned by a public authority,permissioned,full planning permission,12/01/2016,,,6,6,,Conversion of existing B2 premises to 6 apartments,22/12/2017,22/12/2017,20/12/2018
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,14/02942/FUL,"Land To Rear Of, Chantryland, New Road, Eversley, Hook, Hampshire, RG27 0NX",https://publicaccess.hart.gov.uk/online-applications/,51.344999,-0.859831,0.36,Not owned by a public authority,permissioned,full planning permission,24/02/2015,,Y,6,6,,"Demolition of Chantryland and erection of one 5 bedroom, two 4 bedroom and three 2 bedroom houses. Under construction at April 2019.",22/12/2017,22/12/2017,20/12/2018
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,15/01603/FUL,"Landata House, Station Road, Hook, Hampshire, RG27 9PE",https://publicaccess.hart.gov.uk/online-applications/,51.278094,-0.961103,0.55,not owned by a public authority,permissioned,full planning permission,23/03/2016,,,78,78,,Redevelopment of the site to provide 78 residential flats. Development complete in 2019.,22/12/2017,22/12/2017,20/11/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,16/03378/FUL,"Bartley House, Station Road, Hook, Hampshire, RG27 9JF",https://publicaccess.hart.gov.uk/online-applications/,51.277317,-0.96069,0.6,not owned by a public authority,permissioned,full planning permission,31/05/2016,,Y,102,102,,Demolition of office building and redevelopment to provide 4 x blocks containing a total of 102 apartments (46 x 1 bed and 56 x 2-bed). Under construction at April 2019.,22/12/2017,20/11/2019,20/11/2019
