entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-12-10,local-authority-eng:SBU,SB0005,http://www.southbucks.gov.uk/planning/brownfieldregister,51.6,-0.65,2.5,9,9,2017-12-08,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
2018-12-10,local-authority-eng:SBU,SB0032,http://www.southbucks.gov.uk/planning/brownfieldregister,51.6,-0.63,4.9,5,11,2017-12-08,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
2018-12-10,local-authority-eng:SBU,SB0034,http://www.southbucks.gov.uk/planning/brownfieldregister,51.53,-0.66,0.23,6,6,2017-12-08,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
2018-12-10,local-authority-eng:SBU,SB0043,http://www.southbucks.gov.uk/planning/brownfieldregister,51.51,-0.51,42.95,130,320,2017-12-08,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
2018-12-10,local-authority-eng:SBU,SB0055,http://www.southbucks.gov.uk/planning/brownfieldregister,51.6,-0.62,36.89,350,350,2017-12-08,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
2018-12-10,local-authority-eng:SBU,SB0285,http://www.southbucks.gov.uk/planning/brownfieldregister,51.55,-0.62,0.03,6,8,2017-12-08,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
2018-12-10,local-authority-eng:SBU,SB0320,http://www.southbucks.gov.uk/planning/brownfieldregister,51.59,-0.58,13.55,8,11,2017-12-08,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
2018-12-10,local-authority-eng:SBU,SB0339,http://www.southbucks.gov.uk/planning/brownfieldregister,51.52,-0.66,0.08,5,10,2017-12-08,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
2018-12-10,local-authority-eng:SBU,SB0387,http://www.southbucks.gov.uk/planning/brownfieldregister,51.53,-0.66,0.27,23,23,2017-12-08,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
2018-12-10,local-authority-eng:SBU,SB0391,http://www.southbucks.gov.uk/planning/brownfieldregister,51.5,-0.51,1.28,5,5,2017-12-08,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
2018-12-10,local-authority-eng:SBU,SB0418,http://www.southbucks.gov.uk/planning/brownfieldregister,51.59,-0.55,0.12,32,32,2017-12-08,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
2018-12-10,local-authority-eng:SBU,SB0419,http://www.southbucks.gov.uk/planning/brownfieldregister,51.55,-0.61,0.44,7,7,2017-12-08,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
2018-12-10,local-authority-eng:SBU,SB0421,http://www.southbucks.gov.uk/planning/brownfieldregister,51.55,-0.49,0.46,22,22,2017-12-08,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
2018-12-10,local-authority-eng:SBU,SB0428,http://www.southbucks.gov.uk/planning/brownfieldregister,51.57,-0.53,0.75,34,34,2017-12-08,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
2018-12-10,local-authority-eng:SBU,SB0443,http://www.southbucks.gov.uk/planning/brownfieldregister,51.71,-0.68,0.57,8,10,2017-12-08,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
2018-12-10,local-authority-eng:SBU,SB0444,http://www.southbucks.gov.uk/planning/brownfieldregister,51.74,-0.61,0.26,5,6,2017-12-08,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
2018-12-10,local-authority-eng:SBU,SB0446,http://www.southbucks.gov.uk/planning/brownfieldregister,51.74,-0.6,2.34,20,30,2017-12-08,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
,local-authority-eng:SBU,SB0451,http://www.southbucks.gov.uk/planning/brownfieldregister,51.54,-0.62,0.14,5,5,2018-12-10,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
,local-authority-eng:SBU,SB0452,http://www.southbucks.gov.uk/planning/brownfieldregister,51.52,-0.66,3.21,86,86,2018-12-10,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
,local-authority-eng:SBU,SB0453,http://www.southbucks.gov.uk/planning/brownfieldregister,51.57,-0.54,0.38,5,5,2018-12-10,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
,local-authority-eng:SBU,SB0454,http://www.southbucks.gov.uk/planning/brownfieldregister,51.52,-0.7,0.46,10,10,2018-12-10,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
,local-authority-eng:SBU,SB0455,http://www.southbucks.gov.uk/planning/brownfieldregister,51.55,-0.6,0.48,3,3,2018-12-10,,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
