entry-date,organisation,site,latitude,longitude,hectares,start-date,end-date,resource
,http://opendatacommunities.org/id/district-council/gravesham,EDC/16/0004,174574.0,562281.0,31.14,2017-12-20,,07e1064ce37631bbca6118959dca0baf87ca9f35b06e025c9828ba656b6a304e
,http://opendatacommunities.org/id/district-council/gravesham,20030315 ,173909.0,564831.0,0.54,2017-12-20,,07e1064ce37631bbca6118959dca0baf87ca9f35b06e025c9828ba656b6a304e
,http://opendatacommunities.org/id/district-council/gravesham,20120931,174280.0,564541.0,5.54,2017-12-20,,07e1064ce37631bbca6118959dca0baf87ca9f35b06e025c9828ba656b6a304e
,http://opendatacommunities.org/id/district-council/gravesham,20160046,174442.0,564396.0,0.55,2017-12-20,,07e1064ce37631bbca6118959dca0baf87ca9f35b06e025c9828ba656b6a304e
,http://opendatacommunities.org/id/district-council/gravesham,20120590,173775.0,564705.0,0.42,2017-12-20,,07e1064ce37631bbca6118959dca0baf87ca9f35b06e025c9828ba656b6a304e
,http://opendatacommunities.org/id/district-council/gravesham,20150502,173093.0,563083.0,0.22,2017-12-20,,07e1064ce37631bbca6118959dca0baf87ca9f35b06e025c9828ba656b6a304e
,http://opendatacommunities.org/id/district-council/gravesham,20140573,174229.0,565040.0,0.1,2017-12-20,,07e1064ce37631bbca6118959dca0baf87ca9f35b06e025c9828ba656b6a304e
,http://opendatacommunities.org/id/district-council/gravesham,20140715,174229.0,565040.0,0.1,2017-12-20,,07e1064ce37631bbca6118959dca0baf87ca9f35b06e025c9828ba656b6a304e
,http://opendatacommunities.org/id/district-council/gravesham,20130298,174061.0,563255.0,0.2,2017-12-20,,07e1064ce37631bbca6118959dca0baf87ca9f35b06e025c9828ba656b6a304e
,http://opendatacommunities.org/id/district-council/gravesham,20150028,174123.0,563521.0,0.17,2017-12-20,,07e1064ce37631bbca6118959dca0baf87ca9f35b06e025c9828ba656b6a304e
,http://opendatacommunities.org/id/district-council/gravesham,20140682,173529.0,565170.0,0.18,2017-12-20,,07e1064ce37631bbca6118959dca0baf87ca9f35b06e025c9828ba656b6a304e
,http://opendatacommunities.org/id/district-council/gravesham,20110994,174224.0,564865.0,0.08,2017-12-20,,07e1064ce37631bbca6118959dca0baf87ca9f35b06e025c9828ba656b6a304e
