entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-12-21,local-authority-eng:BAS,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.06,,,2017-12-21,,0938ddfe15027c0efc4d998795717ad812a5a5fc09572ce472b43ae165811b6f
,local-authority-eng:BAS,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.07,,,2017-12-21,,0938ddfe15027c0efc4d998795717ad812a5a5fc09572ce472b43ae165811b6f
2018-12-21,local-authority-eng:BAS,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.08,,,2017-12-21,,0938ddfe15027c0efc4d998795717ad812a5a5fc09572ce472b43ae165811b6f
2018-12-21,local-authority-eng:BAS,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.02,,,2017-12-21,,0938ddfe15027c0efc4d998795717ad812a5a5fc09572ce472b43ae165811b6f
2018-12-21,local-authority-eng:BAS,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.19,,,2017-12-21,,0938ddfe15027c0efc4d998795717ad812a5a5fc09572ce472b43ae165811b6f
2018-12-21,local-authority-eng:BAS,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.06,,,2017-12-21,,0938ddfe15027c0efc4d998795717ad812a5a5fc09572ce472b43ae165811b6f
2018-12-21,local-authority-eng:BAS,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.03,,,2017-12-21,,0938ddfe15027c0efc4d998795717ad812a5a5fc09572ce472b43ae165811b6f
2018-12-21,local-authority-eng:BAS,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.17,,,2017-12-21,,0938ddfe15027c0efc4d998795717ad812a5a5fc09572ce472b43ae165811b6f
2018-12-21,local-authority-eng:BAS,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.6,,,2017-12-21,,0938ddfe15027c0efc4d998795717ad812a5a5fc09572ce472b43ae165811b6f
2018-12-21,local-authority-eng:BAS,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.05,,,2017-12-21,,0938ddfe15027c0efc4d998795717ad812a5a5fc09572ce472b43ae165811b6f
2018-12-21,local-authority-eng:BAS,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.02,,,2017-12-21,,0938ddfe15027c0efc4d998795717ad812a5a5fc09572ce472b43ae165811b6f
2018-12-21,local-authority-eng:BAS,,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,,,0.21,,,2017-12-21,,0938ddfe15027c0efc4d998795717ad812a5a5fc09572ce472b43ae165811b6f
