entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2019-12-04,local-authority-eng:OXO,6,"Banbury Road University Sites, Banbury Road, Oxford",https://www.oxford.gov.uk/downloads/file/4173/site_006_-_banbury_road_university_sites,yes,not owned by a public authority,not permissioned,,,51.762845,-1.258714,3.12,,,2017-10-25,,"This site is allocated for mixed use development (including student accommodation and university staff housing) in the Sites and Housing Plan adopted in February 2013.  The allocation also remains in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).Many of the existing buildings on the site contribute to the character of the North Oxford Victorian Suburb Conservation Area or are listed. Therefore any significant redevelopment is unlikely to be suitable but there is some potential to intensify existing uses.",09507a469d95be4189fab5558f4adf2c03c61ac26204b65c60387529544d2788
2019-12-04,local-authority-eng:OXO,9,"Blackbird Leys District Centre, Blackbird Leys Road, Oxford, (Blackbird Leys Central Area)",https://www.oxford.gov.uk/downloads/file/4174/site_009_-_blackbird_leys_central_area,yes,mixed ownership,pending decision,,,51.720095,-1.199227,5.34,200,300,2017-10-25,,"Application 18/03405/FUL for 21 residential units. The site is allocated for mixed use development (including housing) in the Sites and Housing Plan adopted in February 2013. The allocation also remains in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings). Blackbird Leys is one of five priority regeneration areas identified in the Oxford Core Strategy 2026.",09507a469d95be4189fab5558f4adf2c03c61ac26204b65c60387529544d2788
2019-12-04,local-authority-eng:OXO,10,"Former office and stores for telephone engineering depot, Hollow Way, Oxford, OX3 7JS, (BT Site)",https://www.oxford.gov.uk/downloads/file/4178/site_010_-_bt_site,yes,not owned by a public authority,permissioned,full planning permission,,51.742167,-1.202187,1.59,50,95,2017-10-25,2020-03-31,This site has been removed from the register as the planning permission has been implemented.,09507a469d95be4189fab5558f4adf2c03c61ac26204b65c60387529544d2788
2019-12-04,local-authority-eng:OXO,11,"Land at canalside, Oxford, OX2 6BX, (Jericho Canalside)",https://www.oxford.gov.uk/downloads/file/4176/site_011_-_jericho_canalside,yes,not owned by a public authority,not permissioned,,,51.757599,-1.270245,0.48,,,2017-10-25,,"Planning permission 14/01441/FUL (now expired) was granted on 19/04/2016  for the demolition of various structures and the erection of 23 residential units together with new community centre, restaurant, boatyard, public square, winding hole and public bridge across the Oxford Canal. The site is in a sensitive location within the Jericho Conservation Area and adjacent to the Grade I listed St. Barnabas Church.  The site is allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).",09507a469d95be4189fab5558f4adf2c03c61ac26204b65c60387529544d2788
2019-12-04,local-authority-eng:OXO,12,"Churchill Hospital and Ambulance Resource Centre, Oxford",https://www.oxford.gov.uk/downloads/file/4184/site_012_-_churchill_hospital_site,yes,owned by a public authority,pending decision,,,51.749162,-1.21221,22.74,136,148,2017-10-26,,"In November 2019, the Council's East Area Planning Committee resolved to grant planning permission (19/01039/FUL), subject to the signing of a legal agreement, for the demolition of existing buildings, and the construction of key worker housing (19 cluster units) and associated works (additional/revised information). The site is allocated in the Sites and Housing Plan adopted in February 2013. The allocation also remains in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings). Key worker housing linked to the hospital is identified as a suitable use. General housing and student accommodation are identified as acceptable complementary uses.  Hospital operations would need to be maintained.",09507a469d95be4189fab5558f4adf2c03c61ac26204b65c60387529544d2788
2019-12-04,local-authority-eng:OXO,13,"Land at Court Place Gardens, Oxford, OX4 4EW, (Court Place Gardens)",https://www.oxford.gov.uk/downloads/file/4224/site_013_-_land_at_court_place_gardens,yes,not owned by a public authority,not permissioned,,,51.726604,-1.238364,1.3,26,55,2017-10-25,,"The site is allocated for housing development in the Sites and Housing Plan adopted in February 2013. The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings). The site includes a listed building.  This site is partially greenfield and partially brownfield (as shown on the site location plan). The land area in hectares given on this Register relates to the brownfield part of the site only.  The capacity of this site has been calculated based on development being focused on the existing built footprint.",09507a469d95be4189fab5558f4adf2c03c61ac26204b65c60387529544d2788
2019-12-04,local-authority-eng:OXO,14,"Templars Square, Between Towns Road, Oxford",https://www.oxford.gov.uk/downloads/file/4179/site_014_-_templars_square,yes,mixed ownership,pending decision,,,51.732048,-1.216124,3.65,,,2017-10-26,,"In July 2017, the Council's East Area Planning Committee resolved to grant planning permission (16/03006/FUL), subject to the signing of a legal agreement, for a mixed use development to include 225 dwellings. The site is a Primary District Centre in Oxford's retail hierarchy as set out in the Core Strategy.   The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings), for a mixed use development.",09507a469d95be4189fab5558f4adf2c03c61ac26204b65c60387529544d2788
2019-12-04,local-authority-eng:OXO,16,"Cowley Marsh Depot, Marsh Road, Oxford, OX4 2HH",https://www.oxford.gov.uk/downloads/file/4181/site_016_-_cowley_marsh_depot,,owned by a public authority,not permissioned,,,51.738964,-1.217163,1.71,,,2017-10-26,,"The site is allocated for housing or student accommodation development in the Sites and Housing Plan adopted in February 2013 post NPPF.   The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).",09507a469d95be4189fab5558f4adf2c03c61ac26204b65c60387529544d2788
2019-12-04,local-authority-eng:OXO,17,"Crescent Hall, Crescent Road, Oxford, OX4 2NS",https://www.oxford.gov.uk/downloads/file/4180/site_017_-_crescent_hall,,not owned by a public authority,not permissioned,,,51.737386,-1.209181,0.96,30,58,2017-10-26,,"The site is allocated for housing or student accommodation development in the Sites and Housing Plan adopted in February 2013 post NPPF.  The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).",09507a469d95be4189fab5558f4adf2c03c61ac26204b65c60387529544d2788
2019-12-04,local-authority-eng:OXO,18,"Ewert House, Ewert Place, Oxford, OX2 7DD, (Diamond Place and Ewert House)",https://www.oxford.gov.uk/downloads/file/4188/site_018_-_diamond_place,,mixed ownership,not permissioned,,,51.776795,-1.262524,1.73,,,2017-10-26,,"The site is allocated for a retail-led mixed use development (which could include housing or student accommodation) in the Sites and Housing Plan adopted in February 2013.   The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).  The City Council has adopted the Diamond Place SPD to guide development on this site.",09507a469d95be4189fab5558f4adf2c03c61ac26204b65c60387529544d2788
2019-12-04,local-authority-eng:OXO,20,"15-17 Elsfield Way, Oxford, OX2 8EP, (Elsfield Hall)",https://www.oxford.gov.uk/downloads/file/4182/site_020_-_elsfield_hall,yes,owned by a public authority,permissioned,full planning permission,,51.788183,-1.266521,0.76,,,2017-10-26,,"Application 18/03384/FUL approved in June 2019 for the demolition and relocation of the existing Cadet Hut (D2 Use Class) and the redevelopment of the Site to include erection of a 3 storey apartment block providing 26no. residential flats (C3 Use Class) comprising 9no. 1-bed and 17no. 2-bed apartments with associated access, parking and landscape arrangements.",09507a469d95be4189fab5558f4adf2c03c61ac26204b65c60387529544d2788
2019-12-04,local-authority-eng:OXO,24,"Government Buildings and Harcourt House, Marston Road, Oxford, OX3 0TY",https://www.oxford.gov.uk/downloads/file/5388/site_024_-_government_buildings_and_harcourt_house,yes,not owned by a public authority,not permissioned,,,51.75475,-1.235067,2.36,,,2017-10-26,,"The site is allocated for housing, student accommodation and/or education in the Sites and Housing Plan adopted in February 2013. The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings). Key worker housing linked to the hospital is identified as a suitable use. General housing and student accommodation are identified as acceptable complementary uses. Hospital operations would need to be maintained.",09507a469d95be4189fab5558f4adf2c03c61ac26204b65c60387529544d2788
2019-12-04,local-authority-eng:OXO,27,"John Radcliffe Hospital, Headley Way, Oxford, OX3 9DU",https://www.oxford.gov.uk/downloads/file/4187/site_027_-_john_radcliffe_hospital,,owned by a public authority,pending decision,,,51.763878,-1.219787,27.75,,,2017-10-26,,"In November 2019, the Council's East Area Planning Committee resolved to grant planning permission (19/01038/FUL), subject to the signing of a legal agreement, for the demolition of existing buildings and the phased construction of key worker housing comprising 56 cluster units, 21 x 1 bed studio apartments, 48 flats (17x1 bed, 31 x 2 beds), management office and associated works including parking and landscaping (additional/revised information). The site is allocated in the Sites and Housing Plan adopted in February 2013.  Key worker housing linked to the hospital is identified as a suitable use. General housing and student accommodation are identified as acceptable complementary uses. Hospital operations would need to be maintained. The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).",09507a469d95be4189fab5558f4adf2c03c61ac26204b65c60387529544d2788
2019-12-04,local-authority-eng:OXO,28,"Kassam Stadium Sites, Grenoble Road, Oxford",https://www.oxford.gov.uk/downloads/file/5389/site_028_-_kassam_stadium_sites,yes,,not permissioned,,,51.715595,-1.207156,9,,,2017-10-26,,"The site is part of a site allocated for residential-led development in the Sites and Housing Plan adopted in February 2013. The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).",09507a469d95be4189fab5558f4adf2c03c61ac26204b65c60387529544d2788
