entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-12-01,http://opendatacommunities.org/id/district-council/oadby-and-wigston,OWBCBFL/001,300785,461975,0.26,,,2017-04-06,,0e2a0a761b176d0928e2f6dde8bc61748da4e4169f9c6a6084e85c9f0489cb54
2017-12-01,http://opendatacommunities.org/id/district-council/oadby-and-wigston,OWBCBFL/002,298998,459873,0.09,,,2017-04-06,,0e2a0a761b176d0928e2f6dde8bc61748da4e4169f9c6a6084e85c9f0489cb54
2017-12-01,http://opendatacommunities.org/id/district-council/oadby-and-wigston,OWBCBFL/003,298613,459141,0.13,,,2017-04-06,,0e2a0a761b176d0928e2f6dde8bc61748da4e4169f9c6a6084e85c9f0489cb54
2018-10-24,http://opendatacommunities.org/id/district-council/oadby-and-wigston,OWBCBFL/005,298237,458946,0.0021,,,2017-04-06,,0e2a0a761b176d0928e2f6dde8bc61748da4e4169f9c6a6084e85c9f0489cb54
2017-12-01,http://opendatacommunities.org/id/district-council/oadby-and-wigston,OWBCBFL/006,298771,460459,0.09,,,2017-04-06,,0e2a0a761b176d0928e2f6dde8bc61748da4e4169f9c6a6084e85c9f0489cb54
2017-12-01,http://opendatacommunities.org/id/district-council/oadby-and-wigston,OWBCBFL/007,300092,460362,0.06,,,2017-04-06,,0e2a0a761b176d0928e2f6dde8bc61748da4e4169f9c6a6084e85c9f0489cb54
2017-12-01,http://opendatacommunities.org/id/district-council/oadby-and-wigston,OWBCBFL/008,298793,460545,0.24,,,2017-04-06,,0e2a0a761b176d0928e2f6dde8bc61748da4e4169f9c6a6084e85c9f0489cb54
2017-12-01,http://opendatacommunities.org/id/district-council/oadby-and-wigston,OWBCBFL/009,298539,459042,1.11,,,2017-04-06,,0e2a0a761b176d0928e2f6dde8bc61748da4e4169f9c6a6084e85c9f0489cb54
2017-12-01,http://opendatacommunities.org/id/district-council/oadby-and-wigston,OWBCBFL/011,300642,462174,0.0,,,2017-04-06,,0e2a0a761b176d0928e2f6dde8bc61748da4e4169f9c6a6084e85c9f0489cb54
2017-12-01,http://opendatacommunities.org/id/district-council/oadby-and-wigston,OWBCBFL/014,298121,458904,0.04,,,2017-04-06,,0e2a0a761b176d0928e2f6dde8bc61748da4e4169f9c6a6084e85c9f0489cb54
2017-12-01,http://opendatacommunities.org/id/district-council/oadby-and-wigston,OWBCBFL/015,299452,459842,0.2,,,2017-04-06,,0e2a0a761b176d0928e2f6dde8bc61748da4e4169f9c6a6084e85c9f0489cb54
2018-10-24,http://opendatacommunities.org/id/district-council/oadby-and-wigston,OWBCBFL/016,300578,462173,0.02,,,2018-10-24,,0e2a0a761b176d0928e2f6dde8bc61748da4e4169f9c6a6084e85c9f0489cb54
2018-10-24,http://opendatacommunities.org/id/district-council/oadby-and-wigston,OWBCBFL/017,297879,458788,0.07,,,2018-10-24,,0e2a0a761b176d0928e2f6dde8bc61748da4e4169f9c6a6084e85c9f0489cb54
2018-10-24,http://opendatacommunities.org/id/district-council/oadby-and-wigston,OWBCBFL/018,297893,458778,0.055,,,2018-10-24,,0e2a0a761b176d0928e2f6dde8bc61748da4e4169f9c6a6084e85c9f0489cb54
2018-10-24,http://opendatacommunities.org/id/district-council/oadby-and-wigston,OWBCBFL/019,297965,458730,0.15,,,2018-10-24,,0e2a0a761b176d0928e2f6dde8bc61748da4e4169f9c6a6084e85c9f0489cb54
