entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,,Sites with planning permission,,,,,,,,,12e709c847614f924fc6bd9dcb9c162816e5962388776532fc311a9bb2d18c83
2018-11-30,local-authority-eng:BDF,99/01645/OUT,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,52.088883,-0.469038,189.72,,,2017-09-30,,12e709c847614f924fc6bd9dcb9c162816e5962388776532fc311a9bb2d18c83
2017-09-30,local-authority-eng:BDF,05/00598/FUL,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,52.131427,-0.466061,0.24,,,2017-09-30,,12e709c847614f924fc6bd9dcb9c162816e5962388776532fc311a9bb2d18c83
2018-11-30,local-authority-eng:BDF,11/02691/MAF,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,52.128993,-0.475962,3.73,,,2017-09-30,,12e709c847614f924fc6bd9dcb9c162816e5962388776532fc311a9bb2d18c83
2018-11-30,local-authority-eng:BDF,12/01253/FUL,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,52.130849,-0.565194,0.35,,,2018-11-30,,12e709c847614f924fc6bd9dcb9c162816e5962388776532fc311a9bb2d18c83
2018-11-30,local-authority-eng:BDF,12/01549/MAF,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,52.136512,-0.471278,0.2,,,2018-11-30,,12e709c847614f924fc6bd9dcb9c162816e5962388776532fc311a9bb2d18c83
2018-11-30,local-authority-eng:BDF,13/00612/MAR,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,52.113627,-0.427371,4.01,,,2017-09-30,,12e709c847614f924fc6bd9dcb9c162816e5962388776532fc311a9bb2d18c83
2018-11-30,local-authority-eng:BDF,13/00829/MAR,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,52.11076,-0.427458,4.55,,,2017-09-30,,12e709c847614f924fc6bd9dcb9c162816e5962388776532fc311a9bb2d18c83
2018-11-30,local-authority-eng:BDF,13/01054/MAR,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,52.110886,-0.425452,5.43,,,2017-09-30,,12e709c847614f924fc6bd9dcb9c162816e5962388776532fc311a9bb2d18c83
2017-09-30,local-authority-eng:BDF,13/01166/MAF,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,52.135822,-0.474282,0.07,,,2017-09-30,,12e709c847614f924fc6bd9dcb9c162816e5962388776532fc311a9bb2d18c83
2018-11-30,local-authority-eng:BDF,13/01217/CPNJ,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,52.137684,-0.463259,0.03,,,2018-11-30,,12e709c847614f924fc6bd9dcb9c162816e5962388776532fc311a9bb2d18c83
2018-11-30,local-authority-eng:BDF,13/02417/MAF,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,50.022599,-6.882196,1.84,,,2017-09-30,,12e709c847614f924fc6bd9dcb9c162816e5962388776532fc311a9bb2d18c83
2017-09-30,local-authority-eng:BDF,14/00700/MAO,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,52.093126,-0.465565,0.91,,,2017-09-30,,12e709c847614f924fc6bd9dcb9c162816e5962388776532fc311a9bb2d18c83
2017-09-30,local-authority-eng:BDF,14/02613/FUL,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,52.11816,-0.494311,0.03,,,2017-09-30,,12e709c847614f924fc6bd9dcb9c162816e5962388776532fc311a9bb2d18c83
2017-09-30,local-authority-eng:BDF,14/02684/MAF,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,50.022659,-6.881853,0.09,,,2017-09-30,,12e709c847614f924fc6bd9dcb9c162816e5962388776532fc311a9bb2d18c83
