entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-11-15,http://opendatacommunities.org/id/district-council/charnwood,PSH3,-1.178175,52.678164,1.7,36,36,2017-11-15,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-15,http://opendatacommunities.org/id/district-council/charnwood,SH10,-1.187489,52.672016,0.13,12,12,2017-11-15,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-15,http://opendatacommunities.org/id/district-council/charnwood,SH108,-1.192513,52.661837,2.8,40,40,2017-11-15,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-15,http://opendatacommunities.org/id/district-council/charnwood,SH17,-1.191331,52.675404,0.07,8,8,2017-11-15,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,SH4,-1.186049,52.67473,0.28,8,8,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,SH9,-1.193288,52.672757,0.3,9,9,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,PSH281,-1.134956,52.741757,2.5,35,35,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,PSH374,-1.147415,52.750801,0.2,5,5,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,SH18,-1.142992,52.747407,0.67,10,10,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,PSH182,-1.122577,52.782876,3.1,60,60,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,PSH373,-1.130466,52.786503,0.3,6,6,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,SH33,-1.253735,52.79225,0.21,6,6,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,PSH119,-1.212972,52.769836,0.49,12,12,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,PSH171,-1.202874,52.775747,0.27,8,8,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,PSH202,-1.22405,52.774521,2.29,39,39,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,PSH245,-1.208681,52.771902,0.22,10,10,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,PSH304,-1.191681,52.770188,0.53,30,30,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,PSH311,-1.206511,52.770593,0.02,10,10,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,PSH32,-1.194793,52.767799,1.25,35,35,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,PSH361,-1.203437,52.75706,0.43,20,20,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,PSH362,-1.210242,52.767552,0.57,49,49,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,PSH363,-1.207808,52.776697,0.07,10,10,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,PSH364,-1.222443,52.753186,0.76,30,30,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-16,http://opendatacommunities.org/id/district-council/charnwood,PSH366,-1.215035,52.771324,0.03,5,5,2017-11-16,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-17,http://opendatacommunities.org/id/district-council/charnwood,PSH367,-1.215523,52.776389,0.14,9,9,2017-11-17,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-17,http://opendatacommunities.org/id/district-council/charnwood,PSH368,-1.203837,52.772517,0.04,9,9,2017-11-17,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-17,http://opendatacommunities.org/id/district-council/charnwood,PSH380,-1.201268,52.774406,0.07,40,40,2017-11-17,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-17,http://opendatacommunities.org/id/district-council/charnwood,PSH382,-1.204331,52.773078,0.19,30,30,2017-11-17,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-17,http://opendatacommunities.org/id/district-council/charnwood,PSH385,-1.19637,52.768295,0.09,9,9,2017-11-17,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-17,http://opendatacommunities.org/id/district-council/charnwood,PSH386,-1.238853,52.768881,0.24,17,17,2017-11-17,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-17,http://opendatacommunities.org/id/district-council/charnwood,SH102,-1.206192,52.768568,0.13,5,20,2017-11-17,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-17,http://opendatacommunities.org/id/district-council/charnwood,SH34,-1.229059,52.776306,0.35,34,34,2017-11-17,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-17,http://opendatacommunities.org/id/district-council/charnwood,SH49,-1.218063,52.776109,1.64,35,35,2017-11-17,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-17,http://opendatacommunities.org/id/district-council/charnwood,SH51,-1.208397,52.769563,1.3,32,32,2017-11-17,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-17,http://opendatacommunities.org/id/district-council/charnwood,SH56,-1.202012,52.771831,0.13,10,10,2017-11-17,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-21,http://opendatacommunities.org/id/district-council/charnwood,SH60,-1.201876,52.773574,0.08,10,10,2017-11-21,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-21,http://opendatacommunities.org/id/district-council/charnwood,SH64,-1.197904,52.76871,1.42,101,101,2017-11-21,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-21,http://opendatacommunities.org/id/district-council/charnwood,SH65,-1.191053,52.768907,4.8,62,62,2017-11-21,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-21,http://opendatacommunities.org/id/district-council/charnwood,SH67,-1.213484,52.769408,0.57,14,14,2017-11-21,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-21,http://opendatacommunities.org/id/district-council/charnwood,SH75,-1.204089,52.7701,0.06,12,12,2017-11-21,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-21,http://opendatacommunities.org/id/district-council/charnwood,SH76,-1.213512,52.77776,0.34,10,10,2017-11-21,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
2017-11-22,http://opendatacommunities.org/id/district-council/charnwood,SH77,-1.193724,52.767136,3.03,57,57,2017-11-22,,1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f
