entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-12-10,http://opendatacommunities.org/id/district-council/chiltern,CD0008,-0.62,51.71,0.1,3,5,2017-12-08,,1e6a760b7915b699482ed21438dbc1564b660b81afd8d6b06f9e50494d6f3cee
2018-12-10,http://opendatacommunities.org/id/district-council/chiltern,CD0031,-0.71,51.71,0.17,5,10,2017-12-08,,1e6a760b7915b699482ed21438dbc1564b660b81afd8d6b06f9e50494d6f3cee
2018-12-10,http://opendatacommunities.org/id/district-council/chiltern,CD0109,-0.59,51.72,0.52,12,13,2017-12-08,,1e6a760b7915b699482ed21438dbc1564b660b81afd8d6b06f9e50494d6f3cee
2018-12-10,http://opendatacommunities.org/id/district-council/chiltern,CD0128,-0.55,51.61,0.24,7,8,2017-12-08,,1e6a760b7915b699482ed21438dbc1564b660b81afd8d6b06f9e50494d6f3cee
2018-12-10,http://opendatacommunities.org/id/district-council/chiltern,CD0129,-0.55,51.62,2.94,15,25,2017-12-08,,1e6a760b7915b699482ed21438dbc1564b660b81afd8d6b06f9e50494d6f3cee
2018-12-10,http://opendatacommunities.org/id/district-council/chiltern,CD0130,-0.55,51.63,4.61,12,15,2017-12-08,,1e6a760b7915b699482ed21438dbc1564b660b81afd8d6b06f9e50494d6f3cee
2018-12-10,http://opendatacommunities.org/id/district-council/chiltern,CD0131,-0.56,51.6,0.23,13,13,2017-12-08,,1e6a760b7915b699482ed21438dbc1564b660b81afd8d6b06f9e50494d6f3cee
2018-12-10,http://opendatacommunities.org/id/district-council/chiltern,CD0145,-0.61,51.7,1.81,55,55,2017-12-08,,1e6a760b7915b699482ed21438dbc1564b660b81afd8d6b06f9e50494d6f3cee
2018-12-10,http://opendatacommunities.org/id/district-council/chiltern,CD0152,-0.56,51.67,0.62,25,31,2017-12-08,,1e6a760b7915b699482ed21438dbc1564b660b81afd8d6b06f9e50494d6f3cee
2018-12-10,http://opendatacommunities.org/id/district-council/chiltern,CD0153,-0.57,51.67,0.26,7,7,2017-12-08,,1e6a760b7915b699482ed21438dbc1564b660b81afd8d6b06f9e50494d6f3cee
2018-12-10,http://opendatacommunities.org/id/district-council/chiltern,CD0156,-0.58,51.67,0.41,6,10,2017-12-08,,1e6a760b7915b699482ed21438dbc1564b660b81afd8d6b06f9e50494d6f3cee
