entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-12-14,local-authority-eng:ROS,ROSBS001,53.653100,-2.177810,1.53,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS003,53.671200,-2.305960,0.22,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS007,53.704400,-2.196130,0.42,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS009,53.692300,-2.231970,0.15,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS010,53.703100,-2.199430,0.05,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS011,53.691400,-2.224310,0.04,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS012,53.706200,-2.324630,0.06,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS013,53.739900,-2.286120,0.44,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS017,53.690626,-2.236242,0.84,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS018,53.703600,-2.199350,0.2,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS019,53.702400,-2.322780,0.13,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS020,53.691900,-2.182830,0.07,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS022,53.706200,-2.328400,0.04,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS024,53.690263,-2.250402,0.22,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS028,53.690900,-2.240700,0.18,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS029,53.699700,-2.278830,1.24,29,64,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS030,53.692800,-2.250740,0.06,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS031,53.703100,-2.250170,0.07,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS032,53.688400,-2.230730,1.23,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS034,53.700300,-2.291520,0.03,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS035,53.702100,-2.201920,0.16,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS037,53.717600,-2.289900,3.24,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS038,53.705600,-2.203010,0.17,,,2017-12-15,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS039,53.691275,-2.229145,0.09,,,2018-12-14,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS040,53.700799,-2.318415,0.16,,,2018-12-14,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS041,53.701429,-2.283841,0.88,,,2018-12-14,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS042,53.692644,-2.249848,0.16,,,2018-12-14,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS043,53.722740,-2.196664,0.18,,,2018-12-14,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
2018-12-14,local-authority-eng:ROS,ROSBS044,53.693547,-2.216789,0.13,,,2018-12-14,,23c91c585f87ed0f8e78122e234a8922cf75cd4323ec51ed6764034b37ee936f
