entry-date,organisation,site,site-address,site-plan-url,deliverable,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,,,,,,,,,,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR1,"Gas Holder Site, Homesdale Road, Bromley, BR1 2UE",,yes,,51.400753,0.032183,1,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR2,"Land adjacent to Bickley Station, BR1 2EB",,yes,,51.39968,0.042703,0.9,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR3,Opportunity Site B Corner of Tweedy Road/London Road,,yes,,51.408852,0.012023,0.37,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR4,"Opportunity Site C, Old Town Hall, 30 Tweedy Road, BR1 3FE",,yes,,51.406628,0.017921,0.7,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR5,"Opportunity Site P, Sainsbury's West Street, Bromley BR1 1TP",,,,51.407153,0.013545,1.25,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR6,"Bromley Civic Centre, Stockwell Close, BR1 3UH",,,,51.403676,0.021199,5.75,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR7,"West of Bromley High Street and Land at Bromley South, BR1/BR2",,,,51.401324,0.015747,4.54,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR8,"Land adjacent to Bromley North Station, Tweedy Road, Bromley, BR1",,yes,,51.409272,0.017434,3,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR9,"The Hill Car Park & Adjacent Lands, BR2 0DA",,,,51.406427,0.011342,1.25,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR10,"Banbury House, Bushell Way, Chislehurst, BR7 6SF",,yes,,51.423064,0.059481,0.27,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR11,"Bromley Valley Gym and Adjacent Lands, Chipperfield Road, St Paul?s Cray, BR5 2QR",,,,51.405466,0.10348,2.8,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR12,"Small Halls York Rise, Orpington, BR6 8AD",,yes,,51.373486,0.086482,0.46,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR13,"18-44 Homefield Rise Orpington, BR6 ORU",,yes,,51.374757,0.101426,0.75,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,,,,,,,,,,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR14,"6 Woodlands Road, BR1 2AF, Bickley",,yes,,51.403678,0.045972,0.89,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR17,"42 Orchard Road, BR1 2PS",,yes,,51.409576,0.034171,0.17,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR19,"Site of Former 41 Sunningvale Avenue, Sunningvale Close, TN16 3BX",,yes,,51.317299,0.03006,0.3,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR23,"7 Sandford Road, BR2 9AL",,yes,,51.397703,0.017155,,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR25,"9 London Road, BR1 1BY",,yes,,51.408017,0.010922,0.05,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR26,"Upfield Hillbrow Road, BR1 4JL",,yes,,51.417175,0.000207,0.1,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR29,"Hasells Nursery, Jackson Road, BR2 8NS",,yes,,51.374888,0.049876,0.7,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,,BLR30,"Ontario Centre, Helegan Close, BR6 9XJ",,yes,,51.364782,0.094964,0.18,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR31,"63-65 Chislehurst Road, BR7 5NP",,yes,,51.40774,0.055888,0.035,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR33,"3 Beckenham Road, BR3 4ES",,yes,,51.407029,-0.03266,0.1,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR37,"Beechers Court, High Street, BR3 1AQ",,yes,,51.406795,-0.027781,0.03,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR39,"28 Park Hill Road, BR2 0LF",,yes,,51.405024,-0.000754,0.26,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR40,"Beck House 36a, Copers Cope Road, BR3 1NH",,yes,,51.413403,-0.031437,0.25,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR41,"Conifer House, Southend Road, BR3 1SL",,yes,,51.417884,-0.023018,0.15,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR43,"122 Anerley Road, SE20 8DL",,yes,,51.415222,-0.071641,0.036,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR44,"69-71 Church Road, SE19 2TA",,yes,,51.417795,-0.080407,0.09,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR46,"Crystal Palace Park Crystal Palace Park Road, Thicket Road, Crystal Palace Parade, Anerley Hill, SE20 8DT",,yes,,51.420916,-0.06736,1.973,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR47,"Warren Farm, Berrys Green Road, TN16 3AJ",,yes,,51.311077,0.061381,0.74,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR48,"39 Oregon Square, BR6 8NH",,yes,,51.374416,0.07819,0.267,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR49,"Lubbock House, 1 Northolme Rise, BR6 9RF",,yes,,51.370122,0.084993,0.137,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR51,"Eden Parade, Eden Road, BR3 4AU",,yes,,51.398239,-0.045328,0.051,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR52,"Jacanda Lodge, North Drive, BR3 3XQ",,yes,,51.398418,-0.017906,0.088,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR53,"First Floor 155-159 High Street Orpington, BR6 0LN",,yes,,51.377391,0.100943,0.1,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR55,"First Floor, 50-52 The Walnuts, BR6 0TW",,yes,,51.376841,0.100529,0.041,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR59,"2 Crampton Road, SE20 7AT",,yes,,51.418079,-0.058908,0.073,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR60,"44 Westmoreland Road, Bromley, BR2 0QS",,yes,,0.012417,,0.051,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR61,"136 Main Road, Biggin Hill, TN16 3BA",,yes,,51.310677,0.035295,0.1,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR62,"173-175 High Street, Orpington, BR6 0LW",,yes,,51.377043,0.100462,0.014,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR63,"36 Great Elms Road, Bromley, BR2 9NF",,yes,,51.396089,0.028754,0.038,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR64,"56a Foxgrove Road, Beckenham, BR3 5DB",,yes,,51.411984,-0.011001,0.26,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR65,"Alan Hills Motors, Alma Place, Anerley, London",,yes,,51.417353,-0.080479,0.17,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR66,"286-290 High Street, Orpington, BR6 0LU",,yes,,51.374971,0.098524,0.1,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR67,"Heatherwood, 33 Station Road, Orpington",,yes,,51.372091,0.09364,0.06,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR68,"Warren Farm, Berrys Green Road, Westerham",,yes,,51.310981,0.061251,0.74,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR69,"115 High Street, Beckenham, BR3 1AG",,yes,,51.406987,-0.027787,0.065,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR70,"19 Anerley Road, Penge, London, SE19 2AS",,yes,,51.417067,-0.07313,0.022,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR71,"112 Beckenham Road, Beckenham, BR3 4RH",,yes,,51.40964,-0.042691,0.03,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR72,"Hollywood House, 1 Station Road, Penge, London",,yes,,51.419417,-0.055548,0.023,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR73,"16 St John's Road, Penge, London, SE20 7ED",,yes,,51.41813,-0.054176,0.047,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR74,"Land At Junction With South Eden Park Road And, Bucknall Way, Beckenham",,yes,,51.397669,-0.018818,1.62,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR75,"Land At Junction With South Eden Park Road And, Bucknall Way, Beckenham",https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O82VDCBTG4M00,yes,,51.397669,-0.018818,1.62,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR76,"100 High Street, Orpington, BR6 0JY",,yes,,51.379493,0.102473,0.06,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR77,"8 Page Heath Lane, Bickley, Bromley, BR1 2DS",,yes,,51.400742,0.037514,0.044,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR78,"255 Elmers End Road, Beckenham, BR3 4EJ",,yes,,51.399923,-0.050729,0.06,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR79,"Barn Hawe, Church Hill, Orpington, BR6 0HE",,yes,,51.378837,0.102788,0.1,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR80,"46 Crystal Palace Park Road, Sydenham, London, SE26 6UG",,yes,,51.422365,-0.062197,0.068,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR81,"156-158 Main Road, Biggin Hill, TN16 3BA",,yes,,51.309954,0.036271,0.08,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR82,"Maybrey Business Park, Worsley Bridge Road, London, SE26 5AZ",,yes,,51.423602,-0.031674,0.6,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR83,"15 Bromley Common, Bromley, BR2 9LS",,yes,,51.395044,0.027099,0.059,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR84,"129 High Street, Penge, London, SE20 7DS",,yes,,51.415151,-0.052497,0.018,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR85,"County House, 241 Beckenham Road, Beckenham, BR3 4FD",,yes,,51.40947,-0.044742,0.218,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR86,"67 Bromley Road, Beckenham, BR3 5PA",,yes,,51.406957,-0.010564,0.133,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR87,"Land Adjacent To Bromley College, London Road, Bromley",,yes,,51.408852,0.011889,0.3,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,local-authority-eng:BRY,BLR88,"Tahoma Lodge, 70 Lubbock Road, Chislehurst, BR7 5JX",,yes,,51.408983,0.05874,0.18,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,,,,,,,,,,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
,,,,,,,,,,,,,,291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13
