entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-12-28,local-authority-eng:ROC,ROC001,51.584776,0.618761,0.31,9,12,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC002,51.604249,0.660635,0.6,18,24,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC003,51.582374,0.713837,1.05,74,74,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC004,51.581537,0.606209,0.31,9,12,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC005,51.603666,0.657750,4.6,150,150,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC006,51.580626,0.722007,1.84,41,50,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC007,51.600406,0.591548,6.2,93,140,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC008,51.590696,0.602449,0.1,14,14,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC009,51.601357,0.652753,0.1,10,10,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC010,51.584317,0.603169,0.06,9,9,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC011,51.550800,0.788857,5.8,116,116,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC012,51.584942,0.601777,0.03,5,5,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC013,51.593926,0.633802,3.6,60,60,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC014,51.582740,0.710171,0.09,8,8,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC015,51.582516,0.707415,0.04,5,5,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC016,51.563621,0.786274,0.05,6,6,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC017,51.597891,0.587642,3.03,83,91,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC018,51.582544,0.704221,0.21,6,13,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC019,51.584283,0.601755,0.17,5,10,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC020,51.595780,0.585814,0.2,6,12,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC021,51.582152,0.706524,0.01,11,11,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
2017-12-28,local-authority-eng:ROC,ROC022,51.585597,0.603975,0.22,7,9,2017-12-28,,29b4e4ba8afe7e4aab081e0510084d9196fe1085485623782ce0d34a5ba9d294
