entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-12-19,http://opendatacommunities.org/id/unitary-authority/bristol,01/01606/P,-2.579729,51.452634,7.36,,,2017-12-19,,2fa5522f4297bd6cc55a2d0c9cb75e8d327c9a1c79a0a4c5f248044a5f37db45
2018-12-19,http://opendatacommunities.org/id/unitary-authority/bristol,01/02588/F,-2.611550,51.432542,0.06,,,2018-12-19,,2fa5522f4297bd6cc55a2d0c9cb75e8d327c9a1c79a0a4c5f248044a5f37db45
2018-12-19,http://opendatacommunities.org/id/unitary-authority/bristol,04/02177/F,-2.588635,51.453980,2.28,,,2017-12-19,,2fa5522f4297bd6cc55a2d0c9cb75e8d327c9a1c79a0a4c5f248044a5f37db45
2018-12-19,http://opendatacommunities.org/id/unitary-authority/bristol,04/03995/P,-2.551278,51.459864,0.04,,,2018-12-19,,2fa5522f4297bd6cc55a2d0c9cb75e8d327c9a1c79a0a4c5f248044a5f37db45
2018-12-19,http://opendatacommunities.org/id/unitary-authority/bristol,04/04126/P,-2.598709,51.447254,4.19,,,2017-12-19,,2fa5522f4297bd6cc55a2d0c9cb75e8d327c9a1c79a0a4c5f248044a5f37db45
2018-12-19,http://opendatacommunities.org/id/unitary-authority/bristol,04/05284/F,-2.577935,51.441142,0.10,,,2018-12-19,,2fa5522f4297bd6cc55a2d0c9cb75e8d327c9a1c79a0a4c5f248044a5f37db45
2017-12-19,http://opendatacommunities.org/id/unitary-authority/bristol,05/04521/F,-2.560573,51.471848,0.10,,,2017-12-19,,2fa5522f4297bd6cc55a2d0c9cb75e8d327c9a1c79a0a4c5f248044a5f37db45
2018-12-19,http://opendatacommunities.org/id/unitary-authority/bristol,06/05456/F,-2.606018,51.440657,0.07,,,2018-12-19,,2fa5522f4297bd6cc55a2d0c9cb75e8d327c9a1c79a0a4c5f248044a5f37db45
2018-12-19,http://opendatacommunities.org/id/unitary-authority/bristol,07/00557/P,-2.700803,51.499502,0.31,,,2018-12-19,,2fa5522f4297bd6cc55a2d0c9cb75e8d327c9a1c79a0a4c5f248044a5f37db45
2018-12-19,http://opendatacommunities.org/id/unitary-authority/bristol,07/02235/F,-2.694501,51.499439,0.20,,,2018-12-19,,2fa5522f4297bd6cc55a2d0c9cb75e8d327c9a1c79a0a4c5f248044a5f37db45
2018-12-19,http://opendatacommunities.org/id/unitary-authority/bristol,07/02500/F,-2.609024,51.462193,0.07,,,2018-12-19,,2fa5522f4297bd6cc55a2d0c9cb75e8d327c9a1c79a0a4c5f248044a5f37db45
2018-12-19,http://opendatacommunities.org/id/unitary-authority/bristol,07/03427/F,-2.622363,51.441121,0.07,,,2018-12-19,,2fa5522f4297bd6cc55a2d0c9cb75e8d327c9a1c79a0a4c5f248044a5f37db45
2018-12-19,http://opendatacommunities.org/id/unitary-authority/bristol,07/04030/F,-2.602685,51.415260,4.66,,,2018-12-19,,2fa5522f4297bd6cc55a2d0c9cb75e8d327c9a1c79a0a4c5f248044a5f37db45
2018-12-19,http://opendatacommunities.org/id/unitary-authority/bristol,07/04966/F,-2.522296,51.462221,0.07,,,2018-12-19,,2fa5522f4297bd6cc55a2d0c9cb75e8d327c9a1c79a0a4c5f248044a5f37db45
2018-12-19,http://opendatacommunities.org/id/unitary-authority/bristol,08/00603/F,-2.583601,51.460551,0.03,,,2018-12-19,,2fa5522f4297bd6cc55a2d0c9cb75e8d327c9a1c79a0a4c5f248044a5f37db45
