entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2019-01-24,local-authority-eng:MDW,3,51.390115,0.560511,0.160847435277016,8,8,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,663,51.387726,0.549240,0.135217360000023,12,12,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,707,51.374087,0.552118,0.276901220913759,13,13,2016-06-30,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,810,51.395390,0.550450,0.593016847339959,20,51,2016-06-30,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,816,51.382161,0.549496,0.132591522814263,5,5,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,853,51.374112,0.551262,0.213429773785204,7,7,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1048,51.373142,0.546113,0.132602608324607,6,6,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1052,51.373656,0.546740,0.413932717575286,13,13,2016-06-30,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1056,51.382620,0.518122,0.284445712929751,9,70,2016-06-30,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1100,51.391120,0.469469,0.33765853477873303,21,24,2016-06-30,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1106,51.378558,0.507557,0.313904937694177,11,11,2016-06-30,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1133,51.381711,0.527737,0.07639349983972381,8,8,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1135,51.392883,0.464981,0.203592260967495,10,10,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1136,51.373037,0.590170,0.432121950931755,20,20,2016-06-30,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1160,51.358930,0.444971,0.39034397473681504,5,5,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1180,51.378437,0.540834,4.058636928360039,130,130,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1181,51.372642,0.555075,0.311863046519853,64,64,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1182,51.365494,0.602589,0.126842430294042,25,25,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1183,51.388582,0.544289,0.444571155686275,24,48,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1188,51.396133,0.553521,0.9292908056387259,140,140,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1194,51.373676,0.527839,0.294003008987066,24,24,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1195,51.389573,0.544422,0.063507365919821,9,9,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1198,51.335134,0.545762,0.174815180109004,7,8,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1201,51.379141,0.531557,0.07583364086324221,15,15,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1202,51.384544,0.511125,0.125213528266311,21,21,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1204,51.393884,0.497768,0.0708789864448574,10,10,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
2019-01-24,local-authority-eng:MDW,1206,51.380022,0.529327,0.0745324496069605,21,21,2019-01-24,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
,local-authority-eng:MDW,1207,51.377903,0.547402,0.0343001337599907,5,5,,,310547d0c3419a4758958c57f2afc1cdc3724e0deb3d2447837a1b04d8882d08
