entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2020-03-24,local-authority-eng:NEW,BLR_Brans_001,"Merryfield Park, Derritt Lane, Bransgore",http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,yes,not owned by a public authority,permissioned,full planning permission,,50.782055,-1.747586,0.88,20,20,2017-12-31,2018-03-31,"4, one-bedroom houses, 6 two-bedroom houses, 4 three-bedroom houses, 8 four-bedroom houses. Demolition of existing 2 two bedroom dwellings",325bfbb3c1555b5aab52040f7491dca408ae32da52ea0fb8d0e88df4ead0a43a
2020-03-24,local-authority-eng:NEW,BLR_Fawl_001,"Methodist Church Land Of Long Lane, Fawley",http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,yes,not owned by a public authority,permissioned,full planning permission,,50.839653,-1.389601,0.17,5,5,2017-12-31,2019-03-31,"1 two-bedroom bungalow, 4 three-bedroom houses",325bfbb3c1555b5aab52040f7491dca408ae32da52ea0fb8d0e88df4ead0a43a
2020-03-24,local-authority-eng:NEW,BLR_Fawl_002,"Site of the Former Fawley Power Station, Fawley",http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,,not owned by a public authority,not permissioned,,,50.819675,-1.329304,49,1380,1380,2017-12-31,,"Proposed Strategic Site Allocation (SS.4) in the Local Plan Review 2016-2036 Part 1: Planning Strategy. Site allocated for around 1380 dwellings, up to around 10,000 square metres of ancillary community, retail, leisure and service uses, and around 10 hectares of employment land. Outline planning application 19/10581 currently being determined",325bfbb3c1555b5aab52040f7491dca408ae32da52ea0fb8d0e88df4ead0a43a
2020-03-24,local-authority-eng:NEW,BLR_Fording_001,"Unit B Fordingbridge Business Park Ashford Road, Fordingbridge",http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,yes,not owned by a public authority,permissioned,other,,50.928607,-1.806759,0.15,5,5,2017-12-31,2019-03-31,5 one-bedroom flats,325bfbb3c1555b5aab52040f7491dca408ae32da52ea0fb8d0e88df4ead0a43a
2020-03-24,local-authority-eng:NEW,BLR_Fording_002,"Ashford Works, Fordingbridge",http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,,not owned by a public authority,not permissioned,,,50.927304,-1.806299,0.35,10,10,2017-12-31,,"Small 0.35ha employment site tightly surrounded by residential on all sides. Site in very poor condition, buildings in very poor condition and would appear unlikely to attract future commercial occupiers. Some units appear vacant. Not a particularly suitable location for the light industrial uses currently present. Could accommodate around 10 dwellings",325bfbb3c1555b5aab52040f7491dca408ae32da52ea0fb8d0e88df4ead0a43a
2020-03-24,local-authority-eng:NEW,BLR_Fording_003,"Fordingbridge Club, Roundhill, Fordingbridge",http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,yes,not owned by a public authority,permissioned,full planning permission,,50.927596,-1.790917,0.1,8,8,2017-12-31,,"Permission reference: 17/10426. 7 two-bedroom houses, 1 two-bedroom flat, and Retail unit",325bfbb3c1555b5aab52040f7491dca408ae32da52ea0fb8d0e88df4ead0a43a
2020-03-24,local-authority-eng:NEW,BLR_Hythe_001,"2 South Street, Hythe",http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,yes,not owned by a public authority,permissioned,full planning permission,,50.868033,-1.397012,0.27,41,41,2017-12-31,,"Permission reference: 17/11646. Retirement housing scheme - 27 one-bedroom flats, 16 two-bedroom flats, loss of two existing flats",325bfbb3c1555b5aab52040f7491dca408ae32da52ea0fb8d0e88df4ead0a43a
2020-03-24,local-authority-eng:NEW,BLR_Hythe_002,"Hythe & Dibden War Memorial Hospital, Beaulieu Road, Hythe",http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,,owned by a public authority,permissioned,outline planning permission,,50.858539,-1.402987,1.5,21,21,2017-12-31,,"Permission reference: 17/11204. 7 two-bedroom houses, 3 three-bedroom houses, 2 four-bedroom houses, 3 one-bedroom flats, 6 two-bedroom flats, and Community hospital",325bfbb3c1555b5aab52040f7491dca408ae32da52ea0fb8d0e88df4ead0a43a
2020-03-24,local-authority-eng:NEW,BLR_Hythe_003,"Former Police Station Site, Jones Lane, Hythe",http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,,owned by a public authority,not permissioned,,,50.871474,-1.40172,0.4,20,20,2017-12-31,,"Police station building is vacant and not in use. Police services have already relocated from this site to Hardley. 0.4ha site with extensive mature treed frontage, adjacent to Conservation Area. Potential capacity for 20 flats",325bfbb3c1555b5aab52040f7491dca408ae32da52ea0fb8d0e88df4ead0a43a
2020-03-24,local-authority-eng:NEW,BLR_Hythe_004,"1-20 Marsh Parade, Hythe",http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,,not owned by a public authority,permissioned,full planning permission,,50.869841,-1.399894,0.2,7,7,2017-12-31,2018-06-29,7 one/two-bedroom flats,325bfbb3c1555b5aab52040f7491dca408ae32da52ea0fb8d0e88df4ead0a43a
