entry-date,organisation,site,latitude,longitude,hectares,start-date,end-date,resource
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL02,453870.513,407070.354,4.36,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL03,448570.121,400596.835,0.616,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL04,472265.051,364817.015,0.73,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL05,462655.707,372290.07,0.37,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL06,446920.209,399337.42,2.16,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL07,449566.181,392714.182,0.46,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL08,454503.114,393523.933,0.5,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL09,454263.713,392935.844,0.42,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL10,454543.69,393418.563,1.12,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL11,454348.763,393842.898,8.21,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL12,453929.025,392292.78,0.74,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL13,469906.131,366934.432,0.67,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL14,469571.295,366872.431,0.84,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL15,469312.54,366936.22,0.962,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL16,469362.973,367097.957,0.42,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL17,468957.163,366636.664,0.44,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL18,468769.456,366485.871,0.26,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL19,469235.203,366256.589,0.4,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL20,469160.896,366867.959,1.179,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL21,467091.563,367828.292,0.51,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL22,469456.215,365910.546,0.501,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL23,456482.297,385539.518,0.23,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL24,472888.499,369652.555,1.273,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL25,472018.179,369754.394,0.77,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL26,472290.232,369507.429,0.46,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL27,469306.427,364443.216,1.45,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL28,445048.851,401235.079,0.26,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL29,444578.996,400039.701,0.62,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL30,444024.599,400440.213,0.34,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL31,444663.689,400073.683,2.61,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL32,444544.069,399061.796,1.29,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL33,463729.581,381003.025,1.12,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL34,463946.368,381481.302,0.52,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL35,463398.768,382046.708,0.412,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL36,463732.06,381847.07,0.24,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL37,463727.843,381552.567,1.09,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL38,451276.128,399341.73,0.868,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL39,451448.811,397737.216,0.27,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL40,451239.707,397696.476,0.591,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL41,451080.691,397659.873,0.482,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL42,451114.993,398866.127,0.492,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL43,451015.71,399019.142,2.351,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
2018-02-02,http://opendatacommunities.org/id/district-council/craven,BRL44,450125.428,399061.691,0.792,2018-01-09,,33a975ffd0c514f6b63d6fdb32b46f4f8b4471a48f13869974d5cac687e04c66
