entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2019-12-11,national-park-authority:Q72617158,BFS1,https://www.newforestnpa.gov.uk/planning/brownfield-sites-register/,50.877638,-1.57827,0.04,5,,2017-12-20,,35a5b9ffa1a48485baa5c6ea9b894f8be59f7fcd0b469aaeb9c205aa0f1de512
2019-12-11,national-park-authority:Q72617158,BFS2,https://www.newforestnpa.gov.uk/planning/brownfield-sites-register/,50.877882,-1.578666,0.02,2,,2017-12-20,,35a5b9ffa1a48485baa5c6ea9b894f8be59f7fcd0b469aaeb9c205aa0f1de512
2019-12-11,national-park-authority:Q72617158,BFS3,https://www.newforestnpa.gov.uk/planning/brownfield-sites-register/,50.81754,-1.57353,0.39,9,,2017-12-20,,35a5b9ffa1a48485baa5c6ea9b894f8be59f7fcd0b469aaeb9c205aa0f1de512
2019-12-11,national-park-authority:Q72617158,BFS4,https://www.newforestnpa.gov.uk/planning/brownfield-sites-register/,50.814319,-1.575547,0.35,10,,2017-12-20,,35a5b9ffa1a48485baa5c6ea9b894f8be59f7fcd0b469aaeb9c205aa0f1de512
2019-12-11,national-park-authority:Q72617158,BFS5,https://www.newforestnpa.gov.uk/planning/brownfield-sites-register/,50.892675,-1.522698,0.05,2,,2017-12-20,,35a5b9ffa1a48485baa5c6ea9b894f8be59f7fcd0b469aaeb9c205aa0f1de512
2019-12-11,national-park-authority:Q72617158,BFS6,https://www.newforestnpa.gov.uk/planning/brownfield-sites-register/,50.875707,-1.579084,0.35,18,,2017-12-20,,35a5b9ffa1a48485baa5c6ea9b894f8be59f7fcd0b469aaeb9c205aa0f1de512
2019-12-11,national-park-authority:Q72617158,BFS7,https://www.newforestnpa.gov.uk/planning/brownfield-sites-register/,50.87204,-1.572011,1.61,50,,2017-12-20,,35a5b9ffa1a48485baa5c6ea9b894f8be59f7fcd0b469aaeb9c205aa0f1de512
2019-12-11,national-park-authority:Q72617158,BFS8,https://www.newforestnpa.gov.uk/planning/brownfield-sites-register/,50.82238,-1.581436,0.15,1,,2017-12-20,,35a5b9ffa1a48485baa5c6ea9b894f8be59f7fcd0b469aaeb9c205aa0f1de512
2019-12-11,national-park-authority:Q72617158,BFS9,https://www.newforestnpa.gov.uk/planning/brownfield-sites-register/,50.818753,-1.578147,0.5,26,,2017-12-20,2019-03-31,35a5b9ffa1a48485baa5c6ea9b894f8be59f7fcd0b469aaeb9c205aa0f1de512
2019-12-11,national-park-authority:Q72617158,BFS10,https://www.newforestnpa.gov.uk/planning/brownfield-sites-register/,50.872708,-1.575217,0.03,6,,2017-12-20,2019-03-31,35a5b9ffa1a48485baa5c6ea9b894f8be59f7fcd0b469aaeb9c205aa0f1de512
