entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-03-21,local-authority-eng:LAC,60,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.12788,-2.769577,0.04,6,6,2017-03-21,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2017-03-21,local-authority-eng:LAC,61,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.123327,-2.769003,13.44,200,250,2017-03-21,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,83,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.120681,-2.766751,0.19,4,6,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,179,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.047946,-2.892667,0.06,14,14,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,202,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.059566,-2.890487,0.06,9,9,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,203,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.059722,-2.881416,0.14,6,6,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,252,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.063315,-2.799414,0.04,1,1,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,260,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.051508,-2.823076,0.37,12,12,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,268,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.051814,-2.794916,0.15,4,4,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,289,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.062594,-2.786153,0.71,10,15,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,331,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.041302,-2.77917,1.68,35,40,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,343/385/833,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.049822,-2.795687,6.49,350,400,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,355,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.038184,-2.790182,0.16,4,6,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,359,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.041655,-2.78165,3.21,72,84,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,369,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.053028,-2.775494,3.66,75,88,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,372,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.039614,-2.78717,1.54,15,20,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2017-03-21,local-authority-eng:LAC,375,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.018546,-2.796784,0.73,28,28,2017-03-21,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,383,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.051379,-2.776227,0.88,10,12,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,408,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.016784,-2.89757,19.83,576,600,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,481,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.072133,-2.868093,0.1,8,12,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2017-03-21,local-authority-eng:LAC,495,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.060567,-2.850221,0.9,9,12,2017-03-21,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,500,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.056581,-2.854692,0.23,5,5,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,522,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.072025,-2.869389,0.34,24,28,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,692,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.064775,-2.886107,0.13,17,17,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,693,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.047569,-2.799371,0.04,30,35,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,698,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.050155,-2.798474,0.11,35,35,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,713,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.076437,-2.755022,1.1,30,35,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2018-02-15,local-authority-eng:LAC,736,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.048055,-2.823329,20.89,150,200,2018-02-15,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2019-01-02,local-authority-eng:LAC,823,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.062848,-2.787121,1.6,30,35,2019-01-02,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2017-03-21,local-authority-eng:LAC,826,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.128586,-2.770202,0.03,9,9,2017-03-21,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2017-03-21,local-authority-eng:LAC,828,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.072364,-2.857171,0.03,6,6,2017-03-21,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2019-01-02,local-authority-eng:LAC,871,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.056872,-2.820601,0.33,14,10,2019-01-02,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
2019-01-02,local-authority-eng:LAC,872,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,54.047669,-2.80594,0.08,,,2019-01-02,,3a08581a2d2b314ecff1c8703db791d27f4df8ec27bc53873b76a93767e4b908
