entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-11-23,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0001,145472,567017,0.20,10,10,2017-11-23,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-23,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0002,141679,555792,2.00,5,5,2017-11-23,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-23,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0003,140390,570626,0.97,30,30,2017-11-23,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-23,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0004,138608,557986,0.7,127,127,2017-11-23,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-23,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0005,139231,558318,0.11,19,19,2017-11-23,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-23,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0006,139231,558318,0.11,9,9,2017-11-23,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-23,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0007,142220,558151,0.065,5,5,2017-11-23,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-23,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0008,142443,558118,0.062,6,6,2017-11-23,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-23,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0009,145024,567422,0.14,9,9,2017-11-23,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-23,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0010,139615,558694,0.22,112,112,2017-11-23,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-27,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0011,145137,567081,0.07,5,5,2017-11-27,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-27,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0012,140411,557677,0.17,8,8,2017-11-27,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-27,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0013,140000,558294,0.06,24,24,2017-11-27,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-27,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0014,140000,558294,0.06,9,9,2017-11-27,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-27,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0015,139096,558522,0.07,8,8,2017-11-27,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-27,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0016,137870,559240,0.19,6,6,2017-11-27,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-27,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0017,141766,557803,0.1,10,10,2017-11-27,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-27,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0018,144927,566852,0.23,18,18,2017-11-27,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-27,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0019,140067,558335,0.11,7,7,2017-11-27,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-27,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0020,140067,558335,0.11,14,14,2017-11-27,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-27,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0021,139735,558390,0.12,12,12,2017-11-27,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-27,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0022,139637,558071,0.061,8,8,2017-11-27,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-27,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0023,139637,558071,0.06,10,10,2017-11-27,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-27,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0024,142612,557964,0.03,12,12,2017-11-27,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-28,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0025,139401,558208,0.249,12,12,2017-11-28,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-27,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0026,144680,558037,0.6,9,9,2017-11-27,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-27,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0027,140213,558907,0.085,9,9,2017-11-27,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-30,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0028,138199,559051,0.99,24,24,2017-11-30,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-11-30,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0029,139193,557217,0.32,15,15,2017-11-30,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
2017-12-04,http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0030,141174,559406,1.78,170,170,2017-12-04,,42b48994c06f907b97d3a9c565b1e14613c5be6e7fb32c6d838ca2795e39ff25
