entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-03-31,local-authority-eng:SOS,BR1,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.535399,0.710936,0.053,9,9,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR4,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.539237,0.794553,0.42,9,9,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR5,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.540552,0.712511,0.189,108,108,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR6,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.53916,0.713596,0.276,98,98,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR7,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.537148,0.712727,0.296,28,28,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR8,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.532483,0.725024,0.049,9,9,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR9,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.544067,0.654016,0.066,6,6,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR10,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.538495,0.712014,0.197,140,140,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR11,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.540541,0.715698,0.009,1,1,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR12,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.540541,0.715698,0.009,1,1,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR13,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.540643,0.6957,0.051,6,6,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR14,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.538923,0.712169,0.036,5,5,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR15,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.539551,0.711875,0.042,6,6,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR16,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.543947,0.685741,0.286,18,18,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR17,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.540195,0.701904,0.063,8,8,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR18,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.544403,0.69135,0.11,6,6,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR19,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.545445,0.682007,0.063,7,7,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR20,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.547554,0.658489,0.016,6,6,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR21,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.540391,0.709776,0.035,7,7,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR22,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.545947,0.682844,0.077,14,14,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR23,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.54538,0.680128,0.084,6,6,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
2017-03-31,local-authority-eng:SOS,BR24,http://www.southend.gov.uk/downloads/200160/local_planning_framework,51.533607,0.723072,1.104,278,278,2017-03-31,,479fd32eef77f621e785f0a0a86f676bb784b45c9258776122eca29d75f97266
