entry-date,organisation,site,latitude,longitude,hectares,start-date,end-date,resource
2017-10-17,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/03,180022,451911,0.95,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2017-10-17,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/04,180203,451802,9.1,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2017-10-17,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/05,164869,452524,7.32,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2017-10-17,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/06,168477,434060,0.05,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2017-10-17,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/07,168539,433802,0.2,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2017-10-17,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/10,167644,447190,0.05,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2019-01-08,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/13,167752,447443,0.12,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2017-10-17,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/14,167027,447462,0.23,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2017-10-17,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/15,167668,447400,0.1,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2019-01-08,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/16,167705,446847,0.16,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2019-01-08,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/17,166955,447022,0.17,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2017-10-17,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/18,167086,447713,0.24,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2019-01-07,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/19,167664,447618,0.3,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2017-10-17,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/20,165378,447327,0.34,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2017-10-17,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/21,167042,447071,0.33,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2019-01-07,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/23,167557,446996,0.43,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2017-10-17,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/24,167540,447623,1.3,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2017-10-17,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/25,166869,447757,0.96,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2017-10-17,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/26,166669,448307,,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2017-10-17,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/27,166669,448307,,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2017-10-17,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/28,166794,447169,2.16,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2017-10-17,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/29,167691,447072,0.3,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2017-10-17,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/30,168175,460885,0.42,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
2017-10-17,http://opendatacommunities.org/id/unitary-authority/west-berkshire,BR/2017/31,176453,463871,0.13,2017-10-17,,47ae15c373da005ad5d1280e13163dca5725ed4a04b32374991d14004b9eab78
