entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2017-12-12,local-authority-eng:KTT,RBK0001,"3 Brook Gardens, Kingston upon Thames",https://maps.london.gov.uk/brownfield-site-register,yes,,permissioned,full planning permission,,51.413782,-0.275767,0.13,5,5,2017-12-12,,"""Planning permission 14/15015/FUL for 0 net additional homes (C3) granted on 01/12/2014.

Site has capacity to deliver at least 5 net additional homes (C3)."". ""Demolition of existing detached two-storey four-bedroom dwelling and erection of replacement detached two-storey four-bedroom dwelling (C3) with rooms in roof space""",4d36cd34b2a0e6d68d42445b56373a6972e44587bbd208737cc7bd1a88fcf50f
2017-12-12,local-authority-eng:KTT,RBK0002,"46-50 Coombe Road, New Malden",https://maps.london.gov.uk/brownfield-site-register,yes,,permissioned,other,,51.405429,-0.257769,0.1,23,23,2017-12-12,,"""Prior approval 14/15161/PNO for 23 net additional homes (C3) granted on 07/01/2015."". ""Change of use from offices (B1) to residential use (C3) to provide 23 x apartments with associated car and cycle parking and refuse storage facilities""",4d36cd34b2a0e6d68d42445b56373a6972e44587bbd208737cc7bd1a88fcf50f
2017-12-12,local-authority-eng:KTT,RBK0003,"8-12 Coombe Road, New Malden",https://maps.london.gov.uk/brownfield-site-register,yes,,permissioned,other,,51.404129,-0.257263,0.04,6,6,2017-12-12,,"""Prior approval 15/14039/PNO for 6 net additional homes (C3) granted on 10/03/2015."". ""Proposed change of use from offices (B1(a)) to residential use (C3) on the first and second floors.""",4d36cd34b2a0e6d68d42445b56373a6972e44587bbd208737cc7bd1a88fcf50f
2017-12-12,local-authority-eng:KTT,RBK0004,"2A Somerset Close, New Malden",https://maps.london.gov.uk/brownfield-site-register,yes,,permissioned,full planning permission,,51.394015,-0.25424,0.06,5,5,2017-12-12,,"""Planning permission 15/14516/FUL for 1 net additional home (C3) granted on 13/07/2017.

Site has capacity to deliver at least 5 net additional homes (C3)."". ""Erection of a new four-bedroom dwelling (C3).""",4d36cd34b2a0e6d68d42445b56373a6972e44587bbd208737cc7bd1a88fcf50f
2017-12-12,local-authority-eng:KTT,RBK0005,"Zanta, Coombe Park, Kingston upon Thames",https://maps.london.gov.uk/brownfield-site-register,yes,,permissioned,full planning permission,,51.426832,-0.266856,0.16,5,5,2017-12-12,,"""Planning permission 15/14426/FUL for 0 net additional homes (C3) granted on 17/07/2017.

Site has capacity to deliver at least 5 net additional homes (C3)."". ""Demolition of existing property and erection of a six-bedroom house (C3) with basement and rooms in the roof space.""",4d36cd34b2a0e6d68d42445b56373a6972e44587bbd208737cc7bd1a88fcf50f
2017-12-12,local-authority-eng:KTT,RBK0006,"Kincross, 13 Coombe Lane West, Kingston upon Thames",https://maps.london.gov.uk/brownfield-site-register,yes,,permissioned,full planning permission,,51.413458,-0.277536,0.08,5,5,2017-12-12,,"""Planning permission 15/14469/FUL for 1 net additional home (C3) granted on 20/07/2017.

Site has capacity to deliver at least 5 net additional homes (C3)."". ""Erection of 1 x detached five-bed dwellinghouse (C3) with accommodation within the roofspace.""",4d36cd34b2a0e6d68d42445b56373a6972e44587bbd208737cc7bd1a88fcf50f
2017-12-12,local-authority-eng:KTT,RBK0007,"35 Woodlands Road, Surbiton",https://maps.london.gov.uk/brownfield-site-register,yes,,permissioned,full planning permission,,51.384609,-0.310112,0.21,5,5,2017-12-12,,"""Planning permission 15/16152/FUL for 0 net additional homes (C3) granted on 03/08/2017.

Site has capacity to deliver at least 5 net additional homes (C3)."". ""Demolition of existing house and detached garage. Construction of new two-storey house (C3) with basement.""",4d36cd34b2a0e6d68d42445b56373a6972e44587bbd208737cc7bd1a88fcf50f
2017-12-12,local-authority-eng:KTT,RBK0008,"Park Lodge Warren Park, Kingston upon Thames ",https://maps.london.gov.uk/brownfield-site-register,yes,,permissioned,full planning permission,,51.421604,-0.268233,0.32,5,5,2017-12-12,,"""Planning permission 15/14711/FUL for 0 net additional homes (C3) granted on 20/08/2015.

Site has capacity to deliver at least 5 net additional homes (C3)."". ""Demolition of existing dwelling and erection of 1 x eight-bedroom dwelling (C3) including basement level.""",4d36cd34b2a0e6d68d42445b56373a6972e44587bbd208737cc7bd1a88fcf50f
2017-12-12,local-authority-eng:KTT,RBK0009,"17-19 Grove Road, Surbiton",https://maps.london.gov.uk/brownfield-site-register,yes,,permissioned,full planning permission,,51.397178,-0.307373,0.05,5,5,2017-12-12,,"""Planning permission 14/12933/FUL for 1 net additional home (C3) granted on 26/08/2015.

Site has capacity to deliver at least 5 net additional homes (C3)."". ""Erection of single storey detached dwelling (C3).""",4d36cd34b2a0e6d68d42445b56373a6972e44587bbd208737cc7bd1a88fcf50f
2017-12-12,local-authority-eng:KTT,RBK0010,"180 Coombe Lane West, Kingston upon Thames",https://maps.london.gov.uk/brownfield-site-register,yes,,permissioned,outline planning permission,,51.415984,-0.255059,0.14,5,5,2017-12-12,,"""Planning permission 15/14545/OUT for 3 net additional homes (C3) granted on 10/09/2015.

Site has capacity to deliver at least 5 net additional homes (C3)."". ""Outline application for demolition of existing house and replacement with 1 x detached two-storey dwelling (C3) and 3 x three-storey terrace dwellings (C3) with accommodation in the roofspace (appearance and landscaping reserved).""",4d36cd34b2a0e6d68d42445b56373a6972e44587bbd208737cc7bd1a88fcf50f
