entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:REI,RBBCBLR001,http://www.reigate-banstead.gov.uk/downloads/file/3819/rbbcblr001,54.612709,-0.05178,0.18,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR002,http://www.reigate-banstead.gov.uk/downloads/file/3820/rbbcblr002,51.325602,-0.187699,0.59,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR003,http://www.reigate-banstead.gov.uk/downloads/file/3822/rbbcblr003,51.295294,-0.153622,0.1,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR004,http://www.reigate-banstead.gov.uk/downloads/file/3825/rbbcblr004,51.317693,-0.184509,2.5,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR005,http://www.reigate-banstead.gov.uk/downloads/file/3829/rbbcblr005,51.294787,-0.211317,0.78,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR006,http://www.reigate-banstead.gov.uk/downloads/file/3830/rbbcblr006,51.258316,-0.20743,0.36,7,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR007,http://www.reigate-banstead.gov.uk/downloads/file/3823/rbbcblr007,51.270446,-0.258609,1.64,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR008,http://www.reigate-banstead.gov.uk/downloads/file/3828/rbbcblr008,51.232365,-0.170394,0.52,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR009,http://www.reigate-banstead.gov.uk/downloads/file/3824/rbbcblr009,51.216023,-0.138366,6.54,130,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR010,http://www.reigate-banstead.gov.uk/downloads/file/3826/rbbcblr010,51.217152,-0.172873,0.15,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR011,http://www.reigate-banstead.gov.uk/downloads/file/3827/rbbcblr011,51.259156,-0.145883,0.26,6,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR012,http://www.reigate-banstead.gov.uk/downloads/file/3821/rbbcblr012,51.261523,-0.132443,0.58,10,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR013,http://www.reigate-banstead.gov.uk/downloads/file/3835/rbbcblr013,51.259483,-0.133085,0.67,13,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR014,http://www.reigate-banstead.gov.uk/downloads/file/3838/rbbcblr014,51.265365,-0.151811,0.03,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR015,http://www.reigate-banstead.gov.uk/downloads/file/3845/rbbcblr015,51.261083,-0.145504,0.95,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR016,http://www.reigate-banstead.gov.uk/downloads/file/3836/rbbcblr016,51.262119,-0.141664,0.32,10,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR017,http://www.reigate-banstead.gov.uk/downloads/file/3834/rbbcblr017,51.258217,-0.149074,0.33,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR018,http://www.reigate-banstead.gov.uk/downloads/file/3833/rbbcblr018,51.257478,-0.151267,0.42,14,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR019,http://www.reigate-banstead.gov.uk/downloads/file/3847/rbbcblr019,51.240167,-0.166145,0.9,150,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR020,http://www.reigate-banstead.gov.uk/downloads/file/3848/rbbcblr020,51.239552,-0.167602,0.65,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR021,http://www.reigate-banstead.gov.uk/downloads/file/3844/rbbcblr021,51.241233,-0.162682,1.3,110,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR022,http://www.reigate-banstead.gov.uk/downloads/file/3832/rbbcblr022,51.237059,-0.168632,1.75,150,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR023,http://www.reigate-banstead.gov.uk/downloads/file/3840/rbbcblr023,51.239619,-0.166754,0.29,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR024,http://www.reigate-banstead.gov.uk/downloads/file/3841/rbbcblr024,51.238176,-0.156196,1.68,35,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR025,http://www.reigate-banstead.gov.uk/downloads/file/3852/rbbcblr025,51.25311,-0.153664,1.2,60,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR026,http://www.reigate-banstead.gov.uk/downloads/file/3849/rbbcblr026,51.240227,-0.16769,0.26,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR027,http://www.reigate-banstead.gov.uk/downloads/file/3842/rbbcblr027,51.237251,-0.148038,0.4,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR028,http://www.reigate-banstead.gov.uk/downloads/file/3837/rbbcblr028,51.251425,-0.164894,0.52,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR029,http://www.reigate-banstead.gov.uk/downloads/file/3843/rbbcblr029,51.235216,-0.170997,0.3,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR030,http://www.reigate-banstead.gov.uk/downloads/file/3839/rbbcblr030,51.238148,-0.172715,0.03,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR031,http://www.reigate-banstead.gov.uk/downloads/file/3850/rbbcblr031,51.24224,-0.165833,0.04,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR032,http://www.reigate-banstead.gov.uk/downloads/file/3846/rbbcblr032,51.239084,-0.169913,0.08,32,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR033,http://www.reigate-banstead.gov.uk/downloads/file/3851/rbbcblr033,51.243471,-0.169208,0.76,60,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR034,http://www.reigate-banstead.gov.uk/downloads/file/3831/rbbcblr034,51.239337,-0.171708,0.22,20,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
