entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-12-20,http://opendatacommunities.org/id/district-council/huntingdonshire,HDCBLR01,272099,522187,2.7,,,2017-12-20,,51e85e1d0ceadbe79fb82ad9b494fc56053662a444a8a29f1c773f2288d958f2
2017-12-20,http://opendatacommunities.org/id/district-council/huntingdonshire,HDCBLR02,271318,523790,0.6,,,2017-12-20,,51e85e1d0ceadbe79fb82ad9b494fc56053662a444a8a29f1c773f2288d958f2
2017-12-20,http://opendatacommunities.org/id/district-council/huntingdonshire,HDCBLR03,260096,519391,2.6,,,2017-12-20,,51e85e1d0ceadbe79fb82ad9b494fc56053662a444a8a29f1c773f2288d958f2
2017-12-20,http://opendatacommunities.org/id/district-council/huntingdonshire,HDCBLR04,259811,519252,0.6,,,2017-12-20,,51e85e1d0ceadbe79fb82ad9b494fc56053662a444a8a29f1c773f2288d958f2
2017-12-20,http://opendatacommunities.org/id/district-council/huntingdonshire,HDCBLR05,270731,531073,1.4,,,2017-12-20,,51e85e1d0ceadbe79fb82ad9b494fc56053662a444a8a29f1c773f2288d958f2
2017-12-20,http://opendatacommunities.org/id/district-council/huntingdonshire,HDCBLR06,285398,528512,0.7,,,2017-12-20,,51e85e1d0ceadbe79fb82ad9b494fc56053662a444a8a29f1c773f2288d958f2
2017-12-20,http://opendatacommunities.org/id/district-council/huntingdonshire,HDCBLR07,285160,528399,0.9,,,2017-12-20,,51e85e1d0ceadbe79fb82ad9b494fc56053662a444a8a29f1c773f2288d958f2
2017-12-20,http://opendatacommunities.org/id/district-council/huntingdonshire,HDCBLR08,283615,527277,25,,,2017-12-20,,51e85e1d0ceadbe79fb82ad9b494fc56053662a444a8a29f1c773f2288d958f2
2017-12-20,http://opendatacommunities.org/id/district-council/huntingdonshire,HDCBLR09,283587,527744,2,,,2017-12-20,,51e85e1d0ceadbe79fb82ad9b494fc56053662a444a8a29f1c773f2288d958f2
2017-12-20,http://opendatacommunities.org/id/district-council/huntingdonshire,HDCBLR10,285730,528270,1.7,,,2017-12-20,,51e85e1d0ceadbe79fb82ad9b494fc56053662a444a8a29f1c773f2288d958f2
