entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2017-12-18,local-authority-eng:THA,S189,"Queen Arms Yard, Margate",https://consult.thanet.gov.uk/consult.ti/TPODLP/viewCompoundDoc?docid=6059444&partid=6059540&sessionid=&voteid=,yes,not owned by a public authority,not permissioned,,,51.389522,1.381276,0.11,24,24,2017-12-05,,Local plan allocation. Housing allocation,533baee9e3480b03672a6696ad87954ddd2f6f8734d12ca9f6f3f0b20e206bab
2017-12-18,local-authority-eng:THA,S411,"Cottage Car Park, New Street, Margate",https://consult.thanet.gov.uk/consult.ti/TPODLP/viewCompoundDoc?docid=6059444&partid=6059540&sessionid=&voteid=,,not owned by a public authority,not permissioned,,,51.388955,1.380975,0.32,32,32,2017-12-05,,Local plan allocation. Housing allocation,533baee9e3480b03672a6696ad87954ddd2f6f8734d12ca9f6f3f0b20e206bab
2017-12-18,local-authority-eng:THA,S412,"Margate Town Centre, (south of New Street, Margate)",https://consult.thanet.gov.uk/consult.ti/TPODLP/viewCompoundDoc?docid=6059444&partid=6059540&sessionid=&voteid=,,not owned by a public authority,not permissioned,,,51.388325,1.380986,0.99,27,27,2017-12-05,,Local plan allocation. Housing allocation,533baee9e3480b03672a6696ad87954ddd2f6f8734d12ca9f6f3f0b20e206bab
2017-12-18,local-authority-eng:THA,S019,"Adjacent to 9 Minnis Road, Birchington",https://consult.thanet.gov.uk/consult.ti/TPODLP/viewCompoundDoc?docid=6059444&partid=6059540&sessionid=&voteid=,,not owned by a public authority,not permissioned,,,51.376468,1.302269,0.22,11,11,2017-12-05,,Local plan allocation. Housing allocation,533baee9e3480b03672a6696ad87954ddd2f6f8734d12ca9f6f3f0b20e206bab
2017-12-18,local-authority-eng:THA,S106,End of Seafield Road,https://consult.thanet.gov.uk/consult.ti/TPODLP/viewCompoundDoc?docid=6059444&partid=6059540&sessionid=&voteid=,yes,not owned by a public authority,not permissioned,,,51.335557,1.403737,1.15,16,16,2017-12-05,,Local plan allocation. Housing allocation,533baee9e3480b03672a6696ad87954ddd2f6f8734d12ca9f6f3f0b20e206bab
2017-12-18,local-authority-eng:THA,S112,"Adjacent to 8 Chapel Place, Ramsgate",https://consult.thanet.gov.uk/consult.ti/TPODLP/viewCompoundDoc?docid=6059444&partid=6059540&sessionid=&voteid=,,not owned by a public authority,not permissioned,,,51.390592,1.401785,0.09,6,6,2017-12-05,,Local plan allocation. Housing allocation,533baee9e3480b03672a6696ad87954ddd2f6f8734d12ca9f6f3f0b20e206bab
2017-12-18,local-authority-eng:THA,S113,Adjacent to 21 Royal Road & 9 Townley Street,https://consult.thanet.gov.uk/consult.ti/TPODLP/viewCompoundDoc?docid=6059444&partid=6059540&sessionid=&voteid=,,not owned by a public authority,not permissioned,,,51.330773,1.413276,0.28,18,18,2017-12-05,,Local plan allocation. Housing allocation,533baee9e3480b03672a6696ad87954ddd2f6f8734d12ca9f6f3f0b20e206bab
2017-12-18,local-authority-eng:THA,S168,"Gas Works Boundary Road, Ramsgate",https://consult.thanet.gov.uk/consult.ti/TPODLP/viewCompoundDoc?docid=6059444&partid=6059540&sessionid=&voteid=,yes,not owned by a public authority,not permissioned,,,51.338667,1.421086,1.34,96,96,2017-12-05,,Local plan allocation. Housing allocation,533baee9e3480b03672a6696ad87954ddd2f6f8734d12ca9f6f3f0b20e206bab
2017-12-18,local-authority-eng:THA,SP05,Former Airport site Manston,https://planning.thanet.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O5Z2F2QE00300,yes,not owned by a public authority,pending decision,,,51.348967,1.352058,3.2E+2,,,2017-12-05,,Local plan allocation  part brownfield. Strategic allocation,533baee9e3480b03672a6696ad87954ddd2f6f8734d12ca9f6f3f0b20e206bab
2017-12-18,local-authority-eng:THA,S174,Land at Wilderness Hill and Dane Road,https://consult.thanet.gov.uk/consult.ti/TPODLP/viewCompoundDoc?docid=6059444&partid=6059540&sessionid=&voteid=,yes,not owned by a public authority,not permissioned,,,51.387452,1.391287,0.44,14,14,2017-12-05,,Local plan allocation. Housing allocation,533baee9e3480b03672a6696ad87954ddd2f6f8734d12ca9f6f3f0b20e206bab
2017-12-18,local-authority-eng:THA,S186a,"79-85 High Street, Ramsgate",https://consult.thanet.gov.uk/consult.ti/TPODLP/viewCompoundDoc?docid=6059444&partid=6059540&sessionid=&voteid=,yes,not owned by a public authority,not permissioned,,,51.335333,1.417291,0.09,10,10,2017-12-05,,Local plan allocation. Housing allocation,533baee9e3480b03672a6696ad87954ddd2f6f8734d12ca9f6f3f0b20e206bab
2017-12-18,local-authority-eng:THA,S196,"Gas Holder Station, Addington Street, Margate",https://consult.thanet.gov.uk/consult.ti/TPODLP/viewCompoundDoc?docid=6059444&partid=6059540&sessionid=&voteid=,yes,not owned by a public authority,not permissioned,,,51.38809,1.38695,0.44,22,22,2017-12-05,,Local plan allocation. Housing allocation,533baee9e3480b03672a6696ad87954ddd2f6f8734d12ca9f6f3f0b20e206bab
