entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-10-16,local-authority-eng:ADU,ADCBR1,"https://www.adur-worthing.gov.uk/media/media,146438,en.pdf",50.838812,-0.310872,0.21,6,6,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:ADU,ADCBR2,"https://www.adur-worthing.gov.uk/media/media,146439,en.pdf",50.833945,-0.270247,0.08,14,14,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:ADU,ADCBR3,"https://www.adur-worthing.gov.uk/media/media,146440,en.pdf",50.831848,-0.276786,0.03,6,6,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:ADU,ADCBR4,"https://www.adur-worthing.gov.uk/media/media,146441,en.pdf",50.834844,-0.28176,2.4,120,120,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
,local-authority-eng:ADU,ADCBR5,"https://www.adur-worthing.gov.uk/media/media,146442,en.pdf",50.832176,-0.278322,0.1,6,6,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
,local-authority-eng:ADU,ADCBR6,"https://www.adur-worthing.gov.uk/media/media,146443,en.pdf",50.8256,0.158234,0.03,14,14,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:ADU,ADCBR7,"https://www.adur-worthing.gov.uk/media/media,146444,en.pdf",50.829423,-0.32206,0.37,9,9,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:ADU,ADCBR8,"https://www.adur-worthing.gov.uk/media/media,146445,en.pdf",50.83316,-0.268274,0.6,75,120,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:ADU,ADCBR9,"https://www.adur-worthing.gov.uk/media/media,146446,en.pdf",50.83128,-0.24416,0.3,42,42,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:ADU,ADCBR10,"https://www.adur-worthing.gov.uk/media/media,146447,en.pdf",50.822044,-0.323616,0.09,13,13,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:ADU,ADCBR11,"https://www.adur-worthing.gov.uk/media/media,146448,en.pdf",50.833937,-0.274522,0.57,27,27,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:ADU,ADCBR12,"https://www.adur-worthing.gov.uk/media/media,146449,en.pdf",50.83578,-0.228908,0.7,24,24,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:ADU,ADCBR13,"https://www.adur-worthing.gov.uk/media/media,146450,en.pdf",50.830851,-0.250282,0.47,47,90,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
,local-authority-eng:ADU,ADCBR14,"https://www.adur-worthing.gov.uk/media/media,146451,en.pdf",50.832169,-0.265712,2.8,540,540,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
,local-authority-eng:ADU,ADCBR15,"https://www.adur-worthing.gov.uk/media/media,146452,en.pdf",50.831467,-0.253014,1.5,153,292,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:ADU,ADCBR16,"https://www.adur-worthing.gov.uk/media/media,146453,en.pdf",50.82659,-0.322672,0.05,12,12,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:ADU,ADCBR17,"https://www.adur-worthing.gov.uk/media/media,146454,en.pdf",50.831408,-0.234754,0.05,6,6,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:WOT,WBCBR1,"https://www.adur-worthing.gov.uk/media/media,146481,en.pdf",50.812771,-0.35962,0.64,,,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:WOT,WBCBR2,"https://www.adur-worthing.gov.uk/media/media,146482,en.pdf",50.829873,-0.422665,0.97,,,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:WOT,WBCBR3,"https://www.adur-worthing.gov.uk/media/media,146483,en.pdf",50.808848,-0.383972,0.92,,,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:WOT,WBCBR4,"https://www.adur-worthing.gov.uk/media/media,146484,en.pdf",50.80854,-0.379284,0.62,,,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:WOT,WBCBR5,"https://www.adur-worthing.gov.uk/media/media,146485,en.pdf",50.815856,-0.366723,0.12,,,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:WOT,WBCBR6,"https://www.adur-worthing.gov.uk/media/media,146486,en.pdf",50.829025,-0.376616,0.14,,,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:WOT,WBCBR7,"https://www.adur-worthing.gov.uk/media/media,146487,en.pdf",50.81192,-0.368862,0.36,,,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:WOT,WBCBR8,"https://www.adur-worthing.gov.uk/media/media,146489,en.pdf",50.808448,-0.380437,0.2,,,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:WOT,WBCBR9,"https://www.adur-worthing.gov.uk/media/media,146488,en.pdf",50.819219,-0.410999,0.109,,,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:WOT,WBCBR10,"https://www.adur-worthing.gov.uk/media/media,146490,en.pdf",50.810179,-0.369774,0.24,,,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:WOT,WBCBR11,"https://www.adur-worthing.gov.uk/media/media,146491,en.pdf",50.810202,-0.374642,0.2,,,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:WOT,WBCBR12,"https://www.adur-worthing.gov.uk/media/media,146492,en.pdf",50.807481,-0.391825,0.26,,,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:WOT,WBCBR13,"https://www.adur-worthing.gov.uk/media/media,146493,en.pdf",50.81787,-0.373794,1.73,,,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:WOT,WBCBR14,"https://www.adur-worthing.gov.uk/media/media,146494,en.pdf",50.812889,-0.369311,3.31,,,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:WOT,WBCBR15,"https://www.adur-worthing.gov.uk/media/media,146495,en.pdf",50.813684,-0.368928,0.468,,,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:WOT,WBCBR16,"https://www.adur-worthing.gov.uk/media/media,146496,en.pdf",50.814621,-0.373566,0.48,,,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
2017-10-16,local-authority-eng:WOT,WBCBR17,"https://www.adur-worthing.gov.uk/media/media,146497,en.pdf",50.810966,-0.368143,0.68,,,2017-10-16,,5512f8393683186d3e1a2f260710f01a283944a2b7975f8695403db72898a383
