entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,,,,,,,,,,,,,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0483,,,,not owned by a public authority,not permissioned,,,,,0.04,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0551,,,,not owned by a public authority,not permissioned,,,,,0.33,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0559,,,,,not permissioned,,,,,0.43,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0569,,,,not owned by a public authority,not permissioned,,,,,0.58,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0591,,,,not owned by a public authority,not permissioned,,,,,0.48,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0594,,,,mixed ownership,not permissioned,,,,,1.24,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0596,,,,,not permissioned,,,,,0.04,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0597,,,,mixed ownership,not permissioned,,,,,0.61,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0606,,,,,not permissioned,,,,,0.95,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0610,,,,,not permissioned,,,,,0.84,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0620,,,,,not permissioned,,,,,1.82,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0641,,,,mixed ownership,not permissioned,,,,,0.38,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0660,,,,,not permissioned,,,,,1.67,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0666,,,,,not permissioned,,,,,1.05,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0677,,,,,not permissioned,,,,,1.18,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0827,,,,,not permissioned,,,,,0.23,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0893,,,,mixed ownership,not permissioned,,,,,1.58,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0899,,,,,not permissioned,,,,,0.06,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0902,,,,,not permissioned,,,,,0.07,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0911,,,,mixed ownership,not permissioned,,,,,1.06,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0991,,,,,not permissioned,,,,,0.05,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 0996,,,,,not permissioned,,,,,0.1,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1016,,,,,not permissioned,,,,,0.17,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1019,,,,,not permissioned,,,,,0.07,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1052,,,,,not permissioned,,,,,1.33,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
