entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-12-20,national-park-authority:Q4972284,BF000008,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=M96Z8STBT0000,52.477034,1.708607,1.69273,76,76,2017-11-23,,649baf90674e5a1a47de7635dbbdd3fa224ddfa20a0d3788eebe4633166991f5
2018-12-20,national-park-authority:Q4972284,BF000001,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MOJ2UJTB00200,52.464464,1.560871,0.030227,2,2,2017-11-23,,649baf90674e5a1a47de7635dbbdd3fa224ddfa20a0d3788eebe4633166991f5
2018-12-20,national-park-authority:Q4972284,BF000010,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ON9TEYTB01W00,52.686439,1.554869,0.773047,16,16,2017-11-23,,649baf90674e5a1a47de7635dbbdd3fa224ddfa20a0d3788eebe4633166991f5
2018-12-20,national-park-authority:Q4972284,BF000007,https://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,52.712724,1.409031,0.028126,0,,2017-11-23,,649baf90674e5a1a47de7635dbbdd3fa224ddfa20a0d3788eebe4633166991f5
2018-12-20,national-park-authority:Q4972284,BF000003,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NZUKQATBFTZ00,52.465423,1.472336,2.564211,4,4,2017-11-23,,649baf90674e5a1a47de7635dbbdd3fa224ddfa20a0d3788eebe4633166991f5
2018-12-20,national-park-authority:Q4972284,BF000006,https://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,52.712854,1.40878,0.100347,0,,2017-11-23,,649baf90674e5a1a47de7635dbbdd3fa224ddfa20a0d3788eebe4633166991f5
2018-12-20,national-park-authority:Q4972284,BF000005,https://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,52.713662,1.408405,0.113171,0,,2017-11-23,,649baf90674e5a1a47de7635dbbdd3fa224ddfa20a0d3788eebe4633166991f5
2018-12-20,national-park-authority:Q4972284,BF000011,http://www.broads-authority.gov.uk/__data/assets/pdf_file/0008/995570/12_NORWICH-new.pdf,52.622972,1.323572,4.487686,120,120,2017-11-23,,649baf90674e5a1a47de7635dbbdd3fa224ddfa20a0d3788eebe4633166991f5
2018-12-20,national-park-authority:Q4972284,BF000012,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0VWNNTBGTD00,52.523774,1.641309,0.048517,1,1,2018-12-20,,649baf90674e5a1a47de7635dbbdd3fa224ddfa20a0d3788eebe4633166991f5
2018-12-20,national-park-authority:Q4972284,BF000013,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OR7OJATBGJA00,52.614791,1.388568,1.317554,1,1,2018-12-20,,649baf90674e5a1a47de7635dbbdd3fa224ddfa20a0d3788eebe4633166991f5
2018-12-20,national-park-authority:Q4972284,BF000014,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OQCGB0TB01W00,52.679079,1.486935,0.117819,1,1,2018-12-20,,649baf90674e5a1a47de7635dbbdd3fa224ddfa20a0d3788eebe4633166991f5
2018-12-20,national-park-authority:Q4972284,BF000015,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OGFOMLTB01U00,52.710436,1.410615,0.078514,2,2,2018-12-20,,649baf90674e5a1a47de7635dbbdd3fa224ddfa20a0d3788eebe4633166991f5
2018-12-20,national-park-authority:Q4972284,BF000016,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NT2RNQTB00500,52.476375,1.707298,0.162242,3,3,2018-12-20,,649baf90674e5a1a47de7635dbbdd3fa224ddfa20a0d3788eebe4633166991f5
2018-12-20,national-park-authority:Q4972284,BF000017,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NRM7AOTBFML00,52.581123,1.446291,0.48731,2,2,2018-12-20,,649baf90674e5a1a47de7635dbbdd3fa224ddfa20a0d3788eebe4633166991f5
2018-12-20,national-park-authority:Q4972284,BF000018,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NRM7AOTBFML00,52.581123,1.446291,0.48731,2,2,2018-12-20,,649baf90674e5a1a47de7635dbbdd3fa224ddfa20a0d3788eebe4633166991f5
2018-12-20,national-park-authority:Q4972284,BF000019,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NNWV80TBFJN00,52.709423,1.536554,0.177683,1,1,2018-12-20,,649baf90674e5a1a47de7635dbbdd3fa224ddfa20a0d3788eebe4633166991f5
