entry-date,organisation,site,site-address,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2019-09-30,local-authority-eng:EST,ESBC-BR1,Short Street Community Infants School,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.787579,-1.629437,0.53,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2017-09-29,local-authority-eng:EST,ESBC-BR2,Coors Middle Yard,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.809849,-1.630465,9.08,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2017-09-29,local-authority-eng:EST,ESBC-BR3,Coors High Street,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.804257,-1.627397,2.91,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2019-09-30,local-authority-eng:EST,ESBC-BR4,Bargates,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.80605,-1.625899,2.64,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2017-09-29,local-authority-eng:EST,ESBC-BR5,Branston Depot,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.790324,-1.65443,19.27,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2017-09-29,local-authority-eng:EST,ESBC-BR6,Derby Road Burton,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.816628,-1.630615,8.09,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2019-09-30,local-authority-eng:EST,ESBC-BR7,JCB Pinfold Street,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.896205,-1.865325,1.94,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2017-09-29,local-authority-eng:EST,ESBC-BR8,Brookside Business Park,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.898156,-1.857961,4.4,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2017-09-29,local-authority-eng:EST,ESBC-BR9,Churnet Farm Rocester,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.950679,-1.84243,0.52,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2019-09-30,local-authority-eng:EST,ESBC-BR11,Land to the rear of 2 Harbury Street,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.820505,-1.652351,0.37,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2019-09-30,local-authority-eng:EST,ESBC-BR12,Imex Business Park,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.804764,-1.646053,2.21,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2018-09-30,local-authority-eng:EST,ESBC-BR13,Mead Works 137-139 Horninglow Street,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.808559,-1.631766,0.26,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2017-09-29,local-authority-eng:EST,ESBC-BR14,Goat Maltings,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.799658,-1.643232,0.19,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2017-09-29,local-authority-eng:EST,ESBC-BR15,Burton Beer Mats,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.803323,-1.642164,0.28,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2017-09-29,local-authority-eng:EST,ESBC-BR16,Derby Street Auction Rooms,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.813347,-1.636711,0.22,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2019-09-30,local-authority-eng:EST,ESBC-BR18,Uttoxeter Highways Depot,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.89443,-1.86979,0.87,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2018-09-30,local-authority-eng:EST,ESBC-BR19,132 Derby Street Burton,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.81307,-1.637114,0.13,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2019-09-30,local-authority-eng:EST,ESBC-BR20,36 Derby Road Burton,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.816168,-1.633023,0.1,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2017-09-29,local-authority-eng:EST,ESBC-BR22,43 High Street Burton,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.80349,-1.62951,0.02,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2017-09-29,local-authority-eng:EST,ESBC-BR23,The Refinery,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.802294,-1.629313,0.04,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2019-09-30,local-authority-eng:EST,ESBC-BR24,Britannia House,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.8039,-1.634105,0.09,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2018-09-30,local-authority-eng:EST,ESBC-BR25,146 and 146A Horninglow Street,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.807991,-1.631208,0.04,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2018-09-30,local-authority-eng:EST,ESBC-BR26,The Appleby Burton,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.798697,-1.631746,0.1,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2017-09-29,local-authority-eng:EST,ESBC-BR27,126 New Street Burton,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.801961,-1.634981,0.14,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2018-09-30,local-authority-eng:EST,ESBC-BR29,Rear of 143 Horninglow Street,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.808494,-1.631055,0.38,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2018-09-30,local-authority-eng:EST,ESBC-BR30,Rear of 38-54 Bridge Street,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.897981,-1.862094,0.2,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2018-09-30,local-authority-eng:EST,ESBC-BR31,Wellington Inn,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.901482,-1.865384,0.15,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2019-09-30,local-authority-eng:EST,ESBC-BR32,Uttoxeter Household Waste Site,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.904465,-1.86423,1.45,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2018-09-30,local-authority-eng:EST,ESBC-BR33,Tutbury Mill Mews,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.858764,-1.684646,0.01,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2018-09-30,local-authority-eng:EST,ESBC-BR34,Howards Transport,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.789143,-1.665783,2.56,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2018-09-30,local-authority-eng:EST,ESBC-BR35,Proposed Residential Development Phase 1 Rose Cottage Gardens,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.796475,-1.637192,0.09,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2018-09-30,local-authority-eng:EST,ESBC-BR37,Land adjacent to Eastfield Uttoxeter,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.89941,-1.861792,0.17,,,2017-09-29,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2018-09-30,local-authority-eng:EST,ESBC-BR39,Sovereign House Bond Street,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.798699,-1.632339,0.07,,,2018-09-30,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2018-09-30,local-authority-eng:EST,ESBC-BR40,70 Guild Street Burton upon Trent,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.805523,-1.632801,0.06,,,2018-09-30,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2019-09-30,local-authority-eng:EST,ESBC-BR41,67-69 Main Street Stapenhill,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.793116,-1.623607,0.11,,,2018-09-30,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2018-09-30,local-authority-eng:EST,ESBC-BR44,Land Adjacent To Grange Close Burton upon Trent,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.810776,-1.645382,0.18,,,2018-09-30,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2019-09-30,local-authority-eng:EST,ESBC-BR45,Burton Enterprise Centre,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.809618,-1.643003,0.25,,,2018-09-30,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2018-09-30,local-authority-eng:EST,ESBC-BR47,The Maltings Wetmore Road,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.809687,-1.627455,3.6,,,2018-09-30,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
2018-09-30,local-authority-eng:EST,ESBC-BR49,63 New Street Burton upon Trent,http://www.eaststaffsbc.gov.uk/planning/planning-policy,52.801823,-1.636733,0.08,,,2018-09-30,,68c338ad134abdb90344ffa4bd07afdb48dae7ab6fd28c7c7dd1b58cf1e43d9a
