entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-12-31,local-authority-eng:PUR,BR/03/001,"Former Bere Regis primary school, Rye Hill, Bere Regis",https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,yes,owned by a public authority,not permissioned,,,,,0.3,,,2017-12-31,,7274fab94929c985f8d0249f0d841c8a5f211243f9ac0106a1d6606e1a493fb1
2018-12-31,local-authority-eng:PUR,BR/11/002,"Binnegar Hall, East Stoke, Wareham",https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,yes,not owned by a public authority,permissioned,full planning permission,,,,1.66,,,2017-12-31,,7274fab94929c985f8d0249f0d841c8a5f211243f9ac0106a1d6606e1a493fb1
2018-12-31,local-authority-eng:PUR,BR/11/003,"Kemps Country House Hotel, East Stoke, Wareham",https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,yes,not owned by a public authority,permissioned,full planning permission,,,,0.1,,,2017-12-31,,7274fab94929c985f8d0249f0d841c8a5f211243f9ac0106a1d6606e1a493fb1
2018-12-31,local-authority-eng:PUR,BR/15/004,"Bere Farm, Lytchett Minster",https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,yes,not owned by a public authority,not permissioned,,,,,0.51,,,2017-12-31,,7274fab94929c985f8d0249f0d841c8a5f211243f9ac0106a1d6606e1a493fb1
2018-12-31,local-authority-eng:PUR,BR/20/006,"Former Police Station Premises, Argyle Road and Kings Road West, Swanage",https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,yes,not owned by a public authority,permissioned,,,,,0.03,,,2017-12-31,,7274fab94929c985f8d0249f0d841c8a5f211243f9ac0106a1d6606e1a493fb1
2018-12-31,local-authority-eng:PUR,BR/20/007,"Cauldron Barn caravan site, Swanage",https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,yes,not owned by a public authority,not permissioned,,,,,0.39,,,2017-12-31,,7274fab94929c985f8d0249f0d841c8a5f211243f9ac0106a1d6606e1a493fb1
2018-12-31,local-authority-eng:PUR,BR/20/008,"former grammar school, Northbrook Road, Swanage",https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,yes,not owned by a public authority,permissioned,,,,,0.93,,,2017-12-31,,7274fab94929c985f8d0249f0d841c8a5f211243f9ac0106a1d6606e1a493fb1
2018-12-31,local-authority-eng:PUR,BR/20/009,"1 The Pier Head, High St, Swanage",https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,yes,not owned by a public authority,permissioned,full planning permission,,,,0.16,,,2017-12-31,,7274fab94929c985f8d0249f0d841c8a5f211243f9ac0106a1d6606e1a493fb1
2018-12-31,local-authority-eng:PUR,BR/23/011,"'Former Gas Works Site, Wareham''",https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,yes,not owned by a public authority,not permissioned,,,,,0.3,,,2018-12-31,,7274fab94929c985f8d0249f0d841c8a5f211243f9ac0106a1d6606e1a493fb1
2018-12-31,local-authority-eng:PUR,BR/23/012,"'Former Wareham Middle School, Wareham''",https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,yes,owned by a public authority,not permissioned,,,,,1.2,,,2018-12-31,,7274fab94929c985f8d0249f0d841c8a5f211243f9ac0106a1d6606e1a493fb1
