entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-08-02,local-authority-eng:BNS,H1343,53.581090,-1.497208,0.5,25,25,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H1628,53.552293,-1.469643,0.5,32,32,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H1916,53.562584,-1.435690,0.3,14,14,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H1973,53.519145,-1.315487,0.3,14,14,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H2198,53.533019,-1.298430,0.3,11,11,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H2237,53.526774,-1.633382,0.6,15,15,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H2256,53.560298,-1.484366,1.9,22,22,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H2260,53.597724,-1.459230,1,10,10,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H2281,53.519133,-1.322068,1.2,28,28,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H2317,53.530139,-1.420336,0.2,3,3,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H2322,53.559489,-1.496317,0.3,8,8,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H2371,53.546876,-1.489644,0.9,32,32,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H2389,53.544890,-1.436435,0.5,14,14,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H2441,53.596075,-1.386334,0.3,9,9,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H2447,53.528340,-1.460298,1.5,70,70,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H2129,53.586465,-1.379052,4.3,136,136,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H0214,53.497262,-1.426863,0.5,2,2,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H0594,53.532721,-1.303032,0.4,6,6,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H0819,53.521299,-1.404721,1.8,60,60,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H1162,53.507453,-1.441596,0.3,21,21,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H1290,53.548143,-1.480613,0.9,21,21,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H1388,53.527717,-1.390970,3.7,95,95,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H1351,53.552493,-1.459158,0.5,42,42,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H1401,53.547843,-1.324833,0.3,10,10,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
2017-08-02,local-authority-eng:BNS,H1477,53.506862,-1.456404,0.3,11,11,2017-08-02,,753de6ee9f46353c168dc6a16fb6ed6f9e7f057352cc265912cc4f20741235aa
