entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,26CH,-1336.85,4024499.39,0.29,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,10HY,-678.12,4030279.22,1.7,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,05HY,-759.28,4028419.06,9.14,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,60NH,3608.16,4040418.69,0.2,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,52NH,3628.54,4040150.13,0.12,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,BLR01,-550921.07,4156459.22,0.35,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,46NH,4029.53,4039869.23,2.8,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,16NH,3261.04,4039558.02,0.64,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,BLR02,3950.79,4039946.68,0.01,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,02NH,3903.16,4039763.52,0.22,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,39NH,3324.13,4039670.96,0.8,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,40NH,3616.09,4040105.68,0.13,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,48NH,3769.95,4039796.44,0.46,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,51NH,3553,4039906.7,0.15,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,54NH,3334.68,4039855.69,0.1,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,55NH,3472.01,4040220.54,0.84,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,03PP,5924.81,3969710.78,0.03,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,31NH,3741.53,4040581.89,5.7,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,BLR03,3917.53,4039925.07,1.43,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,19PT,1458.35,4040412.16,0.42,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,64PT,343.62,4039984.57,0.12,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,BLR05,207.17,4040084.5,0.1,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,BLR06,-413.2,4039971.49,0.05,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,02RG,4248.85,4030922.32,1,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,15RG,4221.62,4031215.23,0.12,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
2017-12-21,http://opendatacommunities.org/id/district-council/lewes,36RG,4019.97,4031288.71,0.49,,,2017-12-21,,7a0c39dcf1a380b729fc13d565ab16b502d310ffb93183376fb43b851153be7c
