entry-date,organisation,site,site-address,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-12-19,local-authority-eng:BST,01/01606/P,Plot ND6 Temple Quay North Temple Gate Bristol,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=0101606P,51.452634,-2.579729,7.36,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,01/02588/F,Adjacent 1 South Liberty Lane Ashton Bristol BS3 2SJ,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=0102588F,51.432542,-2.61155,0.06,,,2018-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,04/02177/F,Former Courage Brewery Counterslip Redcliff Bristol,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=HYMYT5DNDD000,51.45398,-2.588635,2.28,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,04/03995/P,Redfield Post Office Chalks Road Bristol BS5 9EW,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=I4G002DN2D000,51.459864,-2.551278,0.04,,,2018-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,04/04126/P,Land At Wapping Wharf Wapping Road Bristol,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=I520C3DNGC000,51.447254,-2.598709,4.19,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,04/05284/F,3-5 Bushy Park Bristol BS4 2EG,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=I9H9KLDN98000,51.441142,-2.577935,0.1,,,2018-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,05/04521/F,81-93 Fishponds Road Eastville Bristol BS5 6PN,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=IPZY0IDN3J000,51.471848,-2.560573,0.1,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,06/05456/F,100 - 110 North Street Bedminster Bristol BS3 1HF,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JAXIXDDNIM000,51.440657,-2.606018,0.07,,,2018-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,07/00557/P,The Harbour Centre 100 Gloucester Road Avonmouth Bristol BS11 9AQ,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JD6Z9ADNIM000,51.499502,-2.700803,0.31,,,2018-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,07/02235/F,Former Avonmouth Bus Depot Avonmouth Road Bristol BS11 9LP,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JIFTQCDN0DD00,51.499439,-2.694501,0.2,,,2018-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
